round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.238300,2.124850,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.4105,3424.2196,2510000,8136,10616
2,0.323700,1.794906,1.152515,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],1.5419,2636.9550,2510000,8136,7653
3,0.366200,1.766207,1.003968,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],1.0173,2440.6950,2510000,8136,7200
4,0.407200,1.666285,0.841143,"[3, 9, 10, 13, 24, 25, 26, 30, 35, 47]",2,"[25, 35]",1.3120,3078.3916,2510000,8136,7104
5,0.438400,1.648288,0.705371,"[2, 3, 7, 9, 11, 21, 33, 37, 40, 49]",0,[],0.6143,3551.7278,2510000,8136,7056
6,0.487800,1.618353,0.655057,"[10, 15, 16, 19, 27, 29, 31, 38, 40, 43]",0,[],2.9363,2305.4469,2510000,8136,6912
7,0.459500,1.675550,0.486828,"[2, 9, 10, 18, 24, 32, 35, 43, 47, 48]",1,[35],1.2469,2858.9686,2510000,8136,7008
8,0.484300,1.810967,0.527428,"[10, 12, 15, 17, 26, 29, 38, 40, 42, 48]",1,[42],2.7127,3667.0219,2510000,8136,7800
9,0.468800,1.745265,0.459836,"[3, 14, 15, 27, 29, 32, 33, 38, 47, 48]",0,[],1.0500,3288.5058,2510000,8136,6912
10,0.523100,1.739351,0.438035,"[5, 9, 11, 14, 20, 29, 37, 40, 43, 47]",0,[],2.7487,3952.3930,2510000,8136,6816
11,0.492100,1.760047,0.406676,"[9, 14, 15, 26, 27, 29, 33, 38, 44, 47]",0,[],1.5069,4452.6285,2510000,8136,6912
12,0.519400,1.755177,0.408393,"[6, 15, 29, 31, 34, 37, 39, 43, 44, 47]",1,[39],2.4566,2438.4332,2510000,8136,6816
13,0.524100,1.904774,0.324750,"[9, 13, 14, 15, 28, 29, 37, 43, 47, 48]",0,[],0.8948,2946.6473,2510000,8136,6960
14,0.523300,1.859844,0.315411,"[3, 7, 9, 14, 22, 31, 40, 43, 44, 47]",0,[],0.8292,3647.9162,2510000,8136,6864
15,0.560700,1.625852,0.360183,"[3, 9, 11, 14, 18, 21, 27, 31, 40, 44]",0,[],0.6577,4400.9923,2510000,8136,6816
16,0.548500,1.759721,0.296820,"[3, 5, 15, 22, 27, 31, 37, 40, 44, 47]",0,[],0.6814,3486.2483,2510000,8136,6816
17,0.567500,1.735122,0.317327,"[0, 9, 11, 22, 26, 27, 31, 37, 40, 44]",0,[],0.6872,3409.6589,2510000,8136,6816
18,0.566600,1.767101,0.290923,"[9, 12, 15, 22, 27, 33, 37, 40, 41, 44]",0,[],1.2874,3305.7293,2510000,8136,6864
19,0.545700,2.094344,0.251582,"[1, 9, 13, 14, 15, 22, 26, 27, 37, 40]",0,[],1.0440,2986.7841,2510000,8136,6864
20,0.535600,2.020293,0.282179,"[6, 9, 13, 14, 24, 27, 31, 33, 37, 45]",0,[],3.4931,2690.6920,2510000,8136,6864
21,0.543900,1.942301,0.207537,"[2, 7, 9, 13, 14, 15, 31, 32, 37, 47]",0,[],0.5953,3600.6679,2510000,8136,7800
22,0.513600,2.239065,0.254467,"[9, 13, 14, 15, 24, 33, 40, 44, 45, 47]",0,[],0.8684,4235.4143,2510000,8136,6816
23,0.531400,2.009989,0.227600,"[6, 13, 14, 31, 33, 37, 38, 40, 44, 47]",0,[],5.4596,2832.3740,2510000,8136,6816
24,0.552700,1.984016,0.184607,"[14, 15, 22, 31, 33, 37, 40, 44, 47, 48]",0,[],1.9774,2936.0371,2510000,8136,6816
25,0.522600,2.203864,0.212104,"[9, 13, 14, 24, 27, 28, 37, 38, 44, 47]",0,[],0.8165,3431.5064,2510000,8136,7800
26,0.551400,1.865486,0.270304,"[13, 14, 21, 22, 26, 33, 37, 38, 41, 44]",0,[],0.6476,3777.0882,2510000,8136,6816
27,0.533600,1.962749,0.208360,"[8, 13, 15, 25, 31, 33, 37, 43, 44, 47]",1,[25],0.7948,2681.4120,2510000,8136,6816
28,0.542400,2.101201,0.216974,"[10, 13, 14, 15, 22, 31, 33, 37, 38, 41]",0,[],1.4825,2974.4871,2510000,8136,6816
29,0.552700,2.217233,0.110635,"[9, 13, 14, 15, 22, 27, 31, 37, 40, 44]",0,[],1.1302,2900.8390,2510000,8136,6816
30,0.554200,1.876525,0.222715,"[9, 15, 21, 31, 32, 33, 37, 38, 44, 48]",0,[],2.3271,2757.6745,2510000,8136,6816
31,0.551800,2.133624,0.186826,"[14, 15, 21, 24, 27, 33, 37, 40, 41, 44]",0,[],1.2316,2406.8806,2510000,8136,6816
32,0.550500,2.125301,0.119781,"[9, 13, 14, 15, 27, 31, 33, 37, 38, 47]",0,[],1.8010,3466.8072,2510000,8136,6816
33,0.540300,2.135863,0.221654,"[0, 7, 13, 15, 32, 33, 37, 38, 42, 44]",1,[42],1.3025,3464.3059,2510000,8136,6816
34,0.549200,2.241805,0.151987,"[0, 9, 13, 27, 33, 37, 38, 40, 44, 47]",0,[],0.8910,3299.2173,2510000,8136,6816
35,0.551800,2.323855,0.132680,"[0, 13, 14, 27, 31, 33, 37, 38, 40, 44]",0,[],2.4419,2726.3863,2510000,8136,6816
36,0.547700,2.254170,0.210506,"[1, 6, 14, 31, 33, 37, 38, 40, 43, 47]",0,[],1.2216,2350.0402,2510000,8136,6816
37,0.544500,2.492854,0.095892,"[9, 13, 14, 22, 27, 33, 37, 38, 40, 47]",0,[],0.7235,3196.5583,2510000,8136,6816
38,0.540100,2.609976,0.167948,"[9, 11, 13, 14, 18, 27, 33, 37, 40, 47]",0,[],1.5966,4350.9204,2510000,8136,6816
39,0.540000,2.559679,0.077111,"[13, 14, 15, 27, 31, 33, 37, 40, 44, 47]",0,[],0.8675,3961.2769,2510000,8136,6772
40,0.543300,2.425519,0.119087,"[9, 13, 27, 29, 31, 33, 37, 38, 44, 47]",0,[],0.7387,3935.5327,2510000,8136,6772
41,0.540000,2.507382,0.174263,"[12, 13, 14, 21, 29, 31, 33, 37, 38, 47]",0,[],10.3277,2780.2369,2510000,8136,6816
