round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.238300,2.124850,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.7245,2755.3324,2510000,8136,10616
2,0.323700,1.794906,1.152515,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],1.0375,2466.5121,2510000,8136,7653
3,0.366200,1.766207,1.019138,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],0.8087,2650.5930,2510000,8136,7200
4,0.414800,1.620788,0.896544,"[7, 12, 15, 16, 20, 22, 27, 29, 35, 47]",1,[35],0.4428,4725.0479,2510000,8136,7104
5,0.444700,1.672609,0.773730,"[2, 5, 9, 19, 21, 23, 27, 29, 35, 48]",2,"[23, 35]",1.4120,3221.8133,2510000,8136,7104
6,0.470900,1.618534,0.701760,"[9, 21, 23, 24, 26, 37, 38, 40, 43, 48]",1,[23],0.7490,2723.8137,2510000,8136,6960
7,0.379400,1.859657,0.585130,"[2, 9, 13, 19, 24, 26, 27, 28, 42, 49]",1,[42],2.0042,2509.7851,2510000,8136,6864
8,0.467000,1.766939,0.592864,"[9, 12, 13, 15, 22, 23, 26, 29, 35, 40]",2,"[23, 35]",0.8650,2529.6041,2510000,8136,6960
9,0.529800,1.526299,0.527858,"[3, 10, 12, 15, 24, 25, 29, 31, 37, 44]",1,[25],0.6704,3330.4008,2510000,8136,6816
10,0.414200,2.164354,0.455319,"[12, 13, 24, 25, 27, 29, 38, 40, 44, 48]",1,[25],0.7390,4087.9560,2510000,8136,6912
11,0.528800,1.683440,0.542291,"[9, 10, 15, 26, 30, 34, 35, 40, 44, 45]",1,[35],1.8964,2834.9888,2510000,8136,6816
12,0.532000,1.885881,0.353527,"[6, 9, 10, 15, 18, 24, 27, 29, 37, 38]",0,[],0.8132,3756.2911,2510000,8136,6960
13,0.559900,1.657405,0.430119,"[9, 10, 25, 26, 27, 35, 37, 38, 40, 43]",2,"[25, 35]",1.7187,2369.4318,2510000,8136,6912
14,0.514700,1.794988,0.394543,"[3, 7, 9, 13, 15, 23, 26, 39, 40, 44]",2,"[23, 39]",1.3957,2798.7108,2510000,8136,6816
15,0.545600,1.854524,0.324831,"[9, 15, 17, 26, 29, 37, 40, 42, 43, 44]",1,[42],1.2352,3126.9133,2510000,8136,6864
16,0.513200,1.902685,0.364792,"[5, 7, 11, 15, 24, 27, 34, 37, 38, 44]",0,[],2.2549,4678.3578,2510000,8136,6816
17,0.529800,2.049500,0.298884,"[0, 5, 9, 13, 26, 27, 37, 38, 44, 48]",0,[],0.9568,3296.0303,2510000,8136,6864
18,0.550900,1.878497,0.249617,"[10, 13, 24, 26, 27, 29, 30, 37, 40, 44]",0,[],2.0561,2963.6207,2510000,8136,6864
19,0.550400,1.968129,0.203654,"[1, 7, 9, 13, 15, 26, 27, 29, 37, 44]",0,[],0.7478,3467.7327,2510000,8136,6816
20,0.539100,2.030936,0.289722,"[13, 15, 24, 26, 27, 29, 35, 38, 40, 43]",1,[35],0.9803,2625.5982,2510000,8136,6820
21,0.555200,2.039200,0.210575,"[3, 9, 24, 26, 27, 29, 37, 40, 43, 47]",0,[],2.2316,2849.8793,2510000,8136,6816
22,0.553800,1.961345,0.301837,"[7, 9, 13, 14, 25, 26, 29, 37, 40, 41]",1,[25],1.2230,3629.2242,2510000,8136,6816
23,0.553000,2.063275,0.226944,"[9, 12, 15, 20, 26, 29, 37, 38, 40, 44]",0,[],1.0492,2943.9538,2510000,8136,6864
24,0.545700,2.066181,0.234838,"[9, 13, 26, 33, 34, 37, 38, 40, 43, 44]",0,[],0.8685,3754.4801,2510000,8136,6816
25,0.542300,2.165730,0.186657,"[9, 10, 15, 27, 29, 31, 37, 40, 43, 44]",0,[],0.9521,3459.7244,2510000,8136,6816
26,0.531200,2.292258,0.219424,"[9, 13, 26, 30, 37, 38, 40, 41, 43, 44]",0,[],0.7865,4438.2033,2510000,8136,6816
27,0.542000,2.197248,0.229067,"[9, 13, 14, 24, 37, 38, 40, 42, 43, 44]",1,[42],0.6550,4386.1621,2510000,8136,6816
28,0.554800,2.162424,0.187901,"[1, 10, 13, 21, 26, 37, 38, 40, 43, 44]",0,[],0.8665,4387.8047,2510000,8136,6816
29,0.542600,2.352539,0.127343,"[9, 13, 14, 26, 27, 29, 37, 38, 40, 43]",0,[],0.7042,4687.0587,2510000,8136,6816
30,0.539800,2.322931,0.143275,"[9, 13, 26, 27, 29, 37, 38, 43, 44, 48]",0,[],1.0036,5045.8744,2510000,8136,6816
31,0.543400,2.448480,0.161158,"[3, 9, 13, 19, 29, 37, 38, 40, 43, 44]",0,[],0.8455,2794.9246,2510000,8136,6816
32,0.531100,2.392196,0.313089,"[9, 13, 23, 25, 26, 29, 37, 43, 44, 47]",2,"[23, 25]",1.0839,2517.9969,2510000,8136,6772
33,0.535600,2.348638,0.225086,"[8, 9, 12, 13, 26, 29, 36, 37, 38, 44]",0,[],1.0445,2360.3713,2510000,8136,6816
34,0.530300,2.376704,0.148237,"[8, 9, 11, 13, 29, 37, 38, 40, 43, 44]",0,[],0.7975,2312.6553,2510000,8136,6816
35,0.537600,2.569652,0.104969,"[5, 9, 13, 26, 29, 37, 38, 40, 43, 44]",0,[],1.1099,3134.2261,2510000,8136,6816
36,0.538600,2.706849,0.106906,"[5, 9, 13, 24, 26, 29, 37, 38, 43, 44]",0,[],1.1837,3408.3347,2510000,8136,6816
37,0.535700,2.783986,0.087350,"[9, 13, 26, 29, 32, 37, 38, 40, 43, 44]",0,[],2.2688,2036.9946,2510000,8136,6816
38,0.532400,2.808227,0.121652,"[9, 13, 15, 26, 29, 37, 38, 43, 44, 48]",0,[],0.9678,2292.5346,2510000,8136,6864
39,0.539300,2.889546,0.153674,"[7, 9, 13, 26, 29, 37, 38, 42, 43, 44]",1,[42],0.7253,4369.2208,2510000,8136,6816
40,0.535800,2.910291,0.189493,"[0, 9, 13, 26, 31, 37, 38, 40, 43, 44]",0,[],0.8538,3652.3048,2510000,8136,6816
41,0.538000,2.911501,0.111898,"[9, 12, 13, 26, 29, 37, 38, 40, 43, 44]",0,[],0.9736,4273.2028,2510000,8136,6816
42,0.537600,3.007062,0.142407,"[3, 8, 9, 13, 26, 29, 37, 38, 43, 44]",0,[],0.8815,3319.4820,2510000,8136,6816
43,0.541100,2.905972,0.076783,"[9, 13, 24, 26, 29, 37, 38, 40, 43, 44]",0,[],1.2117,3471.5777,2510000,8136,6816
44,0.543300,2.859075,0.199201,"[13, 15, 26, 29, 30, 37, 38, 39, 43, 44]",1,[39],2.2700,2987.1340,2510000,8136,6816
45,0.538900,3.031025,0.107546,"[9, 13, 26, 29, 34, 37, 38, 40, 43, 44]",0,[],0.7578,2815.5667,2510000,8136,6816
46,0.541000,3.102393,0.105568,"[9, 10, 13, 26, 27, 29, 37, 38, 43, 44]",0,[],0.7170,3796.7004,2510000,8136,6816
47,0.538900,3.078722,0.110876,"[9, 13, 21, 24, 26, 29, 37, 38, 43, 44]",0,[],0.6033,4491.0258,2510000,8136,6816
48,0.542300,3.164554,0.107057,"[8, 9, 13, 15, 26, 29, 37, 38, 43, 44]",0,[],1.4400,4803.7013,2510000,8136,6816
49,0.536500,3.140983,0.132891,"[4, 7, 9, 13, 26, 29, 37, 38, 43, 44]",0,[],0.5467,4820.3030,2510000,8136,6816
50,0.541700,3.251472,0.139414,"[9, 13, 26, 29, 32, 37, 38, 41, 43, 44]",0,[],0.6502,3099.2366,2510000,8136,6816
51,0.537500,3.051569,0.255550,"[6, 9, 13, 26, 28, 33, 37, 38, 43, 44]",0,[],2.7221,3369.8467,2510000,8136,6816
52,0.537200,3.291377,0.081315,"[9, 13, 26, 27, 29, 37, 38, 40, 43, 44]",0,[],0.7834,2714.5521,2510000,8136,7200
53,0.539600,3.351407,0.180163,"[7, 9, 13, 26, 29, 35, 37, 38, 43, 44]",1,[35],0.5531,2696.6876,2510000,8136,7200
54,0.541000,3.324156,0.148027,"[9, 11, 13, 26, 27, 29, 37, 38, 43, 44]",0,[],0.8183,2721.7590,2510000,8136,6816
55,0.539400,3.367025,0.129693,"[9, 13, 15, 22, 26, 29, 37, 38, 43, 44]",0,[],0.7578,2319.9125,2510000,8136,6816
56,0.539000,3.378552,0.139857,"[0, 9, 13, 24, 26, 29, 37, 38, 43, 44]",0,[],0.7263,3139.2536,2510000,8136,6816
57,0.540100,3.501352,0.213972,"[2, 9, 13, 23, 26, 29, 37, 38, 43, 44]",1,[23],1.7798,2359.0084,2510000,8136,6816
58,0.536900,3.494780,0.154430,"[3, 9, 13, 17, 26, 29, 37, 38, 43, 44]",0,[],0.8142,2636.2735,2510000,8136,6816
59,0.538600,3.481032,0.137840,"[8, 9, 13, 18, 26, 29, 37, 38, 43, 44]",0,[],0.7562,3042.1172,2510000,8136,6816
60,0.539000,3.569713,0.123010,"[9, 13, 16, 26, 29, 37, 38, 40, 43, 44]",0,[],4.3636,2831.9804,2510000,8136,6816
