round_num,client_id,is_malicious,was_selected,local_loss,gradient_norm,reputation_score,beta_params
1,22,0,1,1.543830353617668,2.1234285831451416,,"[1, 1]"
1,27,1,1,1.7758248949050903,2.3367037773132324,,"[1, 1]"
1,8,0,1,1.6975820673836601,1.4287803173065186,,"[1, 1]"
1,9,0,1,1.5954913612206776,2.6903481483459473,,"[1, 1]"
1,36,1,1,1.6750051570975262,1.8611576557159424,,"[1, 1]"
1,17,1,1,1.2055768302258323,3.9623703956604004,,"[1, 1]"
1,29,1,1,1.4037107543698673,2.5388896465301514,,"[1, 1]"
1,26,0,1,1.7660704511584657,2.5393025875091553,,"[1, 1]"
1,4,0,1,1.4956986023320091,1.8592596054077148,,"[1, 1]"
1,13,0,1,1.033733180819488,2.7385809421539307,,"[1, 1]"
2,3,1,1,1.3402919668704272,2.931131362915039,,"[1, 1]"
2,44,1,1,1.2597667671166934,2.5394704341888428,,"[1, 1]"
2,43,1,1,1.3299162338761723,1.9543436765670776,,"[1, 1]"
2,40,0,1,1.1153472438880376,3.057690143585205,,"[1, 1]"
2,2,0,1,0.9007992151108655,2.3677735328674316,,"[1, 1]"
2,7,0,1,0.8436569039918939,3.0825483798980713,,"[1, 1]"
2,37,0,1,1.188770150221311,3.1021292209625244,,"[1, 1]"
2,22,0,1,1.1931616765260697,2.3397951126098633,,"[2, 1]"
2,21,0,1,1.373892117949093,2.2126636505126953,,"[1, 1]"
2,36,1,1,1.4472131869067317,2.225297212600708,,"[2, 1]"
3,23,0,1,1.2641499475070408,3.235365152359009,,"[1, 1]"
3,29,1,1,1.0385155468151488,2.8546085357666016,,"[2, 1]"
3,36,1,1,1.3134831501090007,2.3649611473083496,,"[3, 1]"
3,40,0,1,0.9167085451739175,3.0461347103118896,,"[2, 1]"
3,10,0,1,1.2129871290922165,2.5558269023895264,,"[1, 1]"
3,14,0,1,1.0449062367280324,3.131997585296631,,"[1, 1]"
3,33,0,1,1.1383230220187794,2.185894727706909,,"[1, 1]"
3,2,0,1,0.7027259265834634,2.261842727661133,,"[2, 1]"
3,38,0,1,1.30041434235043,2.396723508834839,,"[1, 1]"
3,37,0,1,1.0386771368674743,3.366849422454834,,"[2, 1]"
4,3,1,1,1.1630246713757515,3.3778645992279053,,"[2, 1]"
4,10,0,1,0.9480835849046707,2.6874618530273438,,"[2, 1]"
4,35,0,1,0.9025825832571303,2.5170998573303223,,"[1, 1]"
4,26,0,1,1.1351606499065052,3.3756349086761475,,"[2, 1]"
4,36,1,1,1.252222410492275,2.6732912063598633,,"[4, 1]"
4,24,1,1,0.9243437893462904,3.298387289047241,,"[1, 1]"
4,25,1,1,1.0263549553496496,2.763329029083252,,"[1, 1]"
4,13,0,1,0.6502976503314042,2.957062244415283,,"[2, 1]"
4,30,0,1,1.2722336846239426,2.241744041442871,,"[1, 1]"
4,9,0,1,1.0700499151150387,3.1960549354553223,,"[2, 1]"
5,5,0,1,0.9781980798099981,3.4450602531433105,,"[1, 1]"
5,23,0,1,0.9944098963056291,3.685292959213257,,"[2, 1]"
5,30,0,1,1.0522598676821764,2.5922646522521973,,"[2, 1]"
5,9,0,1,0.8990608191490174,3.3217453956604004,,"[3, 1]"
5,35,0,1,0.7385397334893544,2.622086524963379,,"[2, 1]"
5,38,0,1,1.0369057767921024,2.5876591205596924,,"[2, 1]"
5,49,1,1,1.1418714220877046,4.427730560302734,,"[1, 1]"
5,2,0,1,0.577719293941151,2.6689484119415283,,"[3, 1]"
5,3,1,1,1.0650721276178956,3.3908581733703613,,"[3, 1]"
5,33,0,1,1.0129208659583873,2.7458252906799316,,"[2, 1]"
6,33,0,1,0.7126512775366957,2.721128463745117,,"[3, 1]"
6,25,1,1,0.815971662742751,2.7961270809173584,,"[2, 1]"
6,23,0,1,0.7982068568468094,3.8189549446105957,,"[3, 1]"
6,38,0,1,0.6800466787483957,2.696587324142456,,"[3, 1]"
6,10,0,1,0.6605181519687175,2.81892991065979,,"[3, 1]"
6,24,1,1,0.8274715914870754,3.626746892929077,,"[2, 1]"
6,2,0,1,0.40087407048452983,2.285139560699463,,"[4, 1]"
6,12,0,1,0.9062153586319515,3.4279747009277344,,"[1, 1]"
6,35,0,1,0.6345366953384308,2.624598503112793,,"[3, 1]"
6,30,0,1,0.8780311731731191,2.6804020404815674,,"[3, 1]"
7,38,0,1,0.6059093948867585,2.657083034515381,,"[4, 1]"
7,2,0,1,0.3217812454835935,2.328975200653076,,"[4, 2]"
7,11,0,1,0.77047427310185,3.9865729808807373,,"[1, 1]"
7,25,1,1,0.6453651392034122,2.5654122829437256,,"[3, 1]"
7,4,0,1,0.6459920412964291,2.7872114181518555,,"[2, 1]"
7,9,0,1,0.6723345549901326,3.7680392265319824,,"[4, 1]"
7,42,1,1,0.7373835009336471,3.079428195953369,,"[1, 1]"
7,30,0,1,0.6714576667722534,2.941720485687256,,"[4, 1]"
7,31,1,1,0.9468968217189495,3.7363972663879395,,"[1, 1]"
7,21,0,1,0.6307426066083066,2.656466245651245,,"[2, 1]"
8,34,0,1,0.822638589553535,4.739007949829102,,"[1, 1]"
8,38,0,1,0.639966057986021,2.930607557296753,,"[5, 1]"
8,13,0,1,0.4229579055454673,3.394665479660034,,"[3, 1]"
8,36,1,1,1.2387234407922496,3.7020955085754395,,"[5, 1]"
8,26,0,1,0.9134738633126923,4.023320198059082,,"[3, 1]"
8,33,0,1,0.7973634925755587,3.0992319583892822,,"[4, 1]"
8,27,1,1,1.1355335621833802,3.659029006958008,,"[2, 1]"
8,48,0,1,0.7381018227085154,4.5176897048950195,,"[1, 1]"
8,30,0,1,0.5377156447838335,2.676668882369995,,"[5, 1]"
8,44,1,1,1.1031150650519592,4.013457298278809,,"[2, 1]"
9,38,0,1,0.4605483158181111,2.634986162185669,,"[6, 1]"
9,35,0,1,0.553260969760872,2.8514745235443115,,"[4, 1]"
9,3,1,1,0.922189723700285,3.949842929840088,,"[4, 1]"
9,10,0,1,0.5875744376704097,3.012763738632202,,"[4, 1]"
9,32,0,1,0.5454871627502144,2.577634811401367,,"[1, 1]"
9,48,0,1,0.6501707513915732,4.477152347564697,,"[2, 1]"
9,36,1,1,0.8844271447347558,3.37471604347229,,"[6, 1]"
9,42,1,1,0.7211299924552441,3.327683448791504,,"[2, 1]"
9,25,1,1,0.6873148368937628,3.0462286472320557,,"[4, 1]"
9,14,0,1,0.6148752195365501,3.520303249359131,,"[2, 1]"
10,42,1,1,0.464071791395545,2.878488779067993,,"[3, 1]"
10,44,1,1,0.8564561497706633,3.667728900909424,,"[3, 1]"
10,36,1,1,0.8810988065989122,3.5054452419281006,,"[7, 1]"
10,10,0,1,0.4718380754068494,2.959240198135376,,"[5, 1]"
10,7,0,1,0.4464733718077139,3.842057228088379,,"[2, 1]"
10,14,0,1,0.5625780544046199,3.584585189819336,,"[3, 1]"
10,33,0,1,0.6891023271463134,3.3129122257232666,,"[5, 1]"
10,26,0,1,0.7630521099224236,3.9905707836151123,,"[4, 1]"
10,27,1,1,1.0305008161067963,3.7879116535186768,,"[3, 1]"
10,45,1,1,0.7503027997201397,3.442780017852783,,"[1, 1]"
11,22,0,1,0.6443964982032776,3.226466655731201,,"[3, 1]"
11,42,1,1,0.483786027058959,3.071796178817749,,"[3, 2]"
11,9,0,1,0.7202573576569558,3.965547561645508,,"[4, 2]"
11,33,0,1,0.5329965369267897,3.0761983394622803,,"[6, 1]"
11,29,1,1,0.6237699633014613,3.675802230834961,,"[3, 1]"
11,26,0,1,0.7602419570539937,4.06369686126709,,"[5, 1]"
11,27,1,1,0.7674530891776085,3.791874647140503,,"[4, 1]"
11,14,0,1,0.4672745959889708,3.489591598510742,,"[4, 1]"
11,28,1,1,0.9313227909803391,5.106807708740234,,"[1, 1]"
11,32,0,1,0.5481803704751655,2.674330234527588,,"[2, 1]"
12,21,0,1,0.5353857493575882,3.0138864517211914,,"[3, 1]"
12,37,0,1,0.5543939422720517,4.077152252197266,,"[3, 1]"
12,7,0,1,0.4777361507318458,4.076157093048096,,"[3, 1]"
12,5,0,1,0.6529583686680505,4.238980293273926,,"[2, 1]"
