round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.248600,2.195114,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",4,"[17, 27, 29, 36]",0.2856,3764.2822,2510000,8136,10616
2,0.310300,1.878816,1.239005,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",3,"[3, 43, 44]",1.0925,3024.0269,2510000,8136,7653
3,0.303400,1.895304,1.062639,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[29],0.3106,2531.3464,2510000,8136,7584
4,0.366600,1.720053,0.885578,"[3, 9, 10, 13, 24, 25, 26, 30, 35, 47]",3,"[3, 24, 25]",0.7762,2506.0739,2510000,8136,7488
5,0.420200,1.647869,0.801991,"[2, 3, 7, 9, 11, 21, 23, 33, 35, 48]",1,[3],0.4825,2800.8545,2510000,8136,7056
6,0.448000,1.651773,0.696592,"[2, 9, 11, 12, 14, 23, 24, 35, 38, 48]",1,[24],0.4014,3968.0171,2510000,8136,6912
7,0.355400,2.369189,0.586880,"[2, 9, 13, 21, 23, 24, 30, 31, 38, 42]",3,"[24, 31, 42]",0.3757,2284.9689,2510000,8136,6864
8,0.477900,1.592808,0.725354,"[10, 13, 20, 22, 23, 26, 27, 30, 33, 37]",2,"[20, 27]",0.4713,2200.8618,2510000,8136,6912
9,0.472300,1.675209,0.579629,"[3, 10, 14, 23, 26, 32, 33, 38, 42, 47]",2,"[3, 42]",0.5454,2192.7145,2510000,8136,6820
10,0.487800,1.780126,0.583120,"[5, 12, 13, 16, 19, 35, 37, 42, 44, 47]",3,"[16, 42, 44]",0.4864,4313.5435,2510000,8136,7248
11,0.432100,2.313093,0.497191,"[9, 10, 12, 13, 14, 26, 33, 37, 44, 47]",1,[44],0.5768,2961.4261,2510000,8136,7344
12,0.473400,1.755681,0.523015,"[6, 10, 11, 19, 33, 34, 35, 37, 38, 47]",1,[6],0.8594,3185.0574,2510000,8136,6816
13,0.499600,1.911533,0.389610,"[9, 10, 13, 14, 25, 27, 29, 35, 39, 43]",4,"[25, 27, 29, 43]",0.8895,3163.0972,2510000,8136,6912
14,0.504800,1.780316,0.459904,"[3, 7, 9, 14, 18, 24, 26, 32, 35, 43]",3,"[3, 24, 43]",1.4222,3682.4464,2510000,8136,6864
15,0.482700,2.346721,0.470057,"[9, 10, 12, 19, 23, 24, 31, 33, 40, 44]",3,"[24, 31, 44]",0.7365,2684.1955,2510000,8136,6864
16,0.455000,1.940374,0.508298,"[7, 21, 22, 23, 26, 27, 30, 38, 43, 47]",2,"[27, 43]",1.1768,2761.0916,2510000,8136,6816
17,0.367600,3.592163,0.522117,"[5, 9, 20, 26, 27, 28, 29, 38, 43, 47]",5,"[20, 27, 28, 29, 43]",0.7142,3256.7113,2510000,8136,6816
18,0.447500,1.966089,0.515068,"[3, 5, 10, 12, 13, 19, 22, 23, 24, 33]",2,"[3, 24]",1.3102,2382.4865,2510000,8136,6864
19,0.493100,2.029110,0.424149,"[3, 9, 10, 12, 14, 23, 27, 31, 33, 35]",3,"[3, 27, 31]",1.0315,2248.5174,2510000,8136,6816
20,0.456500,2.603998,0.497052,"[2, 3, 5, 26, 27, 29, 31, 33, 39, 45]",5,"[3, 27, 29, 31, 45]",1.7609,2968.9634,2510000,8136,6816
21,0.473600,2.465143,0.483001,"[7, 9, 12, 13, 23, 24, 26, 27, 40, 43]",3,"[24, 27, 43]",1.0101,3060.4747,2510000,8136,6864
22,0.455400,2.886309,0.518890,"[3, 7, 9, 14, 23, 24, 30, 40, 43, 44]",4,"[3, 24, 43, 44]",0.7615,3052.8662,2510000,8136,6816
23,0.486800,2.161265,0.400473,"[5, 7, 9, 19, 21, 22, 23, 24, 40, 42]",2,"[24, 42]",1.9137,3411.4901,2510000,8136,7200
24,0.470900,3.016651,0.484406,"[3, 9, 10, 23, 26, 29, 31, 38, 43, 44]",5,"[3, 29, 31, 43, 44]",1.8095,2585.4032,2510000,8136,7200
25,0.482000,3.004456,0.495185,"[3, 9, 15, 21, 23, 29, 30, 35, 37, 41]",4,"[3, 15, 29, 41]",0.9512,3337.1089,2510000,8136,6816
26,0.327600,12.542567,0.682425,"[0, 3, 9, 10, 20, 25, 29, 38, 43, 44]",7,"[0, 3, 20, 25, 29, 43, 44]",4.3220,3515.6857,2510000,8136,6912
27,0.100000,1086.622625,1.221550,"[3, 6, 14, 15, 24, 33, 40, 43, 44, 47]",6,"[3, 6, 15, 24, 43, 44]",3.3428,3764.0825,2510000,8136,6820
28,0.101100,2.351322,10.626684,"[1, 14, 21, 22, 23, 31, 40, 42, 43, 44]",4,"[31, 42, 43, 44]",1.8874,2049.1032,2510000,8136,6772
29,0.101400,2.468987,1.898012,"[3, 14, 15, 26, 30, 31, 33, 40, 43, 44]",5,"[3, 15, 31, 43, 44]",0.8908,2477.1218,2510000,8136,6864
30,0.106100,2.881883,1.971478,"[3, 14, 15, 26, 27, 29, 32, 40, 43, 44]",6,"[3, 15, 27, 29, 43, 44]",0.6649,3183.5848,2510000,8136,7800
31,0.111500,3.037050,1.994021,"[3, 14, 23, 29, 30, 37, 40, 42, 43, 44]",5,"[3, 29, 42, 43, 44]",1.0341,3703.8221,2510000,8136,6816
32,0.101600,4.538191,1.935667,"[3, 12, 13, 15, 40, 41, 42, 43, 44, 49]",7,"[3, 15, 41, 42, 43, 44, 49]",1.5303,2711.7602,2510000,8136,6816
33,0.100700,10.285073,2.241786,"[3, 8, 13, 14, 27, 29, 40, 41, 43, 44]",6,"[3, 27, 29, 41, 43, 44]",0.8680,2145.2290,2510000,8136,6864
34,0.101300,17.374209,2.460338,"[0, 3, 12, 14, 23, 27, 40, 41, 43, 47]",5,"[0, 3, 27, 41, 43]",2.1261,4089.2841,2510000,8136,6816
35,0.100000,9331.202750,2.640490,"[3, 14, 21, 22, 29, 41, 42, 43, 44, 47]",6,"[3, 29, 41, 42, 43, 44]",0.9395,3140.9725,2510000,8136,6816
36,0.100000,3.271877,nan,"[1, 3, 5, 14, 23, 35, 40, 42, 43, 44]",4,"[3, 42, 43, 44]",1.0667,3808.0754,2510000,8136,6816
