round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.238000,1.998920,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.8408,5324.8798,2510000,8136,10616
2,0.351000,1.685795,1.053289,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],6.3975,3368.0399,2510000,8136,7653
3,0.173300,5.885932,0.910181,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],2.6915,5008.9913,2510000,8136,7200
4,0.207300,2.493219,1.354519,"[3, 9, 10, 13, 24, 25, 26, 30, 35, 47]",2,"[25, 35]",0.5915,5479.4486,2510000,8136,7104
5,0.332900,1.817399,1.147249,"[2, 3, 7, 9, 11, 21, 33, 37, 40, 49]",0,[],0.8515,5451.7904,2510000,8136,7056
6,0.394100,1.678789,1.090819,"[10, 15, 16, 19, 27, 29, 31, 37, 38, 48]",0,[],0.8698,5068.1669,2510000,8136,6912
7,0.390400,1.779493,0.841545,"[2, 9, 10, 18, 19, 24, 32, 37, 38, 48]",0,[],1.0051,3218.6452,2510000,8136,7056
8,0.287600,3.291613,0.872164,"[10, 11, 12, 15, 17, 26, 29, 37, 38, 39]",1,[39],0.6469,5418.4810,2510000,8136,6912
9,0.359200,1.910193,1.104293,"[3, 10, 14, 15, 25, 27, 29, 32, 37, 47]",1,[25],1.4948,4659.5449,2510000,8136,6912
10,0.361100,1.831653,1.045824,"[3, 5, 9, 10, 12, 13, 16, 20, 22, 37]",0,[],2.2778,4761.3426,2510000,8136,6816
11,0.407000,1.780445,0.938512,"[9, 10, 13, 14, 15, 19, 26, 29, 31, 48]",0,[],5.9952,3857.7051,2510000,8136,6912
12,0.366000,1.947550,0.848081,"[3, 6, 13, 15, 19, 29, 40, 41, 42, 44]",1,[42],3.7482,2750.2804,2510000,8136,6816
13,0.432600,1.638853,0.929008,"[9, 13, 14, 15, 22, 27, 29, 31, 34, 37]",0,[],2.0378,3220.2592,2510000,8136,6960
14,0.439000,1.604455,0.879185,"[3, 7, 9, 14, 20, 24, 27, 29, 33, 41]",0,[],2.5423,3348.4191,2510000,8136,6864
15,0.445300,1.707832,0.816883,"[9, 11, 14, 24, 26, 27, 29, 37, 40, 41]",0,[],0.7908,3989.6237,2510000,8136,6816
16,0.455500,1.668106,0.756347,"[3, 12, 13, 14, 22, 24, 26, 27, 29, 40]",0,[],0.3824,3147.7028,2510000,8136,6816
17,0.266100,3.287016,0.876298,"[0, 3, 5, 9, 13, 23, 27, 28, 29, 31]",1,[23],26.0253,3374.8390,2510000,8136,6816
18,0.378400,1.794016,1.058814,"[3, 5, 12, 13, 24, 27, 29, 40, 41, 47]",0,[],1.5500,2708.4501,2510000,8136,6912
19,0.431100,1.853411,0.859136,"[1, 9, 13, 15, 24, 27, 29, 31, 40, 41]",0,[],1.1376,2149.0857,2510000,8136,6816
20,0.417200,1.847221,0.781471,"[3, 9, 13, 24, 27, 29, 38, 40, 41, 47]",0,[],1.3957,2274.5020,2510000,8136,6864
21,0.449100,1.699199,0.787556,"[1, 2, 3, 9, 12, 24, 29, 31, 40, 43]",0,[],1.7795,3948.5815,2510000,8136,6816
22,0.456400,1.757459,0.730917,"[3, 9, 12, 13, 15, 24, 27, 37, 40, 41]",0,[],0.5882,3660.8462,2510000,8136,6816
23,0.465400,1.721156,0.691263,"[1, 3, 9, 12, 19, 24, 29, 31, 40, 47]",0,[],2.7894,3098.8185,2510000,8136,7200
24,0.464000,1.767395,0.718901,"[3, 5, 9, 12, 24, 27, 29, 31, 40, 48]",0,[],1.1185,3151.8720,2510000,8136,7200
25,0.468200,1.816015,0.647628,"[3, 9, 12, 14, 24, 27, 29, 37, 40, 41]",0,[],1.0655,3854.1303,2510000,8136,6816
26,0.464600,1.758281,0.729793,"[5, 6, 12, 24, 27, 29, 31, 40, 41, 44]",0,[],1.3957,3024.9933,2510000,8136,6816
27,0.440000,1.739155,0.672392,"[1, 7, 8, 9, 11, 13, 20, 31, 40, 47]",0,[],12.3068,3725.0669,2510000,8136,6816
28,0.465200,1.865669,0.612767,"[3, 9, 12, 13, 24, 26, 31, 37, 40, 41]",0,[],1.8505,3879.0764,2510000,8136,6816
29,0.457300,1.964121,0.656834,"[3, 9, 12, 24, 29, 30, 31, 38, 40, 41]",0,[],2.1807,2957.6907,2510000,8136,6816
30,0.469100,1.728255,0.552966,"[7, 12, 24, 27, 29, 31, 32, 40, 41, 47]",0,[],0.8333,2380.7124,2510000,8136,6816
31,0.466800,1.939782,0.560788,"[3, 9, 13, 24, 29, 31, 40, 43, 45, 48]",0,[],1.9262,3791.1936,2510000,8136,6816
32,0.479400,1.872615,0.579048,"[1, 3, 5, 9, 12, 24, 27, 31, 40, 41]",0,[],0.6314,4647.8851,2510000,8136,6864
33,0.416100,2.433502,0.535006,"[3, 7, 9, 10, 12, 13, 24, 35, 40, 41]",1,[35],0.9413,3780.6899,2510000,8136,6816
34,0.452900,1.937394,0.753960,"[1, 3, 9, 12, 14, 16, 24, 29, 31, 41]",0,[],2.4644,3291.0053,2510000,8136,6816
35,0.458900,1.957639,0.614479,"[1, 3, 5, 9, 12, 13, 21, 24, 31, 41]",0,[],1.5492,2359.0576,2510000,8136,6816
36,0.465600,2.027862,0.579695,"[1, 3, 5, 9, 13, 24, 29, 31, 33, 41]",0,[],4.5810,2129.4928,2510000,8136,6816
37,0.395800,2.544937,0.690266,"[3, 9, 10, 12, 14, 15, 26, 29, 35, 41]",1,[35],1.1899,2575.9357,2510000,8136,6816
38,0.472400,1.882260,0.786518,"[1, 10, 12, 24, 27, 29, 30, 31, 40, 41]",0,[],0.8378,2758.9488,2510000,8136,6816
39,0.479500,1.861921,0.669168,"[1, 6, 9, 12, 13, 15, 27, 29, 31, 41]",0,[],1.8820,2463.4291,2510000,8136,6816
40,0.489600,1.768603,0.666697,"[0, 3, 9, 12, 26, 29, 31, 40, 41, 49]",0,[],1.0660,3046.6675,2510000,8136,6816
41,0.481000,1.906463,0.594865,"[0, 1, 3, 12, 16, 24, 29, 31, 40, 41]",0,[],0.7974,3328.7780,2510000,8136,6816
42,0.490200,1.729986,0.612632,"[1, 3, 12, 13, 18, 27, 29, 34, 41, 44]",0,[],0.8178,3463.6153,2510000,8136,6816
43,0.492500,1.918349,0.573617,"[1, 3, 9, 10, 12, 26, 29, 31, 37, 41]",0,[],1.0323,3731.9369,2510000,8136,6816
44,0.465500,1.859357,0.623699,"[1, 3, 9, 10, 12, 13, 38, 40, 41, 46]",0,[],2.2953,3253.5533,2510000,8136,6816
