round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.179200,2.144616,1.519252,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",4,"[17, 27, 29, 36]",0.2464,4469.4511,2510000,8136,10616
2,0.270400,1.938702,1.127443,"[2, 3, 7, 21, 22, 36, 37, 40, 43, 44]",4,"[3, 36, 43, 44]",0.7718,2721.7184,2510000,8136,7653
3,0.311600,1.939241,1.014369,"[2, 10, 14, 23, 29, 33, 36, 38, 40, 46]",2,"[29, 36]",1.7096,3673.9986,2510000,8136,7200
4,0.357600,1.744569,0.868135,"[9, 10, 13, 24, 25, 26, 30, 35, 36, 47]",3,"[24, 25, 36]",1.2332,4101.1193,2510000,8136,7104
5,0.376900,1.814297,0.795577,"[2, 3, 5, 9, 21, 23, 30, 33, 44, 45]",3,"[3, 44, 45]",0.7182,4948.7130,2510000,8136,7056
6,0.335500,1.860108,0.692277,"[2, 10, 23, 24, 25, 30, 33, 34, 36, 43]",4,"[24, 25, 36, 43]",0.5285,1752.9249,2510000,8136,7296
7,0.320100,2.011643,0.562733,"[2, 4, 9, 11, 24, 28, 32, 33, 36, 40]",3,"[24, 28, 36]",0.3932,2138.0786,2510000,8136,7248
8,0.381200,1.922185,0.518548,"[9, 13, 22, 30, 32, 36, 38, 40, 41, 42]",3,"[36, 41, 42]",0.5760,2196.6045,2510000,8136,6960
9,0.196000,2.551339,0.565937,"[3, 10, 13, 25, 29, 31, 35, 36, 44, 45]",7,"[3, 25, 29, 31, 36, 44, 45]",0.8381,1620.6354,2510000,8136,6912
10,0.303400,2.277851,0.496403,"[4, 13, 19, 29, 36, 38, 40, 44, 47, 49]",4,"[29, 36, 44, 49]",4.5173,2715.7102,2510000,8136,6864
11,0.460200,1.756795,0.406508,"[9, 10, 13, 22, 24, 30, 33, 36, 40, 42]",3,"[24, 36, 42]",0.5536,2355.6058,2510000,8136,7800
12,0.179800,2.672243,0.516852,"[4, 6, 10, 13, 19, 27, 38, 43, 44, 45]",5,"[6, 27, 43, 44, 45]",0.8457,2139.5047,2510000,8136,6816
13,0.330300,1.929222,0.483082,"[4, 10, 15, 21, 29, 30, 33, 36, 38, 45]",4,"[15, 29, 36, 45]",2.8141,2110.6936,2510000,8136,6864
14,0.269000,2.394066,0.405985,"[3, 7, 22, 27, 29, 33, 35, 38, 42, 43]",5,"[3, 27, 29, 42, 43]",4.0381,2441.7967,2510000,8136,6864
15,0.467500,1.900604,0.336422,"[3, 10, 13, 18, 23, 29, 33, 38, 40, 45]",3,"[3, 29, 45]",0.7948,3186.8375,2510000,8136,6816
16,0.218700,2.490505,0.418259,"[5, 19, 21, 22, 25, 29, 36, 38, 42, 45]",5,"[25, 29, 36, 42, 45]",1.9977,1910.1577,2510000,8136,6864
17,0.432700,1.838029,0.354586,"[0, 4, 10, 22, 29, 35, 36, 38, 40, 45]",4,"[0, 29, 36, 45]",1.1519,3104.3402,2510000,8136,6816
18,0.295000,2.217077,0.359878,"[5, 22, 25, 33, 35, 36, 38, 42, 43, 44]",5,"[25, 36, 42, 43, 44]",3.0841,2502.8230,2510000,8136,6864
19,0.421300,1.963923,0.384716,"[1, 10, 21, 25, 26, 31, 33, 35, 36, 44]",4,"[25, 31, 36, 44]",1.2995,2616.1114,2510000,8136,6816
20,0.462800,1.757077,0.315981,"[10, 21, 25, 30, 33, 36, 39, 40, 42, 48]",3,"[25, 36, 42]",1.5575,3785.0912,2510000,8136,6864
21,0.173700,3.253256,0.358934,"[4, 10, 16, 19, 29, 33, 36, 38, 43, 44]",5,"[16, 29, 36, 43, 44]",3.6420,3801.5548,2510000,8136,6912
22,0.493900,1.676055,0.304757,"[7, 10, 21, 22, 29, 33, 35, 38, 40, 44]",2,"[29, 44]",0.7390,3663.7176,2510000,8136,6864
23,0.410200,2.231244,0.260652,"[4, 10, 11, 13, 29, 33, 36, 38, 40, 44]",3,"[29, 36, 44]",0.7663,4076.5649,2510000,8136,6816
24,0.284800,2.384213,0.237404,"[10, 22, 29, 33, 36, 38, 40, 43, 44, 45]",5,"[29, 36, 43, 44, 45]",0.9005,3211.9154,2510000,8136,6816
25,0.401800,2.000936,0.269235,"[4, 9, 10, 19, 24, 25, 29, 33, 40, 43]",4,"[24, 25, 29, 43]",0.7834,2151.3986,2510000,8136,6816
26,0.442000,2.166834,0.226489,"[13, 19, 21, 33, 35, 36, 38, 40, 43, 44]",3,"[36, 43, 44]",0.9929,2474.4527,2510000,8136,6816
27,0.438000,1.799900,0.256628,"[4, 10, 14, 20, 21, 22, 33, 35, 36, 38]",2,"[20, 36]",0.8879,2583.0783,2510000,8136,6816
28,0.326100,2.546075,0.201562,"[1, 4, 10, 21, 22, 29, 36, 40, 43, 44]",4,"[29, 36, 43, 44]",2.9518,2108.2508,2510000,8136,6864
29,0.495000,1.983171,0.162771,"[4, 10, 19, 21, 22, 33, 36, 38, 40, 44]",2,"[36, 44]",127.2811,1754.4474,2510000,8136,6816
30,0.473700,1.933134,0.176566,"[4, 10, 13, 19, 22, 33, 35, 36, 38, 43]",2,"[36, 43]",1.5037,2211.4375,2510000,8136,6816
31,0.424100,2.205511,0.175323,"[3, 10, 21, 22, 33, 36, 38, 39, 40, 43]",3,"[3, 36, 43]",0.7109,3778.8250,2510000,8136,6816
32,0.336800,2.471024,0.212402,"[4, 10, 13, 19, 22, 25, 29, 31, 33, 35]",3,"[25, 29, 31]",0.9718,3214.3202,2510000,8136,6816
33,0.486100,2.006016,0.203315,"[4, 8, 13, 21, 33, 35, 36, 38, 40, 42]",2,"[36, 42]",0.5875,2461.7664,2510000,8136,6816
34,0.450800,2.256071,0.122650,"[13, 19, 21, 22, 33, 35, 36, 38, 40, 44]",2,"[36, 44]",3.5715,2380.8668,2510000,8136,6816
35,0.445800,1.987334,0.165322,"[4, 13, 19, 22, 25, 33, 35, 36, 44, 47]",3,"[25, 36, 44]",1.4375,2178.6339,2510000,8136,6816
36,0.371700,2.326107,0.227836,"[10, 12, 19, 21, 31, 33, 35, 36, 38, 43]",3,"[31, 36, 43]",1.3494,2063.7407,2510000,8136,6816
37,0.506600,2.119177,0.159297,"[4, 10, 19, 21, 30, 33, 35, 36, 38, 40]",1,[36],0.7372,2195.7631,2510000,8136,6820
38,0.442400,2.043859,0.125619,"[4, 10, 19, 21, 22, 33, 35, 36, 38, 45]",2,"[36, 45]",3.1251,1925.7013,2510000,8136,7200
39,0.462800,2.250852,0.102467,"[4, 10, 13, 19, 21, 35, 36, 38, 39, 42]",2,"[36, 42]",1.9563,1773.5094,2510000,8136,7200
40,0.480500,2.102670,0.118225,"[4, 10, 19, 21, 22, 35, 36, 38, 39, 43]",2,"[36, 43]",1.9312,1371.7866,2510000,8136,6816
41,0.526200,2.194645,0.111260,"[4, 10, 13, 19, 21, 22, 30, 33, 35, 38]",0,[],3.2839,1390.2918,2510000,8136,6816
42,0.425700,2.394968,0.103846,"[4, 10, 21, 22, 33, 35, 36, 38, 39, 45]",2,"[36, 45]",0.7194,2503.0889,2510000,8136,6816
43,0.332400,2.636607,0.145158,"[2, 10, 19, 21, 29, 33, 35, 36, 38, 44]",3,"[29, 36, 44]",1.1108,2277.1171,2510000,8136,6816
44,0.499700,2.135678,0.187758,"[8, 10, 19, 21, 22, 33, 34, 35, 38, 40]",0,[],1.6412,2426.9498,2510000,8136,6816
45,0.501000,2.248001,0.116183,"[4, 9, 10, 19, 21, 22, 33, 36, 38, 40]",1,[36],1.6975,2307.8735,2510000,8136,6816
