round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.238000,1.998920,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.2273,3482.9438,2510000,8136,10616
2,0.351000,1.685795,1.053289,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],1.8575,3420.2507,2510000,8136,7653
3,0.430500,1.554227,0.910181,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],1.5066,3928.4067,2510000,8136,7200
4,0.430300,1.582291,0.766423,"[3, 9, 10, 13, 24, 25, 26, 30, 35, 47]",2,"[25, 35]",1.5048,4059.2774,2510000,8136,7104
5,0.440700,1.594328,0.708148,"[2, 3, 7, 9, 11, 23, 30, 33, 35, 48]",2,"[23, 35]",1.3866,4780.1894,2510000,8136,7056
6,0.428500,1.850480,0.631424,"[2, 9, 11, 12, 14, 23, 24, 30, 35, 48]",2,"[23, 35]",0.6530,3227.6842,2510000,8136,6912
7,0.441800,1.805311,0.549547,"[2, 9, 13, 23, 24, 30, 31, 38, 42, 49]",2,"[23, 42]",2.8868,2883.4215,2510000,8136,6864
8,0.500100,1.732877,0.500105,"[10, 11, 13, 20, 22, 26, 27, 31, 33, 37]",0,[],4.6144,3279.6434,2510000,8136,6960
9,0.480900,1.814097,0.440046,"[10, 14, 24, 27, 30, 32, 33, 38, 47, 48]",0,[],1.3338,3206.9763,2510000,8136,7248
10,0.520800,1.685579,0.471596,"[5, 9, 12, 13, 16, 19, 26, 38, 40, 43]",0,[],0.7823,4256.5256,2510000,8136,7248
11,0.566400,1.561756,0.385703,"[9, 10, 12, 13, 26, 27, 29, 30, 31, 44]",0,[],2.1380,4843.4487,2510000,8136,6960
12,0.561700,1.561300,0.388120,"[6, 19, 26, 29, 33, 35, 38, 39, 43, 44]",2,"[35, 39]",1.5575,2674.9418,2510000,8136,6816
13,0.552700,1.701822,0.325398,"[9, 26, 29, 30, 31, 33, 37, 38, 40, 44]",0,[],1.2219,2841.3902,2510000,8136,6912
14,0.555200,1.628848,0.363818,"[3, 7, 9, 13, 14, 22, 24, 28, 35, 41]",1,[35],0.7540,3374.2983,2510000,8136,6816
15,0.568100,1.590583,0.317447,"[9, 12, 14, 21, 22, 30, 40, 43, 44, 48]",0,[],1.3395,3068.9909,2510000,8136,6912
16,0.575700,1.467048,0.311662,"[7, 11, 13, 18, 19, 21, 26, 29, 30, 34]",0,[],0.8011,4064.4453,2510000,8136,6816
17,0.553500,1.786529,0.328356,"[0, 5, 9, 14, 20, 21, 26, 38, 41, 44]",0,[],1.0863,2260.5596,2510000,8136,6912
18,0.578600,1.590241,0.327796,"[3, 5, 9, 10, 12, 22, 30, 31, 35, 37]",1,[35],2.6171,3841.2527,2510000,8136,6864
19,0.582800,1.517115,0.278761,"[1, 7, 14, 24, 27, 29, 30, 31, 38, 40]",0,[],0.7068,4479.3740,2510000,8136,6816
20,0.568900,1.648342,0.273089,"[7, 14, 21, 24, 26, 30, 33, 35, 41, 45]",1,[35],0.6799,4023.3438,2510000,8136,6864
21,0.589000,1.541076,0.260643,"[3, 7, 9, 15, 19, 26, 30, 31, 38, 44]",0,[],0.8190,4202.4604,2510000,8136,6864
22,0.565200,1.774412,0.265048,"[9, 12, 13, 14, 26, 30, 33, 34, 35, 44]",1,[35],2.5347,3946.6800,2510000,8136,6864
23,0.542900,2.011894,0.267940,"[9, 20, 21, 24, 30, 31, 33, 35, 38, 44]",1,[35],2.3540,2654.4560,2510000,8136,6816
24,0.577000,1.647731,0.222462,"[3, 7, 26, 30, 31, 33, 38, 40, 41, 44]",0,[],1.0180,2975.0234,2510000,8136,6816
25,0.538300,2.004513,0.202206,"[11, 19, 21, 26, 31, 33, 38, 39, 40, 44]",1,[39],0.7684,2656.0546,2510000,8136,6816
26,0.568900,1.825275,0.192273,"[5, 11, 14, 22, 26, 30, 31, 33, 40, 44]",0,[],1.3627,3128.7686,2510000,8136,6816
27,0.543100,2.135734,0.216459,"[19, 24, 26, 30, 31, 33, 35, 38, 40, 44]",1,[35],1.9210,2424.9167,2510000,8136,6816
28,0.532900,2.326410,0.229980,"[10, 13, 14, 19, 23, 26, 31, 33, 38, 40]",1,[23],1.1663,4190.0459,2510000,8136,6816
29,0.559100,1.863553,0.173921,"[14, 19, 26, 29, 31, 33, 34, 38, 40, 44]",0,[],1.9863,3355.6761,2510000,8136,6816
30,0.533700,2.318285,0.216015,"[9, 13, 24, 27, 31, 33, 35, 38, 40, 44]",1,[35],1.7166,2430.8906,2510000,8136,6816
31,0.545100,2.137758,0.169865,"[9, 13, 21, 30, 31, 33, 38, 40, 41, 44]",0,[],1.7275,2498.5599,2510000,8136,6816
32,0.556100,1.923860,0.180812,"[13, 14, 19, 26, 27, 30, 32, 33, 38, 44]",0,[],0.9940,2367.1326,2510000,8136,6816
33,0.558400,1.951235,0.211954,"[0, 8, 9, 13, 19, 29, 33, 38, 42, 44]",1,[42],50.6249,2057.9013,2510000,8136,6816
34,0.554300,2.051809,0.170235,"[10, 13, 19, 26, 30, 33, 40, 41, 44, 48]",0,[],1.1724,2913.4452,2510000,8136,6816
35,0.534100,2.197990,0.213857,"[0, 21, 22, 24, 26, 30, 33, 38, 39, 41]",1,[39],1.5309,2850.0944,2510000,8136,6816
36,0.551500,2.061561,0.185486,"[1, 9, 14, 19, 21, 22, 30, 31, 33, 41]",0,[],2.9144,2717.7965,2510000,8136,6816
37,0.551200,2.126533,0.229875,"[3, 9, 10, 19, 22, 24, 30, 35, 38, 40]",1,[35],0.6498,3928.9667,2510000,8136,6816
38,0.558600,1.873439,0.146140,"[7, 9, 10, 19, 21, 30, 33, 38, 40, 44]",0,[],0.8182,4226.1485,2510000,8136,6816
39,0.569400,1.978174,0.153128,"[9, 19, 24, 26, 29, 31, 33, 37, 43, 44]",0,[],0.7116,4176.0487,2510000,8136,6816
40,0.565400,1.909363,0.126393,"[7, 9, 19, 21, 22, 30, 33, 38, 40, 44]",0,[],0.6340,2627.5368,2510000,8136,6816
41,0.564700,2.095253,0.112331,"[14, 19, 21, 26, 27, 30, 31, 33, 38, 44]",0,[],0.8401,2490.0998,2510000,8136,6816
42,0.561900,2.266760,0.121781,"[10, 14, 19, 24, 26, 30, 31, 33, 38, 42]",1,[42],0.7798,2594.6474,2510000,8136,6816
43,0.575700,1.944220,0.140255,"[9, 10, 12, 14, 19, 21, 22, 30, 31, 44]",0,[],0.5840,3067.6343,2510000,8136,6816
44,0.546900,2.012241,0.119126,"[7, 13, 19, 21, 26, 33, 38, 40, 44, 45]",0,[],1.8287,3531.6329,2510000,8136,6816
45,0.570000,2.083800,0.112983,"[3, 10, 19, 26, 29, 31, 33, 38, 40, 44]",0,[],0.6632,3345.3603,2510000,8136,7200
46,0.546500,2.308198,0.102723,"[2, 13, 14, 19, 21, 22, 26, 33, 38, 40]",0,[],0.7214,2755.8173,2510000,8136,7200
47,0.566100,2.144505,0.142160,"[5, 19, 21, 22, 27, 31, 33, 38, 39, 40]",1,[39],0.9885,2895.4724,2510000,8136,6816
48,0.548000,2.438190,0.088756,"[9, 13, 14, 19, 22, 30, 31, 33, 40, 41]",0,[],1.8883,2915.5166,2510000,8136,6816
49,0.562100,2.116476,0.099127,"[13, 14, 17, 19, 24, 30, 31, 38, 40, 44]",0,[],0.6814,3332.5344,2510000,8136,6816
50,0.559700,2.083616,0.136161,"[8, 19, 21, 24, 30, 31, 33, 38, 41, 44]",0,[],0.8010,2560.5083,2510000,8136,6816
51,0.543300,2.256536,0.089369,"[14, 19, 21, 22, 30, 31, 33, 38, 40, 47]",0,[],1.5771,1901.2947,2510000,8136,6816
52,0.563300,2.126949,0.066755,"[7, 9, 14, 19, 21, 30, 31, 33, 38, 44]",0,[],0.8671,2582.4601,2510000,8136,6816
53,0.570100,2.203136,0.145944,"[3, 7, 14, 19, 21, 30, 33, 35, 38, 40]",1,[35],0.6694,3254.8675,2510000,8136,6816
54,0.547800,2.427407,0.090467,"[13, 14, 19, 21, 22, 31, 33, 38, 40, 43]",0,[],2.9712,3570.3335,2510000,8136,6816
55,0.540200,2.471417,0.109179,"[10, 13, 14, 15, 19, 24, 31, 33, 38, 40]",0,[],1.4625,3436.4208,2510000,8136,7200
56,0.560400,2.325859,0.065831,"[14, 19, 21, 22, 30, 31, 33, 38, 40, 44]",0,[],0.6831,2620.1267,2510000,8136,7200
57,0.564700,2.164246,0.094735,"[14, 16, 19, 21, 22, 30, 33, 38, 40, 44]",0,[],0.7334,2452.7315,2510000,8136,6816
58,0.582900,2.054135,0.097423,"[14, 19, 22, 30, 31, 32, 33, 37, 38, 44]",0,[],0.8949,2957.5234,2510000,8136,6816
59,0.548200,2.289756,0.093013,"[9, 18, 19, 21, 26, 30, 31, 33, 38, 40]",0,[],0.6619,3204.9406,2510000,8136,7200
60,0.554700,2.505653,0.094653,"[9, 13, 14, 19, 24, 30, 31, 33, 38, 42]",1,[42],0.7020,2262.3837,2510000,8136,7200
