round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.156900,2.274227,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",4,"[4, 8, 22, 26]",0.4075,4853.2067,2510000,8136,10616
2,0.227500,2.179525,1.345264,"[2, 3, 7, 21, 26, 36, 37, 40, 43, 44]",2,"[21, 26]",3.1703,3141.4132,2510000,8136,7677
3,0.351200,2.016851,1.230501,"[2, 5, 7, 10, 14, 23, 34, 36, 44, 46]",1,[46],2.5069,4233.1316,2510000,8136,7200
4,0.363300,1.861401,1.127540,"[5, 7, 12, 15, 16, 20, 27, 36, 37, 47]",0,[],2.7817,3515.7376,2510000,8136,7104
5,0.420500,1.708349,0.999087,"[2, 5, 6, 7, 19, 20, 23, 24, 34, 41]",0,[],1.9815,3137.8197,2510000,8136,7056
6,0.470100,1.581474,0.919935,"[7, 10, 23, 24, 28, 30, 40, 42, 45, 48]",0,[],0.9100,3176.3612,2510000,8136,7008
7,0.452000,1.522049,0.789059,"[2, 7, 14, 18, 20, 24, 27, 38, 43, 47]",1,[38],0.6849,3403.0092,2510000,8136,7056
8,0.472600,1.449581,0.752301,"[7, 12, 14, 23, 25, 27, 29, 35, 42, 47]",1,[35],1.6467,3097.9641,2510000,8136,6912
9,0.482300,1.408951,0.690622,"[3, 6, 7, 10, 12, 14, 29, 32, 42, 45]",1,[32],2.1074,3834.0302,2510000,8136,6912
10,0.510600,1.349653,0.747714,"[7, 10, 12, 15, 16, 24, 30, 41, 44, 48]",0,[],0.7544,3812.7780,2510000,8136,6864
11,0.527500,1.327167,0.575354,"[7, 14, 15, 20, 29, 31, 39, 40, 41, 47]",1,[31],2.9149,3898.8218,2510000,8136,6816
12,0.534900,1.315463,0.605549,"[5, 7, 9, 10, 14, 17, 24, 33, 40, 44]",0,[],1.1941,3362.9742,2510000,8136,6912
13,0.508800,1.404956,0.527140,"[6, 7, 12, 14, 20, 24, 27, 40, 45, 47]",0,[],2.4353,2959.7152,2510000,8136,6864
14,0.539400,1.347410,0.547939,"[3, 7, 9, 11, 12, 14, 15, 40, 41, 44]",0,[],0.9060,4073.2532,2510000,8136,6816
15,0.531800,1.394522,0.459762,"[4, 6, 7, 9, 12, 14, 15, 24, 40, 47]",1,[4],0.6314,4697.1841,2510000,8136,6864
16,0.544900,1.399280,0.470111,"[3, 4, 7, 10, 12, 27, 40, 41, 44, 47]",1,[4],1.0329,2111.7814,2510000,8136,6816
17,0.547000,1.463488,0.442491,"[0, 5, 6, 7, 9, 12, 27, 40, 41, 47]",0,[],0.9096,3984.2842,2510000,8136,6816
18,0.542100,1.402952,0.424883,"[6, 7, 12, 13, 15, 23, 24, 27, 29, 45]",0,[],0.7501,3940.9368,2510000,8136,6864
19,0.481500,1.617674,0.400514,"[1, 6, 7, 9, 14, 15, 27, 41, 45, 47]",0,[],1.9277,3129.7607,2510000,8136,6816
20,0.564000,1.390316,0.361815,"[6, 7, 9, 12, 15, 24, 27, 29, 40, 41]",0,[],1.2409,2701.6109,2510000,8136,6864
