round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.134000,2.279556,1.504317,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",4,"[4, 8, 22, 26]",0.2787,2636.4656,2510000,8136,10616
2,0.233300,2.183367,1.323622,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",2,"[21, 22]",0.8387,2817.8139,2510000,8136,7629
3,0.345600,2.026053,1.278364,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",2,"[38, 46]",0.9347,2810.3129,2510000,8136,7200
4,0.379700,1.871214,1.164384,"[9, 10, 13, 24, 25, 26, 30, 34, 44, 45]",1,[26],1.7876,2961.0508,2510000,8136,7104
5,0.373200,1.752687,0.983006,"[2, 7, 9, 11, 21, 23, 40, 45, 48, 49]",1,[21],1.6823,3514.1759,2510000,8136,7056
6,0.409300,1.616137,0.998667,"[10, 13, 15, 16, 19, 27, 29, 31, 38, 45]",2,"[31, 38]",0.8143,2834.4612,2510000,8136,6960
7,0.437000,1.528027,0.814673,"[2, 9, 10, 12, 13, 18, 22, 24, 29, 32]",2,"[22, 32]",0.9452,2860.1984,2510000,8136,7008
8,0.472800,1.449574,0.864106,"[10, 13, 23, 24, 27, 29, 34, 37, 38, 46]",2,"[38, 46]",1.6481,3117.9338,2510000,8136,6960
9,0.482700,1.411265,0.737052,"[3, 10, 14, 15, 25, 27, 29, 44, 45, 48]",0,[],1.8054,2927.7476,2510000,8136,6816
10,0.518800,1.348909,0.723203,"[5, 13, 14, 17, 20, 29, 37, 38, 40, 44]",1,[38],0.9362,3223.0216,2510000,8136,6816
11,0.493200,1.389758,0.729079,"[9, 10, 13, 14, 15, 26, 31, 38, 39, 40]",3,"[26, 31, 38]",0.7775,4293.7780,2510000,8136,6912
12,0.503800,1.365745,0.616406,"[6, 13, 14, 15, 24, 29, 34, 40, 44, 48]",0,[],0.6123,4035.2610,2510000,8136,6864
