round_num,client_id,is_malicious,was_selected,local_loss,gradient_norm,reputation_score,beta_params
1,26,0,1,1.7660704511584657,2.5393025875091553,,"[1, 1]"
1,29,1,1,1.4037107543698673,2.5388896465301514,,"[1, 1]"
1,13,0,1,1.033733180819488,2.7385809421539307,,"[1, 1]"
1,22,0,1,1.543830353617668,2.1234285831451416,,"[1, 1]"
1,4,0,1,1.4956986023320091,1.8592596054077148,,"[1, 1]"
1,27,1,1,1.7758248949050903,2.3367037773132324,,"[1, 1]"
1,36,1,1,1.6750051570975262,1.8611576557159424,,"[1, 1]"
1,17,1,1,1.2055768302258323,3.9623703956604004,,"[1, 1]"
1,8,0,1,1.6975820673836601,1.4287803173065186,,"[1, 1]"
1,9,0,1,1.5954913612206776,2.6903481483459473,,"[1, 1]"
2,2,0,1,1.0810278643261302,2.4083688259124756,,"[1, 1]"
2,37,0,1,1.2474422665742728,3.075937509536743,,"[1, 1]"
2,22,0,1,1.3801501876115798,2.2265233993530273,,"[2, 1]"
2,21,0,1,1.5656942767255446,2.0684962272644043,,"[1, 1]"
2,7,0,1,0.8810045199734824,2.932450294494629,,"[1, 1]"
2,36,1,1,1.6177533647288447,2.018512010574341,,"[2, 1]"
2,3,1,1,1.4687664818018675,2.8009653091430664,,"[1, 1]"
2,44,1,1,1.398472364132221,2.5109803676605225,,"[1, 1]"
2,43,1,1,1.5196388118407305,1.813442349433899,,"[1, 1]"
2,40,0,1,1.2578902064050947,2.9969725608825684,,"[1, 1]"
3,36,1,1,1.5319388317025227,2.094259738922119,,"[3, 1]"
3,33,0,1,1.366690197316083,2.023526430130005,,"[1, 1]"
3,38,0,1,1.463144357336892,2.2364747524261475,,"[1, 1]"
3,10,0,1,1.4512934875488281,2.4025235176086426,,"[1, 1]"
3,23,0,1,1.4085091148103988,3.146723747253418,,"[1, 1]"
3,29,1,1,1.2201287006509716,2.7405643463134766,,"[2, 1]"
3,2,0,1,0.9174666973677549,2.348186492919922,,"[2, 1]"
3,40,0,1,1.141577992950167,3.095630407333374,,"[2, 1]"
3,14,0,1,1.2623609111164555,3.1174893379211426,,"[1, 1]"
3,37,0,1,1.1565693965324988,3.2306740283966064,,"[2, 1]"
4,13,0,1,0.7995356072012971,2.9559667110443115,,"[2, 1]"
4,30,0,1,1.4469672918319703,2.071127414703369,,"[1, 1]"
4,3,1,1,1.2813185051083564,3.017803430557251,,"[2, 1]"
4,25,1,1,1.0599103391170501,2.0035130977630615,,"[1, 1]"
4,9,0,1,1.2345147335529327,3.1633365154266357,,"[2, 1]"
4,10,0,1,1.2283214914798737,2.5383923053741455,,"[2, 1]"
4,36,1,1,1.4507819113524063,2.231532335281372,,"[4, 1]"
4,35,0,1,1.1168119924409048,2.3771538734436035,,"[1, 1]"
4,24,1,1,1.0252132758949741,2.9075260162353516,,"[1, 1]"
4,26,0,1,1.3612395777846829,3.233016014099121,,"[2, 1]"
5,23,0,1,1.2001178424698966,3.330174684524536,,"[2, 1]"
5,30,0,1,1.3052366670440225,2.3075268268585205,,"[2, 1]"
5,5,0,1,1.1796968926082958,3.149406909942627,,"[1, 1]"
5,9,0,1,1.10763761083285,3.171066999435425,,"[3, 1]"
5,33,0,1,1.1456414558670738,2.1498501300811768,,"[2, 1]"
5,3,1,1,1.2210183333605529,3.030560255050659,,"[3, 1]"
5,2,0,1,0.7020529978654602,2.275143623352051,,"[3, 1]"
5,38,0,1,1.196400569544898,2.4873952865600586,,"[2, 1]"
5,35,0,1,0.9409053084396181,2.4153003692626953,,"[2, 1]"
5,49,1,1,1.226307875138742,4.141451835632324,,"[1, 1]"
6,24,1,1,0.934184857932004,2.999478816986084,,"[2, 1]"
6,30,0,1,1.1950731249416575,2.4553604125976562,,"[3, 1]"
6,23,0,1,1.1031758005278451,3.4255104064941406,,"[3, 1]"
6,2,0,1,0.6648166033354672,2.327049970626831,,"[4, 1]"
6,38,0,1,1.0605536702606413,2.5923404693603516,,"[3, 1]"
6,12,0,1,1.0390349285943168,3.007951259613037,,"[1, 1]"
6,25,1,1,0.8823789281504495,2.1306233406066895,,"[2, 1]"
6,33,0,1,1.0261259458281777,2.3145902156829834,,"[3, 1]"
6,10,0,1,1.0150671914219855,2.690056562423706,,"[3, 1]"
6,35,0,1,0.9093565174511501,2.460043430328369,,"[3, 1]"
7,23,0,1,1.0326371022633143,3.553860664367676,,"[3, 2]"
7,25,1,1,0.8720568961330822,2.1942882537841797,,"[3, 1]"
7,33,0,1,0.9787730395793914,2.3995425701141357,,"[4, 1]"
7,38,0,1,0.9875160402721829,2.58597993850708,,"[4, 1]"
7,36,1,1,1.3094641493714374,2.697357416152954,,"[5, 1]"
7,3,1,1,1.1850800421088934,3.2956929206848145,,"[4, 1]"
7,15,1,1,1.1525506950193836,3.290415048599243,,"[1, 1]"
7,19,0,1,0.8318057232043322,2.3544578552246094,,"[1, 1]"
7,14,0,1,0.8662539978822072,3.223442316055298,,"[2, 1]"
7,21,0,1,0.8524949280654683,2.421027660369873,,"[2, 1]"
8,38,0,1,0.8546452942821715,2.6316113471984863,,"[5, 1]"
8,35,0,1,0.7297692946025304,2.599257469177246,,"[4, 1]"
8,29,1,1,0.9516240228866709,3.292663812637329,,"[3, 1]"
8,36,1,1,1.2904268337332685,2.8278541564941406,,"[6, 1]"
8,12,0,1,0.9838529353482383,3.2599551677703857,,"[1, 2]"
8,14,0,1,0.7666930214925246,3.307964563369751,,"[3, 1]"
8,13,0,1,0.5751413145443288,3.089385747909546,,"[3, 1]"
8,5,0,1,1.0418233956351424,3.3753461837768555,,"[2, 1]"
8,39,0,1,0.33921975577740293,2.497612476348877,,"[1, 1]"
8,48,0,1,0.8512386596583306,3.9394378662109375,,"[1, 1]"
9,26,0,1,0.9268176414749839,3.763587713241577,,"[3, 1]"
9,29,1,1,0.9394106568961308,3.4017364978790283,,"[4, 1]"
9,36,1,1,1.2908749248670495,2.9174482822418213,,"[7, 1]"
9,25,1,1,0.8592829938445773,2.465451240539551,,"[4, 1]"
9,3,1,1,1.158392800949514,3.4912095069885254,,"[5, 1]"
9,42,1,1,0.8212722380459309,2.7340312004089355,,"[1, 1]"
9,31,1,1,1.0356885852722022,3.272653818130493,,"[1, 1]"
9,33,0,1,0.8405975179238753,2.6485579013824463,,"[5, 1]"
9,10,0,1,0.7482031853497029,2.783989667892456,,"[4, 1]"
9,15,1,1,1.1034567948310605,3.5582425594329834,,"[2, 1]"
10,43,1,1,1.0685346985564512,2.7901875972747803,,"[2, 1]"
10,18,0,1,0.6075310170136649,4.298402786254883,,"[1, 1]"
10,3,1,1,1.1277370102703572,3.541872978210449,,"[6, 1]"
10,21,0,1,0.6546981238267001,2.572877883911133,,"[3, 1]"
10,2,0,1,0.5041886080056429,2.3692610263824463,,"[5, 1]"
10,29,1,1,0.84219130267357,3.4381048679351807,,"[5, 1]"
10,38,0,1,0.7279172776473893,2.6990532875061035,,"[6, 1]"
10,36,1,1,1.2316655910533407,3.093539237976074,,"[8, 1]"
10,13,0,1,0.5215753034120653,3.192704677581787,,"[4, 1]"
10,5,0,1,0.8345323009021355,3.606851100921631,,"[3, 1]"
11,37,0,1,0.6953176373854661,3.766885757446289,,"[3, 1]"
11,36,1,1,1.2578805042349774,3.1666033267974854,,"[9, 1]"
11,25,1,1,0.7576055967382023,2.731896162033081,,"[5, 1]"
11,13,0,1,0.4362288095057011,3.340564489364624,,"[5, 1]"
11,4,0,1,0.6841515007946226,2.449558734893799,,"[2, 1]"
11,3,1,1,1.1038741869851947,3.676298141479492,,"[7, 1]"
11,29,1,1,0.8673748456198593,3.6045424938201904,,"[6, 1]"
11,33,0,1,0.763179334049875,2.705220937728882,,"[6, 1]"
11,19,0,1,0.5799643137875725,2.4225785732269287,,"[2, 1]"
11,28,1,1,1.1754591872692108,4.571447372436523,,"[1, 1]"
12,47,0,1,0.522732025188835,3.3082964420318604,,"[1, 1]"
12,10,0,1,0.6087062633037568,2.7603535652160645,,"[5, 1]"
12,7,0,1,0.503345124545146,3.53940486907959,,"[2, 1]"
12,33,0,1,0.7942832304672761,2.7576727867126465,,"[7, 1]"
12,2,0,1,0.3912666249681603,2.3890230655670166,,"[6, 1]"
12,36,1,1,1.2528917887936468,3.3194568157196045,,"[10, 1]"
12,25,1,1,0.7051462392721858,2.8464155197143555,,"[6, 1]"
12,37,0,1,0.4959360100137882,3.6571130752563477,,"[4, 1]"
12,3,1,1,1.0958739615976811,3.807284355163574,,"[8, 1]"
12,43,1,1,1.061357940645779,3.0199646949768066,,"[3, 1]"
13,26,0,1,0.70858471122655,3.8192532062530518,,"[4, 1]"
13,36,1,1,1.2106516661851303,3.3400866985321045,,"[11, 1]"
13,7,0,1,0.41493013622809427,3.5621957778930664,,"[3, 1]"
13,34,0,1,0.8260938173346222,4.089540958404541,,"[1, 1]"
13,33,0,1,0.6527950282801281,2.880591869354248,,"[8, 1]"
13,3,1,1,1.0697398364543915,3.9077677726745605,,"[9, 1]"
13,9,0,1,0.6819618088006973,3.678431272506714,,"[4, 1]"
13,25,1,1,0.6921985032302993,2.8364129066467285,,"[7, 1]"
13,38,0,1,0.5589795067078538,2.7116103172302246,,"[7, 1]"
13,47,0,1,0.4420907487798678,3.1611268520355225,,"[2, 1]"
14,3,1,1,1.1172515468671917,3.988403081893921,,"[10, 1]"
14,5,0,1,0.6234199546503298,3.7992992401123047,,"[4, 1]"
14,2,0,1,0.3605619819157503,2.2894911766052246,,"[7, 1]"
14,38,0,1,0.6278882007631991,2.8284378051757812,,"[8, 1]"
14,20,1,1,1.0051033085737473,4.444232940673828,,"[1, 1]"
14,45,1,1,1.1795716129598164,4.625258922576904,,"[1, 1]"
14,9,0,1,0.5832924723625184,3.5199689865112305,,"[5, 1]"
14,30,0,1,0.7673028009779314,2.926734209060669,,"[4, 1]"
14,10,0,1,0.4908225687593222,2.7522759437561035,,"[6, 1]"
14,40,0,1,0.5253953402808734,3.3969228267669678,,"[3, 1]"
15,9,0,1,0.5216037862002849,3.639359474182129,,"[6, 1]"
15,38,0,1,0.5682577177882194,2.8430798053741455,,"[9, 1]"
15,31,1,1,0.9192703966911022,3.6868534088134766,,"[2, 1]"
15,36,1,1,1.18105850401132,3.414713144302368,,"[12, 1]"
15,25,1,1,0.6962962513523442,2.9341671466827393,,"[8, 1]"
15,6,1,1,1.2911538921296597,3.98422908782959,,"[1, 1]"
15,10,0,1,0.4768516935408115,2.8065996170043945,,"[7, 1]"
