round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.160400,2.269622,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.3215,4765.3214,2510000,8136,10616
2,0.279800,2.157894,1.313107,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],1.4829,2701.4300,2510000,8136,7653
3,0.371500,1.995594,1.260795,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],2.3802,3653.7380,2510000,8136,7200
4,0.390800,1.849440,1.143994,"[9, 10, 13, 24, 25, 26, 30, 34, 44, 45]",1,[25],1.8729,4132.6614,2510000,8136,7104
5,0.399400,1.725213,0.964509,"[2, 7, 9, 11, 21, 23, 40, 45, 48, 49]",1,[23],1.7140,4517.6480,2510000,8136,7056
6,0.422200,1.591566,0.952112,"[10, 13, 15, 16, 19, 27, 29, 31, 38, 45]",0,[],0.5509,2111.4126,2510000,8136,6960
7,0.447200,1.507626,0.765101,"[2, 9, 10, 12, 13, 18, 22, 24, 29, 32]",0,[],0.4843,2906.5982,2510000,8136,7008
8,0.480600,1.434364,0.813184,"[10, 13, 23, 24, 27, 29, 34, 37, 38, 46]",1,[23],0.3849,3072.6749,2510000,8136,6960
9,0.494800,1.396474,0.727532,"[3, 10, 14, 15, 25, 27, 29, 44, 45, 47]",1,[25],0.8530,2351.7640,2510000,8136,6816
10,0.509600,1.364234,0.677236,"[5, 9, 12, 13, 20, 22, 27, 29, 40, 45]",0,[],0.3916,2639.8532,2510000,8136,6864
11,0.507800,1.364587,0.607303,"[9, 10, 12, 13, 21, 26, 31, 39, 40, 48]",1,[39],0.3427,3200.6476,2510000,8136,6912
12,0.536100,1.321901,0.669823,"[6, 10, 11, 23, 24, 27, 28, 44, 47, 48]",1,[23],0.8605,4892.9401,2510000,8136,6864
13,0.506500,1.459100,0.532151,"[9, 13, 14, 15, 23, 29, 31, 40, 44, 47]",1,[23],0.7515,2845.8756,2510000,8136,6912
14,0.517900,1.391797,0.505976,"[3, 7, 9, 14, 24, 29, 36, 40, 42, 45]",1,[42],0.6050,2772.4435,2510000,8136,6816
15,0.539400,1.357996,0.543085,"[9, 12, 15, 17, 31, 36, 37, 41, 44, 47]",0,[],0.5828,3195.6226,2510000,8136,6864
16,0.549600,1.341200,0.471319,"[7, 11, 12, 13, 27, 29, 31, 33, 35, 38]",1,[35],1.1926,3074.2009,2510000,8136,6864
17,0.555700,1.380054,0.456068,"[0, 5, 9, 13, 24, 26, 27, 29, 31, 40]",0,[],0.7075,3286.3425,2510000,8136,6864
18,0.526900,1.563267,0.440166,"[10, 12, 13, 15, 27, 29, 31, 36, 38, 40]",0,[],2.8566,2323.9631,2510000,8136,6864
19,0.569300,1.378290,0.392834,"[6, 7, 9, 15, 24, 27, 29, 31, 37, 47]",0,[],2.3642,3029.9789,2510000,8136,6816
20,0.567200,1.445088,0.344329,"[9, 13, 15, 24, 27, 29, 31, 37, 40, 47]",0,[],0.7508,3224.8926,2510000,8136,6816
21,0.558000,1.547236,0.371736,"[9, 13, 14, 24, 27, 29, 38, 41, 44, 47]",0,[],1.2660,3017.4115,2510000,8136,6816
22,0.530700,1.508794,0.380201,"[3, 9, 13, 15, 24, 29, 34, 35, 44, 47]",1,[35],0.6874,2693.4332,2510000,8136,6772
23,0.574000,1.413253,0.317084,"[7, 9, 27, 29, 31, 34, 40, 41, 44, 47]",0,[],0.7335,2848.4837,2510000,8136,6816
24,0.497000,2.151209,0.290954,"[7, 9, 14, 15, 27, 29, 31, 40, 44, 47]",0,[],0.7695,3277.2032,2510000,8136,6816
25,0.526000,1.621263,0.405227,"[3, 7, 13, 14, 24, 27, 30, 41, 44, 47]",0,[],1.1409,3269.1830,2510000,8136,6816
26,0.526500,1.802646,0.333765,"[9, 10, 12, 13, 15, 30, 35, 38, 41, 47]",1,[35],1.0112,2727.9928,2510000,8136,6816
27,0.535200,1.603911,0.308176,"[3, 7, 11, 13, 15, 24, 31, 40, 44, 47]",0,[],1.1208,3305.7272,2510000,8136,7200
28,0.545600,1.683784,0.282306,"[1, 9, 13, 14, 24, 27, 37, 41, 44, 47]",0,[],0.8228,2753.8270,2510000,8136,7200
29,0.531000,1.809185,0.270244,"[7, 15, 24, 27, 30, 31, 35, 40, 41, 44]",1,[35],0.5595,2752.0102,2510000,8136,6864
30,0.527500,1.857588,0.261523,"[7, 13, 14, 15, 24, 31, 35, 37, 41, 44]",1,[35],0.5703,2909.8705,2510000,8136,6816
31,0.523900,1.817925,0.268770,"[7, 9, 13, 24, 27, 30, 31, 35, 37, 44]",1,[35],2.1068,2572.8715,2510000,8136,6816
32,0.552700,1.743720,0.273483,"[9, 10, 14, 24, 31, 35, 38, 40, 41, 47]",1,[35],0.9095,2891.1908,2510000,8136,6816
33,0.514600,1.991649,0.260292,"[0, 7, 10, 13, 22, 24, 27, 31, 35, 44]",1,[35],0.8251,2772.5241,2510000,8136,6816
34,0.566100,1.567517,0.291325,"[13, 15, 24, 26, 27, 31, 35, 37, 47, 48]",1,[35],3.1278,3825.2014,2510000,8136,7200
35,0.573900,1.645931,0.241631,"[0, 7, 9, 13, 27, 35, 40, 41, 44, 47]",1,[35],3.0289,2522.1628,2510000,8136,7132
36,0.561200,1.715970,0.227231,"[1, 7, 9, 24, 27, 31, 35, 40, 41, 47]",1,[35],2.4775,2410.9115,2510000,8136,6816
37,0.550600,1.750516,0.238527,"[1, 13, 24, 27, 35, 40, 41, 43, 44, 47]",1,[35],0.6571,3337.0606,2510000,8136,6816
38,0.563200,1.741045,0.229255,"[1, 9, 13, 24, 27, 29, 30, 31, 35, 41]",1,[35],0.4770,3243.2352,2510000,8136,7128
39,0.541000,1.752493,0.236713,"[7, 9, 13, 24, 27, 29, 31, 35, 36, 41]",1,[35],0.5176,2869.6054,2510000,8136,7176
40,0.562100,1.745604,0.203794,"[7, 13, 14, 15, 24, 27, 31, 38, 41, 47]",0,[],0.8199,3556.9534,2510000,8136,6816
41,0.440100,3.021627,0.175674,"[7, 13, 14, 15, 24, 27, 35, 40, 41, 47]",1,[35],0.4010,2961.5750,2510000,8136,6816
42,0.524700,1.792747,0.314544,"[13, 15, 20, 24, 30, 38, 41, 44, 45, 47]",0,[],1.8598,2722.2040,2510000,8136,6816
43,0.502000,2.010559,0.225602,"[7, 9, 12, 24, 27, 30, 31, 35, 41, 47]",1,[35],0.7762,2686.8573,2510000,8136,6816
44,0.555800,1.675908,0.234843,"[9, 13, 24, 27, 30, 38, 40, 41, 43, 47]",0,[],0.9499,2697.2738,2510000,8136,6816
45,0.527200,1.978220,0.237439,"[3, 13, 15, 23, 24, 27, 30, 35, 41, 47]",2,"[23, 35]",0.6583,2793.3962,2510000,8136,6816
46,0.495900,2.017499,0.203823,"[2, 7, 13, 24, 27, 36, 38, 40, 41, 47]",0,[],1.2154,2908.2300,2510000,8136,6816
47,0.571000,1.616456,0.259010,"[5, 13, 24, 27, 29, 31, 33, 35, 41, 47]",1,[35],0.6476,2822.1517,2510000,8136,6816
48,0.528800,2.015227,0.184104,"[9, 13, 15, 24, 27, 33, 40, 41, 47, 48]",0,[],0.7555,2893.1647,2510000,8136,7176
