round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.235900,2.833226,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",4,"[17, 27, 29, 36]",0.3307,3318.1534,2510000,8136,10616
2,0.301300,2.616604,1.195909,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",3,"[3, 43, 44]",1.2753,3406.3962,2510000,8136,7653
3,0.242000,3.039332,1.135218,"[2, 8, 10, 14, 23, 33, 37, 38, 40, 46]",0,[],0.7451,3673.1106,2510000,8136,7200
4,0.301000,3.043613,1.111248,"[11, 12, 15, 16, 18, 20, 22, 35, 37, 47]",3,"[15, 16, 20]",0.6232,4895.8638,2510000,8136,7104
5,0.314400,3.802768,0.985030,"[2, 5, 9, 18, 19, 22, 23, 24, 33, 45]",2,"[24, 45]",0.7624,4458.9204,2510000,8136,7200
6,0.349200,5.048735,0.978985,"[2, 9, 11, 22, 23, 25, 26, 37, 38, 40]",1,[25],0.7430,3769.3780,2510000,8136,7008
7,0.315200,3.155815,1.025587,"[2, 7, 14, 19, 21, 26, 31, 38, 42, 48]",2,"[31, 42]",3.6235,3125.2479,2510000,8136,6864
8,0.292900,2.775016,1.079334,"[5, 9, 10, 14, 21, 26, 38, 40, 41, 48]",1,[41],4.4499,2688.9262,2510000,8136,6960
9,0.230800,2.925590,1.027834,"[2, 4, 10, 13, 19, 22, 26, 28, 33, 37]",1,[28],0.7769,2854.4561,2510000,8136,6864
10,0.264300,3.364156,0.863195,"[2, 4, 7, 10, 11, 13, 14, 17, 21, 40]",1,[17],0.9289,3517.9082,2510000,8136,6820
11,0.276500,2.855389,0.953185,"[5, 12, 18, 22, 26, 30, 34, 47, 48, 49]",1,[49],1.1245,3499.4981,2510000,8136,6816
12,0.321100,3.147584,0.805636,"[5, 7, 9, 10, 11, 18, 34, 38, 39, 47]",0,[],0.9664,4562.5182,2510000,8136,6960
13,0.324800,4.865557,0.775553,"[7, 11, 12, 13, 14, 24, 26, 33, 38, 40]",1,[24],0.7533,4808.1806,2510000,8136,6864
14,0.314000,3.545060,0.895168,"[7, 9, 11, 13, 14, 28, 32, 35, 37, 48]",1,[28],0.9538,4341.8012,2510000,8136,6816
15,0.356500,3.175909,0.949807,"[2, 9, 10, 12, 13, 14, 18, 23, 26, 40]",0,[],0.7382,3138.2732,2510000,8136,6864
16,0.309600,3.391100,0.879170,"[3, 5, 7, 9, 14, 19, 29, 31, 38, 47]",3,"[3, 29, 31]",0.8852,3719.2599,2510000,8136,6816
17,0.325700,4.407130,0.908702,"[0, 6, 7, 12, 13, 14, 19, 22, 26, 40]",2,"[0, 6]",1.5733,4741.4116,2510000,8136,6816
18,0.360500,5.465820,0.933206,"[1, 5, 7, 12, 13, 22, 23, 26, 35, 48]",0,[],0.9963,4458.9846,2510000,8136,6912
19,0.356900,6.490017,0.770772,"[5, 7, 12, 13, 14, 19, 22, 37, 39, 40]",0,[],1.4971,3078.6362,2510000,8136,6864
20,0.363900,2.793054,0.870096,"[5, 7, 10, 13, 19, 21, 26, 39, 40, 47]",0,[],0.9393,2670.9244,2510000,8136,6816
21,0.336900,4.052988,0.794127,"[7, 9, 11, 13, 14, 19, 37, 40, 47, 48]",0,[],0.9633,3536.9816,2510000,8136,6816
22,0.263700,3.336184,0.814639,"[7, 8, 9, 13, 14, 26, 38, 39, 40, 47]",0,[],1.0216,4240.5634,2510000,8136,6816
23,0.345900,3.383935,0.899743,"[7, 12, 13, 14, 20, 21, 38, 40, 46, 47]",1,[20],0.8485,4254.6509,2510000,8136,6816
24,0.312200,3.426626,0.875430,"[5, 7, 9, 12, 13, 14, 32, 37, 38, 40]",0,[],1.7079,3239.9078,2510000,8136,6816
25,0.375800,3.313449,0.946082,"[7, 9, 10, 12, 13, 14, 23, 37, 40, 47]",0,[],0.9566,3575.8528,2510000,8136,6816
26,0.372000,3.122549,0.894793,"[7, 9, 12, 13, 14, 26, 31, 37, 40, 47]",1,[31],1.8874,3456.6484,2510000,8136,6816
27,0.353700,4.151227,0.736428,"[7, 9, 13, 14, 19, 23, 26, 38, 40, 47]",0,[],0.8551,3817.2440,2510000,8136,6816
28,0.298100,3.183175,0.867439,"[5, 10, 12, 13, 14, 26, 37, 38, 40, 47]",0,[],3.3064,3283.7199,2510000,8136,6816
29,0.310500,3.586112,0.887570,"[5, 9, 12, 13, 14, 26, 32, 37, 40, 47]",0,[],2.2167,2683.7531,2510000,8136,6816
30,0.320900,2.616758,1.035423,"[5, 9, 11, 13, 23, 26, 33, 35, 40, 47]",0,[],0.8782,2896.6324,2510000,8136,6816
31,0.357900,3.989262,0.810855,"[5, 9, 12, 13, 14, 19, 26, 38, 40, 47]",0,[],1.1544,2915.6984,2510000,8136,6816
32,0.271800,4.447338,0.801069,"[5, 9, 11, 13, 14, 22, 37, 39, 40, 47]",0,[],0.7921,3698.6176,2510000,8136,6816
33,0.359700,3.625399,0.887382,"[5, 9, 10, 14, 18, 22, 23, 37, 40, 47]",0,[],0.8689,3645.8801,2510000,8136,6816
34,0.278700,4.848741,0.877279,"[5, 9, 12, 14, 23, 37, 39, 40, 44, 47]",1,[44],0.6153,3814.9923,2510000,8136,6816
35,0.360000,4.160657,0.855958,"[5, 7, 12, 14, 22, 26, 37, 38, 40, 47]",0,[],1.0218,2535.6656,2510000,8136,6816
36,0.339600,2.808534,0.898678,"[1, 5, 7, 9, 11, 14, 26, 35, 40, 47]",0,[],1.5596,3580.8068,2510000,8136,6816
37,0.313400,2.898264,0.900463,"[5, 9, 11, 12, 13, 14, 23, 26, 40, 47]",0,[],0.8073,3972.8810,2510000,8136,6816
38,0.335000,4.122149,0.789027,"[1, 5, 9, 12, 13, 14, 26, 37, 40, 47]",0,[],2.2733,3720.7173,2510000,8136,6816
39,0.299400,2.998501,0.887781,"[1, 5, 7, 9, 12, 15, 26, 40, 42, 47]",2,"[15, 42]",2.6923,3632.1419,2510000,8136,6816
40,0.332700,4.023029,0.802239,"[0, 1, 5, 9, 12, 13, 14, 26, 40, 47]",1,[0],1.5368,2682.7585,2510000,8136,6816
41,0.329700,5.336624,0.715886,"[5, 9, 12, 13, 14, 21, 26, 38, 40, 47]",0,[],1.4722,3022.4309,2510000,8136,6816
42,0.369100,3.008906,0.851497,"[1, 5, 7, 9, 12, 14, 21, 26, 40, 47]",0,[],0.9733,3561.8029,2510000,8136,6816
43,0.380200,3.994712,0.637680,"[1, 2, 5, 12, 13, 21, 26, 39, 40, 47]",0,[],1.6465,3250.4058,2510000,8136,6816
44,0.370200,2.932841,0.972987,"[5, 9, 12, 14, 16, 23, 26, 37, 40, 47]",1,[16],0.8740,3450.6164,2510000,8136,6816
45,0.386800,3.813817,0.804440,"[1, 5, 9, 12, 26, 37, 38, 40, 47, 48]",0,[],2.2181,3077.3669,2510000,8136,6816
46,0.388600,4.882378,0.823678,"[1, 5, 7, 9, 12, 14, 23, 26, 40, 47]",0,[],0.9628,4421.9671,2510000,8136,6816
47,0.390700,5.509077,0.860637,"[1, 5, 9, 14, 18, 23, 26, 37, 40, 47]",0,[],0.8297,3207.9693,2510000,8136,6816
48,0.391900,5.971627,0.894256,"[1, 5, 7, 9, 12, 23, 26, 37, 40, 47]",0,[],1.2544,2986.8827,2510000,8136,6816
49,0.393900,6.327911,0.968272,"[1, 5, 7, 9, 12, 26, 36, 37, 40, 47]",1,[36],0.8606,3590.8172,2510000,8136,6816
50,0.310600,3.177812,1.028442,"[1, 5, 7, 9, 12, 14, 26, 37, 41, 47]",1,[41],0.8799,4523.3323,2510000,8136,6816
51,0.313200,4.630989,0.840204,"[1, 5, 6, 9, 12, 23, 26, 37, 40, 47]",1,[6],1.7892,3381.0537,2510000,8136,6816
52,0.373400,3.750790,0.838521,"[1, 5, 9, 13, 21, 23, 26, 37, 40, 47]",0,[],2.8117,3080.5118,2510000,8136,6816
53,0.317300,4.440489,0.800364,"[1, 2, 5, 7, 9, 12, 26, 37, 40, 47]",0,[],0.6370,3460.8683,2510000,8136,6816
54,0.312300,5.608182,0.865027,"[1, 5, 9, 12, 14, 23, 26, 37, 40, 47]",0,[],0.4090,3464.3317,2510000,8136,6816
55,0.343200,3.052963,1.013981,"[1, 5, 7, 9, 11, 14, 18, 23, 26, 47]",0,[],0.5896,3762.2177,2510000,8136,7200
56,0.349300,4.305925,0.820120,"[1, 5, 9, 12, 23, 25, 26, 37, 41, 47]",2,"[25, 41]",1.5722,2831.7745,2510000,8136,7200
57,0.345300,5.650479,0.918429,"[1, 5, 7, 9, 14, 23, 26, 37, 46, 47]",0,[],0.5875,3422.5963,2510000,8136,6816
58,0.349300,6.337281,0.973503,"[1, 5, 9, 14, 18, 23, 26, 34, 37, 47]",0,[],0.4282,2989.8711,2510000,8136,6816
59,0.308000,5.296241,1.009368,"[1, 9, 12, 13, 14, 23, 26, 37, 38, 47]",0,[],0.9292,2368.0566,2510000,8136,7200
60,0.355600,4.968025,0.868612,"[1, 5, 7, 9, 19, 21, 23, 26, 37, 47]",0,[],1.0516,2001.1555,2510000,8136,7200
