round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.172000,3.052622,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.6258,2371.5711,2510000,8136,10616
2,0.225300,3.361681,1.422491,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],2.8088,2965.3341,2510000,8136,7677
3,0.238700,3.207040,1.487377,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],2.2426,3101.9085,2510000,8136,7200
4,0.132400,2.939400,1.357443,"[9, 10, 13, 24, 25, 26, 30, 35, 46, 47]",2,"[25, 35]",2.1264,2692.4540,2510000,8136,7104
5,0.249300,2.820984,1.360115,"[2, 3, 7, 9, 11, 21, 23, 33, 37, 40]",1,[23],0.9073,3231.1604,2510000,8136,7056
6,0.242400,3.292622,1.298022,"[9, 11, 12, 14, 23, 24, 25, 34, 40, 43]",2,"[23, 25]",0.9600,3450.9354,2510000,8136,6864
7,0.269300,3.198478,1.243978,"[3, 7, 10, 13, 16, 23, 24, 31, 42, 44]",2,"[23, 42]",1.5582,3181.3346,2510000,8136,6912
8,0.309500,2.742673,1.210294,"[4, 7, 9, 10, 21, 23, 25, 29, 31, 34]",2,"[23, 25]",1.2063,2152.6204,2510000,8136,6960
9,0.259600,3.110705,1.119649,"[7, 9, 10, 14, 19, 25, 26, 29, 32, 33]",1,[25],0.8715,2085.0378,2510000,8136,6816
10,0.264600,2.763077,1.268871,"[3, 7, 10, 12, 23, 25, 27, 31, 38, 49]",2,"[23, 25]",1.1146,2753.7549,2510000,8136,6912
11,0.331900,2.785251,1.234281,"[3, 9, 10, 21, 22, 25, 26, 31, 40, 46]",1,[25],1.7953,2226.9132,2510000,8136,6864
12,0.281200,2.838470,1.100731,"[3, 9, 13, 19, 20, 25, 29, 33, 37, 38]",1,[25],0.7339,3630.7378,2510000,8136,6816
13,0.281600,3.480455,1.128790,"[3, 10, 18, 19, 22, 25, 26, 29, 32, 40]",1,[25],0.6270,3801.7193,2510000,8136,6864
14,0.325900,2.684773,1.130753,"[3, 6, 9, 11, 13, 14, 22, 29, 37, 38]",0,[],1.6869,3545.4955,2510000,8136,6864
15,0.282600,2.265777,1.088072,"[6, 9, 11, 13, 14, 23, 26, 29, 37, 40]",1,[23],1.6956,3769.8911,2510000,8136,6864
16,0.349600,2.740106,0.942521,"[2, 3, 9, 13, 14, 21, 25, 26, 29, 37]",1,[25],1.6175,2820.4913,2510000,8136,6816
17,0.358800,2.089765,1.116968,"[0, 5, 6, 9, 14, 25, 26, 37, 41, 45]",1,[25],3.5443,2427.7758,2510000,8136,6816
18,0.336600,2.971138,0.848285,"[5, 12, 14, 20, 27, 29, 31, 32, 39, 40]",1,[39],1.2030,2564.8932,2510000,8136,7008
19,0.371900,2.831156,1.064598,"[1, 5, 6, 9, 21, 23, 26, 28, 29, 38]",1,[23],0.9187,2990.9661,2510000,8136,6864
20,0.401800,2.336024,0.918479,"[5, 6, 13, 25, 26, 27, 29, 31, 39, 40]",2,"[25, 39]",0.7798,3635.1276,2510000,8136,6912
21,0.411300,3.271665,0.856018,"[2, 3, 9, 14, 15, 26, 27, 38, 41, 48]",0,[],1.6557,3507.5062,2510000,8136,6816
22,0.339000,3.350356,0.916238,"[3, 6, 9, 13, 14, 19, 25, 26, 29, 37]",1,[25],0.9347,2638.5724,2510000,8136,6912
23,0.366700,3.096458,0.930166,"[1, 3, 7, 9, 12, 22, 27, 29, 31, 40]",0,[],0.6242,3173.5581,2510000,8136,7800
24,0.381300,2.546940,1.082997,"[3, 5, 6, 9, 12, 15, 23, 26, 29, 31]",1,[23],0.7896,3525.1561,2510000,8136,6816
25,0.405800,3.165755,0.856561,"[3, 9, 13, 14, 23, 24, 26, 31, 37, 40]",1,[23],1.4985,3778.0796,2510000,8136,6816
26,0.409100,4.173167,0.825742,"[5, 6, 9, 12, 13, 14, 26, 29, 31, 40]",0,[],1.2618,3418.9395,2510000,8136,6816
27,0.377500,2.570187,0.973569,"[6, 7, 9, 14, 15, 24, 25, 26, 29, 40]",1,[25],0.7675,3523.1702,2510000,8136,6816
28,0.389800,2.662934,0.902747,"[3, 5, 6, 9, 14, 15, 26, 37, 39, 41]",1,[39],0.5728,3458.7833,2510000,8136,7800
29,0.389800,3.415655,0.833015,"[3, 5, 6, 9, 14, 22, 26, 40, 41, 49]",0,[],0.9539,3465.1747,2510000,8136,6816
30,0.395200,3.255150,0.935389,"[5, 6, 9, 12, 14, 25, 26, 27, 29, 40]",1,[25],11.7627,3218.5212,2510000,8136,6816
31,0.419700,3.484070,0.904749,"[3, 5, 6, 9, 12, 14, 26, 29, 31, 38]",0,[],0.8462,2568.1625,2510000,8136,6816
32,0.391900,4.091159,0.890946,"[3, 5, 6, 7, 9, 12, 14, 26, 37, 40]",0,[],2.5065,2807.4719,2510000,8136,6772
33,0.333300,3.269348,0.951234,"[3, 5, 6, 9, 12, 13, 14, 20, 26, 29]",0,[],1.0321,3288.1150,2510000,8136,6816
34,0.356700,4.287480,0.827429,"[3, 5, 6, 9, 13, 15, 26, 29, 37, 41]",0,[],4.2378,3374.5724,2510000,8136,6816
35,0.401300,3.932080,0.872326,"[3, 6, 9, 12, 14, 21, 22, 24, 26, 29]",0,[],0.9519,3524.8184,2510000,8136,6816
36,0.400000,2.851506,0.992527,"[1, 3, 5, 6, 9, 12, 14, 15, 26, 41]",0,[],0.6511,3390.2981,2510000,8136,6816
37,0.303600,3.004703,0.975599,"[3, 5, 6, 9, 12, 24, 26, 29, 30, 41]",0,[],0.9840,3086.9320,2510000,8136,6816
38,0.373600,3.099369,1.034504,"[1, 5, 6, 9, 12, 14, 25, 26, 34, 41]",1,[25],1.8617,3136.1673,2510000,8136,6816
39,0.408800,3.367208,0.894351,"[3, 5, 6, 9, 14, 15, 24, 26, 29, 41]",0,[],2.0142,3212.6718,2510000,8136,6816
40,0.393600,2.357076,0.944445,"[0, 3, 5, 6, 7, 14, 24, 26, 29, 41]",0,[],0.8609,3607.1109,2510000,8136,6816
41,0.416400,3.501686,0.838206,"[1, 3, 5, 6, 9, 10, 12, 14, 26, 27]",0,[],0.8219,3309.0011,2510000,8136,6816
42,0.335100,3.279106,0.907638,"[3, 6, 9, 12, 14, 24, 26, 29, 41, 44]",0,[],2.5624,2559.0509,2510000,8136,6816
43,0.343300,4.792728,0.901542,"[3, 5, 6, 12, 14, 24, 26, 29, 41, 44]",0,[],1.6133,3220.3467,2510000,8136,6816
44,0.302900,2.827132,1.076670,"[3, 5, 6, 8, 9, 12, 14, 26, 41, 49]",0,[],0.8569,4035.2994,2510000,8136,7800
45,0.410600,3.347519,1.001234,"[3, 5, 6, 9, 12, 14, 26, 34, 40, 41]",0,[],1.5628,4143.8993,2510000,8136,6816
46,0.356100,2.648785,1.018844,"[3, 6, 12, 14, 25, 26, 29, 34, 38, 41]",1,[25],2.3678,3528.2255,2510000,8136,6816
