round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.172000,3.052622,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.2394,2512.0794,2510000,8136,10616
2,0.225300,3.361681,1.422491,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],1.3315,2262.4918,2510000,8136,7653
3,0.238700,3.207040,1.493434,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],0.6291,3874.1716,2510000,8136,7200
4,0.132400,2.939400,1.314899,"[3, 9, 13, 24, 25, 26, 30, 35, 46, 47]",2,"[25, 35]",0.4999,4575.9490,2510000,8136,7488
5,0.249300,2.820984,1.383953,"[2, 3, 7, 9, 11, 21, 22, 23, 33, 35]",2,"[23, 35]",0.6327,3386.3940,2510000,8136,7440
6,0.261200,2.559399,1.261984,"[2, 9, 11, 12, 14, 23, 24, 35, 38, 48]",2,"[23, 35]",1.5583,3561.0538,2510000,8136,6864
7,0.198700,3.082313,1.191106,"[2, 9, 13, 21, 23, 24, 30, 31, 38, 42]",2,"[23, 42]",1.2501,2516.0442,2510000,8136,6912
8,0.287400,2.639381,1.207683,"[11, 13, 20, 22, 23, 24, 26, 27, 34, 40]",1,[23],0.4774,3030.6683,2510000,8136,7800
9,0.279900,3.091352,1.318294,"[3, 12, 13, 23, 26, 27, 28, 32, 33, 43]",1,[23],0.9340,2916.4676,2510000,8136,6912
10,0.271900,3.036379,1.222071,"[5, 12, 13, 16, 19, 27, 33, 35, 41, 44]",1,[35],0.8612,2724.2417,2510000,8136,6912
11,0.305000,2.729220,1.151525,"[9, 12, 13, 14, 23, 29, 34, 37, 45, 48]",1,[23],1.0913,3515.3602,2510000,8136,7008
12,0.317200,3.202396,1.023117,"[6, 11, 14, 19, 23, 29, 35, 37, 39, 44]",3,"[23, 35, 39]",1.1319,2928.4162,2510000,8136,6864
13,0.254000,2.902921,1.067014,"[9, 23, 24, 26, 27, 29, 33, 35, 39, 40]",3,"[23, 35, 39]",1.6152,2917.9255,2510000,8136,6912
14,0.307700,2.415331,1.075644,"[3, 7, 9, 13, 14, 21, 23, 28, 41, 45]",1,[23],2.3336,3750.1045,2510000,8136,6816
15,0.345000,3.232358,0.927954,"[6, 9, 11, 14, 17, 21, 24, 26, 29, 44]",0,[],1.8160,4116.4692,2510000,8136,6816
16,0.307000,3.602573,0.963967,"[7, 13, 24, 26, 27, 28, 29, 33, 35, 44]",1,[35],3.2233,3271.1955,2510000,8136,6816
17,0.335700,3.387106,1.099455,"[0, 5, 6, 9, 14, 19, 24, 26, 27, 44]",0,[],1.7426,3404.1755,2510000,8136,6816
18,0.348900,3.207417,1.007398,"[3, 5, 13, 22, 23, 24, 29, 35, 41, 44]",2,"[23, 35]",0.7272,4593.8364,2510000,8136,6864
19,0.365800,4.103979,1.000281,"[1, 3, 6, 9, 18, 22, 23, 26, 29, 44]",1,[23],1.8444,4515.0697,2510000,8136,6816
20,0.384100,2.451703,1.014806,"[6, 7, 9, 13, 14, 23, 27, 29, 44, 49]",1,[23],0.7650,5373.7646,2510000,8136,6912
21,0.287400,4.490083,0.897033,"[2, 3, 9, 13, 15, 26, 29, 41, 44, 46]",0,[],1.4388,2334.6311,2510000,8136,6864
22,0.399200,2.876060,1.024338,"[3, 6, 9, 14, 23, 24, 26, 27, 31, 33]",1,[23],0.8455,3690.5966,2510000,8136,6864
23,0.407500,3.890719,0.818725,"[3, 5, 6, 9, 13, 23, 24, 27, 29, 44]",1,[23],1.6761,3655.9538,2510000,8136,6816
24,0.314200,3.006127,0.976348,"[3, 6, 7, 9, 13, 15, 26, 35, 41, 44]",1,[35],0.6930,3853.2092,2510000,8136,6816
25,0.312200,5.344610,0.815842,"[5, 9, 10, 11, 13, 15, 26, 27, 41, 44]",0,[],0.8603,3974.4264,2510000,8136,6816
26,0.313000,6.686950,0.926349,"[3, 5, 7, 9, 13, 14, 15, 26, 28, 41]",0,[],1.0136,4721.8506,2510000,8136,6816
27,0.321700,3.613639,1.003628,"[6, 7, 9, 14, 15, 24, 29, 38, 41, 44]",0,[],2.3962,3630.1895,2510000,8136,6816
28,0.362000,2.948318,0.998868,"[3, 5, 6, 9, 11, 15, 26, 34, 35, 41]",1,[35],3.2449,2853.6823,2510000,8136,6816
29,0.378800,4.459916,0.817305,"[5, 6, 9, 15, 24, 26, 38, 41, 44, 49]",0,[],1.2796,2758.5207,2510000,8136,6816
30,0.317700,5.194755,0.915507,"[3, 5, 6, 9, 13, 14, 15, 23, 26, 44]",1,[23],1.1821,3630.8465,2510000,8136,6816
31,0.371800,4.743473,0.915413,"[3, 6, 9, 11, 14, 22, 24, 26, 41, 44]",0,[],1.7317,3233.9695,2510000,8136,6816
32,0.368400,5.737348,0.748629,"[5, 7, 9, 11, 13, 14, 15, 23, 26, 41]",1,[23],1.5286,4045.4077,2510000,8136,6816
33,0.324500,3.041141,1.043613,"[0, 3, 5, 9, 12, 14, 24, 26, 27, 44]",0,[],0.8530,2865.2359,2510000,8136,6816
34,0.362100,3.051776,0.939202,"[3, 5, 9, 12, 14, 15, 23, 26, 29, 45]",1,[23],1.5542,2477.8344,2510000,8136,6816
35,0.376100,3.888384,0.880845,"[0, 1, 3, 6, 14, 15, 22, 24, 26, 44]",0,[],2.1532,2692.3271,2510000,8136,6816
36,0.381900,2.506275,0.962712,"[1, 5, 6, 9, 14, 15, 16, 23, 26, 37]",1,[23],1.9090,3197.0709,2510000,8136,6816
37,0.384900,3.537442,0.845469,"[1, 3, 5, 6, 9, 10, 14, 15, 26, 45]",0,[],2.2623,2718.7599,2510000,8136,6816
38,0.384100,4.510030,0.854057,"[3, 5, 6, 9, 14, 15, 23, 26, 40, 45]",1,[23],8.7414,3221.0707,2510000,8136,6816
39,0.384100,5.191955,0.803909,"[5, 6, 9, 14, 15, 24, 26, 29, 41, 44]",0,[],1.3437,2801.1601,2510000,8136,6816
40,0.291800,3.511405,1.027732,"[1, 3, 5, 8, 9, 14, 24, 26, 29, 44]",0,[],2.5060,3193.6747,2510000,8136,6816
41,0.358500,3.657981,1.025291,"[3, 5, 6, 9, 12, 14, 21, 23, 26, 29]",1,[23],0.9383,3160.3973,2510000,8136,6816
42,0.362800,5.124155,0.897310,"[2, 5, 6, 9, 14, 20, 23, 26, 29, 34]",1,[23],0.6505,3503.7333,2510000,8136,6816
43,0.379600,3.874681,1.039498,"[1, 5, 6, 9, 14, 15, 20, 26, 37, 44]",0,[],0.6658,3832.8569,2510000,8136,6816
44,0.319600,3.568837,0.975138,"[5, 6, 9, 14, 23, 24, 26, 37, 44, 47]",1,[23],1.1838,4099.5245,2510000,8136,6816
45,0.310900,5.867697,0.989169,"[3, 5, 6, 9, 14, 23, 26, 42, 44, 45]",2,"[23, 42]",5.4035,3271.8264,2510000,8136,6816
46,0.316900,2.828869,1.059286,"[2, 5, 6, 9, 14, 23, 26, 29, 38, 43]",1,[23],1.8787,2690.3542,2510000,8136,6816
47,0.324000,4.693784,0.950127,"[2, 3, 5, 6, 9, 23, 26, 27, 37, 44]",1,[23],2.9805,2976.6833,2510000,8136,6772
48,0.326700,6.232583,1.080848,"[3, 5, 6, 9, 14, 23, 26, 27, 40, 44]",1,[23],1.1484,2854.6323,2510000,8136,6816
49,0.375500,3.481160,1.229044,"[3, 5, 6, 9, 12, 14, 15, 23, 26, 29]",1,[23],0.5498,3349.2422,2510000,8136,6816
50,0.353800,2.994449,0.990925,"[3, 5, 6, 9, 14, 23, 24, 26, 39, 42]",3,"[23, 39, 42]",0.7901,3348.5548,2510000,8136,6816
51,0.370000,4.118677,0.985890,"[2, 3, 5, 6, 9, 14, 23, 24, 26, 30]",1,[23],0.8948,3350.4626,2510000,8136,6816
52,0.380200,5.017725,1.029551,"[1, 3, 5, 6, 9, 14, 23, 24, 26, 35]",2,"[23, 35]",1.0861,2731.4840,2510000,8136,6816
53,0.378300,5.865186,1.024058,"[3, 6, 9, 11, 14, 23, 26, 27, 29, 34]",1,[23],0.9065,3037.0017,2510000,8136,6816
54,0.381800,6.494123,1.063894,"[0, 5, 6, 9, 11, 14, 23, 24, 26, 35]",2,"[23, 35]",1.5439,3324.8563,2510000,8136,6816
55,0.318400,5.574193,1.169109,"[2, 3, 5, 6, 9, 23, 26, 35, 44, 48]",2,"[23, 35]",2.9619,2754.2025,2510000,8136,6816
56,0.357200,2.946352,1.128950,"[5, 6, 9, 11, 12, 23, 24, 26, 35, 39]",3,"[23, 35, 39]",0.7670,3440.0291,2510000,8136,6816
57,0.357100,4.341505,0.850354,"[3, 5, 6, 9, 12, 15, 24, 26, 27, 44]",0,[],0.7063,3081.6636,2510000,8136,6816
58,0.361600,5.199445,0.892368,"[2, 5, 6, 9, 14, 23, 24, 26, 29, 36]",1,[23],0.6525,3437.2351,2510000,8136,6816
59,0.364400,6.371640,0.948570,"[2, 5, 6, 7, 9, 11, 14, 17, 23, 26]",1,[23],0.3845,4006.9616,2510000,8136,6816
60,0.362100,7.091779,0.915386,"[5, 6, 9, 13, 15, 22, 24, 26, 27, 41]",0,[],1.0651,2301.7715,2510000,8136,6816
