round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.095600,9.485557,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",4,"[4, 8, 22, 26]",0.2937,3623.1213,2510000,8136,10616
2,0.122800,2.309788,1.635913,"[2, 3, 7, 21, 26, 36, 37, 40, 43, 44]",2,"[21, 26]",0.8161,3312.1162,2510000,8136,7677
3,0.157300,2.161376,1.517991,"[2, 5, 7, 10, 14, 23, 34, 36, 43, 46]",1,[46],1.0222,4046.4405,2510000,8136,7200
4,0.231700,2.072320,1.337795,"[5, 7, 12, 15, 16, 20, 26, 27, 37, 47]",1,[26],0.6718,2876.2104,2510000,8136,7104
5,0.254900,1.837995,1.163025,"[2, 7, 9, 11, 13, 23, 27, 34, 37, 48]",0,[],1.1010,3497.0247,2510000,8136,7440
6,0.321600,1.794223,1.068668,"[2, 7, 9, 14, 23, 33, 35, 37, 40, 43]",1,[35],1.7208,2542.1194,2510000,8136,7296
7,0.332900,1.753153,0.968691,"[2, 7, 13, 16, 20, 23, 33, 40, 45, 49]",0,[],0.7840,3995.5704,2510000,8136,6912
8,0.366600,1.700829,0.922732,"[7, 13, 14, 16, 21, 24, 29, 37, 40, 44]",1,[21],1.1849,4475.7334,2510000,8136,6912
9,0.374300,1.722876,0.884073,"[3, 7, 12, 13, 15, 23, 32, 37, 39, 49]",1,[32],0.9169,3654.0621,2510000,8136,6864
10,0.395500,1.632927,0.868951,"[7, 12, 13, 14, 18, 20, 25, 28, 30, 37]",0,[],2.5064,2474.2546,2510000,8136,6912
11,0.279900,3.462242,0.805237,"[7, 9, 12, 13, 14, 15, 17, 21, 22, 31]",3,"[21, 22, 31]",0.7889,2676.4149,2510000,8136,7008
12,0.386700,1.689340,1.206993,"[7, 9, 14, 15, 19, 23, 27, 29, 37, 38]",1,[38],0.7468,2308.3121,2510000,8136,6864
13,0.420800,1.658849,0.851240,"[7, 12, 13, 14, 15, 20, 29, 37, 40, 45]",0,[],0.4632,2780.5235,2510000,8136,6912
14,0.425900,1.619043,0.900164,"[3, 7, 9, 14, 20, 23, 27, 40, 42, 45]",0,[],0.8213,3592.5278,2510000,8136,6816
15,0.443500,1.605686,0.830940,"[4, 7, 9, 12, 14, 15, 23, 25, 27, 40]",1,[4],1.9716,3879.3389,2510000,8136,7248
16,0.442300,1.611407,0.731784,"[7, 9, 13, 14, 23, 29, 34, 37, 40, 47]",0,[],0.7963,4466.2077,2510000,8136,7200
17,0.454000,1.619719,0.827111,"[0, 6, 7, 9, 14, 15, 20, 27, 29, 37]",0,[],0.5661,5920.9523,2510000,8136,6816
18,0.454700,1.621911,0.745154,"[1, 3, 7, 12, 14, 20, 23, 29, 37, 40]",0,[],0.5288,5163.8419,2510000,8136,6912
19,0.449100,1.685880,0.755350,"[7, 9, 12, 14, 15, 16, 23, 40, 44, 45]",0,[],0.6425,5677.8793,2510000,8136,6864
20,0.458800,1.683463,0.658359,"[7, 9, 12, 14, 20, 24, 37, 40, 41, 47]",0,[],0.6277,4804.8996,2510000,8136,6816
21,0.456000,1.757973,0.676600,"[2, 3, 7, 9, 14, 15, 23, 24, 41, 47]",0,[],3.0138,3702.2377,2510000,8136,6864
22,0.462700,1.694507,0.682666,"[6, 7, 9, 12, 14, 15, 16, 17, 37, 47]",0,[],6.2638,3561.2222,2510000,8136,6816
23,0.458300,1.754944,0.632595,"[6, 7, 9, 12, 13, 15, 20, 24, 41, 47]",0,[],1.1881,4176.2594,2510000,8136,6816
24,0.486400,1.687410,0.596257,"[3, 7, 9, 12, 14, 15, 23, 29, 40, 47]",0,[],0.6581,3488.6714,2510000,8136,6816
25,0.483500,1.720809,0.553376,"[7, 9, 12, 13, 15, 27, 29, 40, 41, 47]",0,[],1.5802,3550.5270,2510000,8136,6816
26,0.470700,1.796127,0.556197,"[3, 7, 9, 13, 14, 15, 20, 40, 47, 49]",0,[],1.9952,3772.2400,2510000,8136,6816
27,0.494900,1.705493,0.548562,"[3, 7, 12, 15, 24, 29, 37, 40, 41, 47]",0,[],0.8137,3024.4252,2510000,8136,6816
28,0.496000,1.718709,0.538642,"[7, 9, 15, 23, 24, 37, 40, 41, 47, 48]",0,[],1.0042,3707.3888,2510000,8136,6816
29,0.491000,1.791009,0.533838,"[3, 6, 7, 9, 12, 24, 27, 29, 40, 47]",0,[],0.8329,2950.0883,2510000,8136,6816
30,0.496500,1.716855,0.537810,"[3, 7, 9, 15, 23, 24, 34, 40, 43, 47]",0,[],0.8847,3586.9414,2510000,8136,6816
31,0.480100,1.879196,0.482691,"[3, 7, 9, 11, 12, 15, 23, 24, 40, 47]",0,[],3.6203,3080.7072,2510000,8136,6816
32,0.483400,1.928111,0.459724,"[7, 9, 12, 14, 15, 24, 27, 40, 44, 47]",0,[],1.1068,3147.7096,2510000,8136,6816
33,0.416000,2.420476,0.520290,"[7, 8, 9, 12, 15, 19, 20, 38, 40, 47]",2,"[8, 38]",0.9872,2903.3135,2510000,8136,6816
34,0.485900,1.864885,0.562694,"[3, 7, 9, 12, 14, 15, 24, 27, 40, 47]",0,[],2.4355,3231.0164,2510000,8136,6816
35,0.494800,1.932041,0.503224,"[3, 5, 7, 9, 12, 14, 15, 24, 40, 48]",0,[],4.1865,3095.9242,2510000,8136,6816
36,0.496000,1.856490,0.501353,"[1, 3, 7, 9, 12, 15, 24, 37, 41, 47]",0,[],0.9189,3548.4987,2510000,8136,6816
37,0.500400,2.044611,0.446183,"[3, 7, 9, 12, 14, 15, 24, 31, 40, 41]",1,[31],1.0911,3441.2825,2510000,8136,6816
38,0.504700,1.992898,0.400754,"[1, 7, 9, 12, 14, 15, 24, 29, 40, 47]",0,[],1.0647,3362.4749,2510000,8136,6816
39,0.485700,2.040363,0.455560,"[3, 7, 9, 12, 14, 15, 19, 30, 40, 47]",0,[],0.9895,3480.4207,2510000,8136,6816
40,0.497800,2.048969,0.423020,"[0, 3, 7, 9, 14, 15, 24, 27, 40, 47]",0,[],0.9834,4165.6075,2510000,8136,6816
41,0.505400,1.988171,0.466320,"[1, 3, 7, 9, 12, 15, 24, 30, 40, 41]",0,[],2.3686,3919.5895,2510000,8136,6816
