round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.245800,2.067777,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",0,[],0.2784,2392.6632,2510000,8136,10616
2,0.328000,1.749166,1.123275,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",0,[],1.0514,3746.6078,2510000,8136,7677
3,0.384900,1.652727,0.998297,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[23],0.6831,2714.9217,2510000,8136,7200
4,0.402900,1.603759,0.866695,"[7, 12, 15, 16, 20, 22, 27, 29, 35, 47]",1,[35],0.9402,4065.4746,2510000,8136,7104
5,0.456000,1.622776,0.732763,"[2, 5, 9, 19, 21, 23, 27, 29, 37, 49]",1,[23],1.2182,4136.3354,2510000,8136,7104
6,0.498800,1.455778,0.636709,"[9, 18, 21, 23, 24, 26, 37, 38, 40, 43]",1,[23],1.5547,2207.0299,2510000,8136,7800
7,0.536600,1.421462,0.551161,"[9, 11, 13, 26, 28, 29, 30, 37, 38, 48]",0,[],0.7659,3034.8300,2510000,8136,6912
8,0.394900,2.027332,0.516468,"[1, 4, 9, 23, 25, 27, 29, 37, 38, 40]",2,"[23, 25]",0.5025,1888.3192,2510000,8136,7008
9,0.526600,1.596213,0.446891,"[3, 7, 9, 10, 14, 15, 26, 29, 32, 37]",0,[],0.6553,2999.4481,2510000,8136,6912
10,0.503200,1.628624,0.425007,"[1, 3, 7, 14, 19, 25, 27, 37, 45, 48]",1,[25],0.7400,2823.4902,2510000,8136,6864
11,0.542700,1.583247,0.333604,"[7, 9, 13, 14, 18, 26, 29, 34, 37, 38]",0,[],0.7833,6419.5162,2510000,8136,6864
12,0.510800,1.559791,0.370970,"[5, 9, 11, 12, 13, 26, 37, 39, 44, 45]",1,[39],0.7655,5553.3421,2510000,8136,6864
13,0.563700,1.684019,0.296244,"[1, 5, 7, 9, 14, 19, 26, 27, 37, 40]",0,[],0.4598,5307.3774,2510000,8136,6864
14,0.495700,1.589390,0.336305,"[6, 7, 9, 12, 13, 25, 26, 37, 39, 40]",2,"[25, 39]",0.5518,4731.5574,2510000,8136,6816
15,0.566100,1.458599,0.349216,"[1, 3, 7, 9, 17, 21, 27, 30, 44, 45]",0,[],0.8580,3465.8824,2510000,8136,6864
16,0.579700,1.590565,0.253548,"[1, 7, 12, 13, 14, 24, 26, 27, 37, 44]",0,[],1.1762,3643.5638,2510000,8136,6816
17,0.550900,1.752883,0.274727,"[7, 9, 13, 14, 15, 26, 30, 37, 40, 41]",0,[],1.0389,2517.2001,2510000,8136,6816
18,0.572000,1.574736,0.244696,"[1, 7, 9, 11, 27, 29, 30, 37, 40, 44]",0,[],1.8506,3030.5291,2510000,8136,6864
19,0.568600,1.838909,0.186832,"[1, 7, 9, 14, 24, 26, 27, 29, 37, 40]",0,[],0.8716,3607.2184,2510000,8136,6816
20,0.577900,1.667805,0.196388,"[1, 3, 7, 9, 13, 14, 26, 27, 37, 44]",0,[],1.4088,3615.2854,2510000,8136,6816
21,0.578600,1.657941,0.248879,"[0, 3, 7, 14, 26, 29, 37, 40, 47, 48]",0,[],2.9532,2979.8168,2510000,8136,6816
22,0.552400,1.641649,0.244679,"[1, 7, 9, 14, 26, 27, 38, 40, 42, 47]",1,[42],0.9007,2832.1309,2510000,8136,6864
23,0.581900,1.710678,0.170790,"[1, 3, 7, 9, 13, 14, 22, 26, 27, 29]",0,[],0.8686,2953.7094,2510000,8136,6864
24,0.579700,1.783345,0.147009,"[1, 9, 13, 14, 18, 26, 27, 37, 40, 44]",0,[],1.5575,3641.5737,2510000,8136,6772
