round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.221600,2.265775,1.506881,"[4, 8, 9, 13, 17, 22, 26, 27, 29, 36]",4,"[17, 27, 29, 36]",0.3415,2715.9429,2510000,8136,10616
2,0.280700,2.128524,1.338153,"[2, 3, 7, 9, 21, 22, 37, 40, 43, 44]",3,"[3, 43, 44]",0.7592,2478.6141,2510000,8136,7609
3,0.273600,1.932845,1.229324,"[2, 10, 14, 23, 29, 33, 37, 38, 40, 46]",1,[29],1.4435,3009.0097,2510000,8136,7200
4,0.345000,1.803202,1.026835,"[9, 10, 13, 24, 25, 26, 30, 34, 44, 45]",4,"[24, 25, 44, 45]",0.8305,3650.0876,2510000,8136,7488
5,0.409200,1.615461,0.897180,"[2, 7, 9, 11, 21, 23, 40, 45, 48, 49]",2,"[45, 49]",0.6630,3702.9877,2510000,8136,7440
6,0.336900,1.757475,0.835362,"[10, 13, 15, 16, 19, 27, 29, 31, 38, 45]",6,"[15, 16, 27, 29, 31, 45]",3.3450,2498.1384,2510000,8136,6960
7,0.419700,1.586599,0.793516,"[2, 9, 10, 12, 13, 18, 22, 24, 29, 32]",2,"[24, 29]",1.1026,1961.8574,2510000,8136,7008
8,0.347400,2.060461,0.813062,"[10, 11, 13, 23, 24, 27, 29, 37, 38, 46]",3,"[24, 27, 29]",0.7784,3138.6193,2510000,8136,6960
9,0.220900,5.554987,0.832925,"[3, 10, 14, 15, 25, 27, 29, 44, 45, 47]",7,"[3, 15, 25, 27, 29, 44, 45]",1.2588,2939.7594,2510000,8136,6772
10,0.267800,3.183982,0.989487,"[5, 11, 13, 14, 17, 20, 29, 37, 38, 40]",3,"[17, 20, 29]",0.5708,4814.1650,2510000,8136,6864
11,0.215200,7.834771,0.921691,"[9, 13, 14, 20, 24, 27, 28, 31, 35, 37]",5,"[20, 24, 27, 28, 31]",0.5299,4557.5005,2510000,8136,6912
12,0.197900,27.060080,1.191756,"[6, 15, 23, 27, 28, 37, 39, 41, 42, 47]",6,"[6, 15, 27, 28, 41, 42]",1.7267,5214.2666,2510000,8136,6912
13,0.277200,2.687603,1.740446,"[9, 12, 13, 22, 23, 27, 28, 31, 37, 40]",3,"[27, 28, 31]",1.8064,4149.2239,2510000,8136,7008
14,0.421700,1.917766,0.774942,"[3, 7, 9, 13, 14, 22, 23, 35, 37, 40]",1,[3],4.7677,3046.4988,2510000,8136,6816
15,0.429300,1.928330,0.610008,"[9, 11, 13, 20, 22, 23, 31, 37, 40, 48]",2,"[20, 31]",0.8455,3416.6885,2510000,8136,6816
16,0.444400,1.990161,0.628026,"[5, 7, 15, 20, 21, 23, 27, 37, 38, 39]",3,"[15, 20, 27]",0.6832,3098.9637,2510000,8136,6816
17,0.411600,3.091295,0.650415,"[0, 5, 9, 13, 24, 26, 27, 31, 37, 40]",4,"[0, 24, 27, 31]",0.9011,3058.0366,2510000,8136,6816
18,0.372400,4.162609,0.712607,"[3, 5, 9, 10, 12, 14, 27, 31, 37, 40]",3,"[3, 27, 31]",1.4566,3300.3144,2510000,8136,6864
19,0.276900,11.597319,0.802177,"[1, 5, 6, 7, 9, 15, 24, 27, 31, 47]",5,"[6, 15, 24, 27, 31]",0.6720,4239.8270,2510000,8136,6816
20,0.100000,251.329233,1.212969,"[6, 12, 15, 24, 27, 31, 37, 40, 41, 47]",6,"[6, 15, 24, 27, 31, 41]",1.0019,4527.6633,2510000,8136,6864
21,0.104800,2.366156,3.698112,"[7, 9, 13, 14, 22, 24, 27, 31, 40, 47]",3,"[24, 27, 31]",1.2630,3815.0375,2510000,8136,6816
22,0.109300,2.403246,1.645934,"[9, 13, 15, 23, 24, 28, 29, 37, 40, 41]",5,"[15, 24, 28, 29, 41]",2.8746,3327.7407,2510000,8136,6816
23,0.110200,2.446980,1.682766,"[6, 7, 9, 12, 15, 20, 23, 27, 31, 41]",6,"[6, 15, 20, 27, 31, 41]",0.8056,3995.9343,2510000,8136,6816
24,0.110400,2.472795,1.761883,"[6, 9, 12, 14, 15, 23, 27, 29, 37, 47]",4,"[6, 15, 27, 29]",0.7121,4759.3509,2510000,8136,6816
25,0.162800,2.379956,1.649614,"[9, 10, 13, 14, 23, 24, 27, 31, 37, 40]",3,"[24, 27, 31]",2.0898,3679.8298,2510000,8136,6816
26,0.214500,2.230845,1.304157,"[11, 12, 14, 15, 23, 37, 40, 41, 42, 47]",3,"[15, 41, 42]",1.5887,3052.1339,2510000,8136,6816
27,0.236300,2.269993,1.216442,"[6, 10, 12, 13, 14, 15, 24, 37, 40, 41]",4,"[6, 15, 24, 41]",0.8936,2991.9151,2510000,8136,6816
28,0.231400,2.581692,1.239750,"[6, 14, 15, 23, 24, 31, 37, 38, 40, 41]",5,"[6, 15, 24, 31, 41]",0.8680,3033.5484,2510000,8136,6816
29,0.217900,3.454505,1.290832,"[6, 12, 14, 15, 27, 31, 37, 40, 41, 47]",5,"[6, 15, 27, 31, 41]",0.6550,4013.1414,2510000,8136,6816
30,0.163100,16.541786,1.516832,"[6, 9, 13, 14, 15, 24, 28, 31, 37, 41]",6,"[6, 15, 24, 28, 31, 41]",0.8815,4049.5832,2510000,8136,6816
31,0.153000,38.017109,1.823238,"[6, 9, 13, 14, 22, 24, 31, 37, 41, 44]",5,"[6, 24, 31, 41, 44]",1.1102,3224.2671,2510000,8136,6816
32,0.189200,6.281007,2.036969,"[5, 6, 12, 13, 15, 23, 27, 31, 37, 40]",4,"[6, 15, 27, 31]",2.7225,3715.6392,2510000,8136,6816
33,0.203100,16.881102,1.813071,"[0, 8, 9, 12, 14, 15, 24, 29, 31, 37]",5,"[0, 15, 24, 29, 31]",3.4423,2590.8458,2510000,8136,6816
34,0.128600,153.054476,1.840533,"[0, 6, 12, 14, 27, 28, 31, 37, 39, 40]",5,"[0, 6, 27, 28, 31]",0.8810,3678.6812,2510000,8136,6816
35,0.153800,5.393511,3.012670,"[5, 6, 9, 14, 15, 22, 31, 37, 41, 47]",4,"[6, 15, 31, 41]",1.2570,3070.6889,2510000,8136,6816
36,0.181400,4.528943,1.942643,"[1, 5, 6, 9, 14, 15, 27, 31, 37, 40]",4,"[6, 15, 27, 31]",0.7140,3480.1947,2510000,8136,6816
37,0.192700,19.321734,1.746776,"[3, 6, 12, 14, 15, 27, 31, 37, 43, 45]",7,"[3, 6, 15, 27, 31, 43, 45]",1.9800,3334.9659,2510000,8136,6816
38,0.123900,3.011063,2.227769,"[0, 1, 6, 13, 14, 15, 23, 37, 40, 48]",3,"[0, 6, 15]",2.2848,3244.4409,2510000,8136,6816
39,0.148400,2.611894,1.738293,"[6, 7, 8, 9, 14, 15, 24, 30, 37, 40]",3,"[6, 15, 24]",15.2608,2748.5804,2510000,8136,6816
40,0.124600,2.857008,1.426220,"[0, 3, 6, 14, 15, 24, 28, 31, 37, 40]",7,"[0, 3, 6, 15, 24, 28, 31]",0.9224,3889.4266,2510000,8136,6816
41,0.104300,3.325721,1.730396,"[0, 3, 6, 14, 15, 26, 27, 29, 31, 40]",7,"[0, 3, 6, 15, 27, 29, 31]",0.8111,3684.5027,2510000,8136,6816
42,0.103000,4.560939,1.927119,"[0, 6, 7, 12, 14, 15, 27, 29, 31, 40]",6,"[0, 6, 15, 27, 29, 31]",0.7858,3534.4314,2510000,8136,6816
43,0.102600,15.347828,2.154018,"[0, 6, 9, 14, 15, 27, 38, 40, 41, 45]",6,"[0, 6, 15, 27, 41, 45]",0.7164,2572.6440,2510000,8136,6816
44,0.100000,688.628622,2.247426,"[0, 3, 6, 14, 15, 27, 34, 37, 40, 41]",6,"[0, 3, 6, 15, 27, 41]",1.9566,3817.6208,2510000,8136,6816
45,0.100000,14085777.483200,6.980937,"[6, 14, 15, 24, 27, 29, 31, 37, 40, 41]",7,"[6, 15, 24, 27, 29, 31, 41]",1.0646,2589.3089,2510000,8136,6816
46,0.100000,nan,nan,"[0, 6, 7, 11, 14, 15, 26, 37, 40, 41]",4,"[0, 6, 15, 41]",3.5462,3047.7312,2510000,8136,6816
47,0.100000,nan,nan,"[6, 7, 12, 14, 15, 23, 27, 31, 37, 40]",4,"[6, 15, 27, 31]",0.2910,3956.7143,2510000,8136,6608
48,0.100000,nan,nan,"[0, 1, 6, 15, 27, 28, 31, 37, 40, 41]",7,"[0, 6, 15, 27, 28, 31, 41]",0.2858,3448.1407,2510000,8136,6608
49,0.100000,nan,nan,"[3, 6, 7, 9, 15, 16, 24, 31, 37, 40]",6,"[3, 6, 15, 16, 24, 31]",0.8752,3560.0718,2510000,8136,6608
50,0.100000,nan,nan,"[3, 6, 7, 12, 14, 15, 35, 37, 40, 42]",4,"[3, 6, 15, 42]",2.8799,3231.0611,2510000,8136,6608
51,0.100000,nan,nan,"[0, 6, 7, 14, 15, 26, 33, 37, 40, 47]",3,"[0, 6, 15]",0.4678,3402.0211,2510000,8136,6608
52,0.100000,nan,nan,"[6, 9, 14, 15, 23, 24, 27, 31, 37, 40]",5,"[6, 15, 24, 27, 31]",0.3013,3521.9116,2510000,8136,6608
53,0.100000,nan,nan,"[0, 1, 6, 14, 15, 24, 26, 31, 37, 40]",5,"[0, 6, 15, 24, 31]",0.3669,3001.3501,2510000,8136,6608
54,0.100000,nan,nan,"[0, 6, 7, 13, 14, 15, 24, 31, 37, 40]",5,"[0, 6, 15, 24, 31]",1.1253,2918.3724,2510000,8136,6608
55,0.100000,nan,nan,"[3, 6, 7, 12, 14, 15, 24, 36, 37, 40]",5,"[3, 6, 15, 24, 36]",0.8470,2766.4880,2510000,8136,6608
56,0.100000,nan,nan,"[0, 6, 7, 12, 14, 15, 24, 31, 37, 41]",6,"[0, 6, 15, 24, 31, 41]",0.3818,4891.3857,2510000,8136,6608
57,0.100000,nan,nan,"[0, 3, 6, 7, 14, 15, 27, 31, 37, 40]",6,"[0, 3, 6, 15, 27, 31]",0.3352,4420.1302,2510000,8136,6608
58,0.100000,nan,nan,"[0, 1, 3, 6, 14, 15, 24, 31, 37, 40]",6,"[0, 3, 6, 15, 24, 31]",0.2789,4083.6011,2510000,8136,6608
59,0.100000,nan,nan,"[0, 6, 12, 14, 15, 26, 31, 37, 40, 41]",5,"[0, 6, 15, 31, 41]",0.3539,3457.3736,2510000,8136,6608
60,0.100000,nan,nan,"[0, 6, 7, 14, 15, 22, 24, 27, 37, 39]",5,"[0, 6, 15, 24, 27]",0.7075,4265.3860,2510000,8136,6608
