round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.273700,2.084808,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.2987,2788.7391,2510000,2848,1872
2,0.331100,1.747399,1.227946,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0213,2871.3139,2510000,2848,288
3,0.432300,1.553374,0.988384,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0096,3375.1580,2510000,2848,288
4,0.422900,1.717397,0.746854,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0096,2005.1981,2510000,2848,288
5,0.482000,1.497128,0.692734,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0098,3150.6591,2510000,2848,288
6,0.515100,1.498953,0.546070,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0080,2610.8007,2510000,2848,288
7,0.507800,1.556279,0.575724,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0075,2818.6951,2510000,2848,288
8,0.514200,1.556605,0.527992,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0097,3015.3291,2510000,2848,288
9,0.472200,1.872855,0.449845,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0116,2240.7375,2510000,2848,288
10,0.514300,1.518823,0.479690,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0194,3119.4803,2510000,2848,288
11,0.566700,1.407937,0.379569,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0113,2663.6085,2510000,2848,288
12,0.537300,1.621971,0.401313,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0074,2892.3577,2510000,2848,288
13,0.555400,1.507564,0.410190,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0077,2907.3888,2510000,2848,288
14,0.534300,1.699685,0.361525,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0087,2107.8343,2510000,2848,288
15,0.548600,1.445118,0.379458,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0093,3231.7115,2510000,2848,288
16,0.579300,1.405289,0.337897,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0076,2958.2475,2510000,2848,288
17,0.552800,1.614856,0.346496,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0071,2703.4554,2510000,2848,288
18,0.567800,1.538268,0.356015,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0083,2999.4727,2510000,2848,288
19,0.538700,1.708411,0.335060,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0088,1916.7673,2510000,2848,288
20,0.563500,1.518317,0.333719,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0092,3086.1117,2510000,2848,288
21,0.588300,1.429581,0.302907,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0097,2505.2992,2510000,2848,288
22,0.572500,1.657163,0.302489,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0129,2899.6547,2510000,2848,288
23,0.589500,1.476049,0.306363,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0193,3098.5201,2510000,2848,288
24,0.562500,1.632535,0.302814,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0090,2251.1598,2510000,2848,288
25,0.581900,1.434256,0.333293,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0122,3190.1071,2510000,2848,288
26,0.599500,1.439729,0.268566,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0087,2707.4256,2510000,2848,288
27,0.578100,1.628827,0.286825,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0080,3039.0250,2510000,2848,288
28,0.590800,1.507218,0.298305,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0126,3061.6215,2510000,2848,288
29,0.569100,1.644088,0.278842,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0092,2256.1866,2510000,2848,288
30,0.583700,1.455336,0.317391,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0094,3283.8287,2510000,2848,288
31,0.599400,1.484459,0.253249,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0230,1933.5015,2510000,2848,288
32,0.582000,1.701136,0.255988,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0056,1997.6055,2510000,2848,288
33,0.589300,1.606412,0.280830,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0075,2506.2004,2510000,2848,288
34,0.568900,1.668735,0.263452,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0060,1200.8142,2510000,2848,288
35,0.584400,1.546702,0.268108,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0062,1786.3267,2510000,2848,288
