round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.175500,2.164174,1.407497,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.1388,2330.0503,2510000,2848,1872
2,0.236300,1.968012,1.263648,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0233,2678.4577,2510000,2848,288
3,0.391200,1.646430,1.101973,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0106,3047.5740,2510000,2848,288
4,0.351400,1.914824,0.866079,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0080,1873.2012,2510000,2848,288
5,0.430600,1.627293,0.808218,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0102,2997.3407,2510000,2848,288
6,0.364800,1.764068,0.672368,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0086,2460.5907,2510000,2848,288
7,0.366300,1.750263,0.752501,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0265,2954.8643,2510000,2848,288
8,0.508500,1.474289,0.661471,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0085,3046.0500,2510000,2848,288
9,0.513300,1.520615,0.563734,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0190,2744.2842,2510000,2848,288
10,0.525800,1.516010,0.513020,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0140,3231.2908,2510000,2848,288
11,0.466600,1.661477,0.490136,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0085,2444.2772,2510000,2848,288
12,0.361000,1.985681,0.570548,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0486,3071.9271,2510000,2848,288
13,0.514500,1.560236,0.499287,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0083,2822.3384,2510000,2848,288
14,0.543600,1.562979,0.435506,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0153,2501.4637,2510000,2848,288
15,0.562100,1.452726,0.401953,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0081,2968.1901,2510000,2848,288
16,0.493400,1.572011,0.440786,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0070,1542.1303,2510000,2848,288
17,0.497200,1.566418,0.491188,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0063,2065.8901,2510000,2848,288
18,0.555200,1.503701,0.384781,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0065,2286.6690,2510000,2848,288
19,0.557700,1.544086,0.388044,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0076,1945.9649,2510000,2848,288
20,0.577600,1.408313,0.350378,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0054,2346.6893,2510000,2848,288
21,0.504200,1.625273,0.383847,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0193,1902.9720,2510000,2848,288
22,0.495500,1.653545,0.458674,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0066,2178.8777,2510000,2848,288
23,0.562700,1.526885,0.344698,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0058,2509.2243,2510000,2848,288
24,0.570800,1.546278,0.359511,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0155,1764.4405,2510000,2848,288
25,0.592300,1.448635,0.335773,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0075,3383.6736,2510000,2848,288
26,0.516800,1.658630,0.378819,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0105,2600.6640,2510000,2848,288
27,0.518300,1.604098,0.432051,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0230,2839.1050,2510000,2848,288
28,0.569700,1.528156,0.317159,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0110,2494.2914,2510000,2848,288
29,0.574100,1.558180,0.342356,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0072,2379.1993,2510000,2848,288
30,0.595800,1.452336,0.287619,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0063,2729.9443,2510000,2848,288
31,0.522600,1.678513,0.337253,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0075,2545.9707,2510000,2848,288
32,0.522900,1.619839,0.424230,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0087,2868.3220,2510000,2848,288
33,0.573500,1.586302,0.288543,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0354,2593.7611,2510000,2848,288
34,0.580000,1.591605,0.327043,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0314,2414.9589,2510000,2848,288
35,0.595500,1.505038,0.271442,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0068,2705.3548,2510000,2848,288
36,0.527200,1.702477,0.320053,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0061,2903.5504,2510000,2848,288
37,0.527100,1.635314,0.411235,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0185,2950.4121,2510000,2848,288
38,0.583500,1.565736,0.277909,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0101,2440.3924,2510000,2848,288
39,0.581300,1.594389,0.301720,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0086,2185.1378,2510000,2848,288
