round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.175500,2.243527,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0726,2115.3186,2510000,2848,1872
2,0.221100,2.069180,1.364489,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0096,2806.3814,2510000,2848,288
3,0.183000,2.189947,1.165123,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0092,3258.5241,2510000,2848,288
4,0.203500,2.244964,1.128211,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.1910,2246.6455,2510000,2848,288
5,0.297100,1.874515,1.170037,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0511,2948.4599,2510000,2848,288
6,0.377600,1.751923,0.950705,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0070,2608.1639,2510000,2848,288
7,0.347200,1.778316,0.969055,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0083,3019.9864,2510000,2848,288
8,0.346600,1.757758,0.882618,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0086,2889.9512,2510000,2848,288
9,0.342600,1.952204,0.848596,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0160,2433.9204,2510000,2848,288
10,0.405200,1.610795,0.858069,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0520,3171.7267,2510000,2848,288
11,0.427100,1.712710,0.712350,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0080,2696.3648,2510000,2848,288
12,0.407600,1.795114,0.750314,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0085,3335.9804,2510000,2848,288
13,0.404800,1.834012,0.723270,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0095,2935.2327,2510000,2848,288
14,0.399100,2.193454,0.688157,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0327,2108.6690,2510000,2848,288
15,0.414400,1.852607,0.703616,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0100,3194.6612,2510000,2848,288
16,0.449900,1.798734,0.636433,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0064,2832.5793,2510000,2848,288
17,0.428500,1.881427,0.665462,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0100,3253.7120,2510000,2848,288
18,0.417600,2.289214,0.696440,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0080,2256.9807,2510000,2848,288
19,0.414000,2.962975,0.686086,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0068,1662.5421,2510000,2848,288
20,0.403100,1.971657,0.691938,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0068,2725.0906,2510000,2848,288
21,0.449300,2.156731,0.580688,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0122,2025.3532,2510000,2848,288
22,0.440300,2.116298,0.604484,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0056,2350.2272,2510000,2848,288
23,0.449200,2.656189,0.656229,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0062,3063.4288,2510000,2848,288
24,0.432700,3.611904,0.657357,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0915,2845.5099,2510000,2848,288
25,0.455900,1.905911,0.734048,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0130,2719.9012,2510000,2848,288
26,0.467700,2.245059,0.565267,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0065,2502.5560,2510000,2848,288
27,0.448000,2.135546,0.536373,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0263,2569.0426,2510000,2848,288
