round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.109300,22.677768,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.1150,2582.9280,2510000,2848,1872
2,0.097400,7.311148,2.494806,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0140,2715.7657,2510000,2848,288
3,0.133300,14.662024,2.042946,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0174,2738.6186,2510000,2848,288
4,0.100100,2.423651,2.145497,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0099,2180.1186,2510000,2848,288
5,0.100000,2.348897,1.936499,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0134,3045.9157,2510000,2848,288
6,0.100000,2.339627,1.879230,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0093,2795.7718,2510000,2848,288
7,0.100200,2.383282,1.966054,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0117,3309.4131,2510000,2848,288
8,0.099600,2.975796,2.014657,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.1493,3337.5590,2510000,2848,288
9,0.100000,2.517789,2.061085,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0327,2464.0975,2510000,2848,288
10,0.100000,2.321949,1.958843,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0185,3538.6618,2510000,2848,288
11,0.100000,2.345072,1.858705,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0075,3029.8020,2510000,2848,288
12,0.100000,2.349612,1.983054,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0108,3368.6801,2510000,2848,288
13,0.097600,7.787060,2.010731,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0079,3366.7597,2510000,2848,288
14,0.100000,2.353458,4.648302,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0091,2423.7224,2510000,2848,288
15,0.100000,2.312616,1.925642,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0098,3519.1812,2510000,2848,288
16,0.100000,2.328304,1.864431,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0067,2906.5603,2510000,2848,288
17,0.100000,2.342056,1.966756,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0103,3006.0767,2510000,2848,288
18,0.100000,2.447006,2.000799,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0077,3390.8624,2510000,2848,288
19,0.100000,2.323503,2.029580,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0076,2310.4228,2510000,2848,288
20,0.100000,2.318769,1.916862,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0083,3467.8982,2510000,2848,288
21,0.100000,2.322649,1.862045,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0083,2927.7568,2510000,2848,288
22,0.100000,2.325108,1.957077,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0060,3090.0634,2510000,2848,288
23,0.100100,3.055176,1.991584,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0250,3480.0743,2510000,2848,288
24,0.100000,2.348302,5.907615,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0074,2496.6693,2510000,2848,288
25,0.100000,2.318907,1.915480,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0085,3533.9245,2510000,2848,288
26,0.100000,2.342226,1.858072,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0061,2842.1666,2510000,2848,288
27,0.100000,2.376479,1.980835,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0065,2973.2282,2510000,2848,288
28,0.100000,2.373365,1.990489,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0069,3509.0839,2510000,2848,288
29,0.100000,2.358350,1.992068,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0125,2524.0072,2510000,2848,288
30,0.100000,2.308418,1.925857,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0121,3290.4229,2510000,2848,288
31,0.100000,2.359250,1.863628,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0072,2557.8295,2510000,2848,288
32,0.100000,2.334003,1.981581,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0066,2822.3644,2510000,2848,288
33,0.100000,2.328688,1.986505,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0087,3342.3953,2510000,2848,288
34,0.100000,2.339660,1.975834,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0058,1595.4708,2510000,2848,288
35,0.100000,2.324439,7.118444,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0095,2364.5569,2510000,2848,288
36,0.100000,2.308875,1.858778,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0089,2095.4107,2510000,2848,288
37,0.100000,2.335224,1.951218,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0058,2568.9968,2510000,2848,288
38,0.100000,2.367031,1.996964,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0219,2513.3712,2510000,2848,288
39,0.100000,2.328411,2.004138,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0060,2002.2579,2510000,2848,288
40,0.100000,2.333290,1.910265,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0167,2400.3231,2510000,2848,288
41,0.100000,2.391781,1.856844,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0286,2645.5582,2510000,2848,288
42,0.100000,2.340443,1.994408,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0089,2343.8692,2510000,2848,288
43,0.100000,2.383224,1.992079,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0114,3648.6694,2510000,2848,288
44,0.100000,2.371471,1.992495,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0115,2637.3526,2510000,2848,288
45,0.100000,2.314250,1.935069,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0178,3085.1568,2510000,2848,288
46,0.100000,2.362043,1.860218,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0074,2569.2655,2510000,2848,288
47,0.100000,2.380326,1.984855,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0087,3391.4642,2510000,2848,288
48,0.100100,2.514225,1.990485,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0061,3191.4079,2510000,2848,288
49,0.100000,2.390719,1.998370,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0060,2736.6405,2510000,2848,288
50,0.100100,2.321906,1.973892,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0057,3429.4166,2510000,2848,288
51,0.100000,2.346549,1.861592,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0058,2786.8440,2510000,2848,288
52,0.100000,2.357554,1.971580,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0377,3370.8698,2510000,2848,288
53,0.100100,2.399517,2.009644,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0122,3384.0154,2510000,2848,288
54,0.100000,2.340313,2.010232,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0081,2677.5543,2510000,2848,288
55,0.100000,2.325513,1.897183,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0340,3496.8420,2510000,2848,288
56,0.100000,2.344492,1.865969,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0081,2595.3542,2510000,2848,288
57,0.100000,2.324531,1.976353,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0214,3193.1346,2510000,2848,288
58,0.100000,2.353557,1.971450,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0061,3063.9728,2510000,2848,288
59,0.100000,2.355022,1.995950,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0061,2943.3214,2510000,2848,288
60,0.100000,2.323408,1.910349,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0087,3318.5555,2510000,2848,288
