round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.211400,2.068644,1.410911,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.1087,2626.8857,2510000,2848,1872
2,0.231800,1.948903,1.203732,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0203,3070.7916,2510000,2848,288
3,0.149000,2.226427,1.031026,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0095,3103.9082,2510000,2848,288
4,0.264800,2.108404,0.804832,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0088,2473.8462,2510000,2848,288
5,0.356400,1.776879,0.772187,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0209,3562.4097,2510000,2848,288
6,0.383200,1.768617,0.624959,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0139,2997.9929,2510000,2848,288
7,0.305500,1.980547,0.631380,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0090,3411.5405,2510000,2848,288
8,0.123500,2.929210,0.605985,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0103,3616.0471,2510000,2848,288
9,0.386300,1.922588,0.493895,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0285,2521.1853,2510000,2848,288
10,0.420800,1.750419,0.512181,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0072,3823.5543,2510000,2848,288
11,0.327400,1.940505,0.480062,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0074,3280.3553,2510000,2848,288
12,0.389200,1.909283,0.479582,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0253,3745.0143,2510000,2848,288
13,0.122800,3.677307,0.453987,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0075,3742.1231,2510000,2848,288
14,0.429900,1.755764,0.422828,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0134,2638.0631,2510000,2848,288
15,0.450000,1.726080,0.414263,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0059,3836.7097,2510000,2848,288
16,0.352400,1.891505,0.402897,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0387,3094.9904,2510000,2848,288
17,0.371800,2.087618,0.399837,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0086,3618.8332,2510000,2848,288
18,0.121300,3.858739,0.422426,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0135,3463.3645,2510000,2848,288
19,0.446400,1.745550,0.383839,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0076,2581.2128,2510000,2848,288
20,0.456700,1.831114,0.367300,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0070,3689.9961,2510000,2848,288
21,0.350500,2.098749,0.350994,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0061,3092.6037,2510000,2848,288
22,0.373100,2.075375,0.382547,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0104,3668.0989,2510000,2848,288
23,0.122200,3.808973,0.392724,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0068,3616.9838,2510000,2848,288
24,0.444200,1.690189,0.352083,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0267,2963.2398,2510000,2848,288
25,0.484800,1.753057,0.337479,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0387,3789.9211,2510000,2848,288
26,0.336600,2.052539,0.341413,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0075,2991.0738,2510000,2848,288
27,0.383700,2.044966,0.337168,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0122,3635.1779,2510000,2848,288
28,0.129900,4.024347,0.358710,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0076,2463.7984,2510000,2848,288
29,0.464300,1.715175,0.343340,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0081,1826.1943,2510000,2848,288
30,0.479400,1.802055,0.309818,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0065,2459.6427,2510000,2848,288
31,0.332100,2.168433,0.299459,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0062,2160.3527,2510000,2848,288
32,0.382400,2.067362,0.309007,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0152,2753.6182,2510000,2848,288
33,0.132800,3.803920,0.366210,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0074,2964.2538,2510000,2848,288
34,0.471600,1.645787,0.325865,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0062,1858.5832,2510000,2848,288
35,0.491300,1.758700,0.299447,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0075,2890.8579,2510000,2848,288
36,0.328700,2.206238,0.285157,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0170,3056.3179,2510000,2848,288
37,0.411500,1.972008,0.298176,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0095,3377.3990,2510000,2848,288
38,0.140300,4.056688,0.309318,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0227,3353.6820,2510000,2848,288
39,0.441500,1.804396,0.298944,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0063,2592.4315,2510000,2848,288
40,0.500700,1.757281,0.292329,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0116,3622.7486,2510000,2848,288
41,0.348400,2.130361,0.293097,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0066,3158.8716,2510000,2848,288
42,0.393700,2.051933,0.294124,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0078,3428.4178,2510000,2848,288
43,0.133400,4.199035,0.311909,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0091,3510.3055,2510000,2848,288
44,0.458600,1.749825,0.294467,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0089,2609.8742,2510000,2848,288
45,0.489600,1.826886,0.265880,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0242,3641.2387,2510000,2848,288
46,0.350300,2.197294,0.272488,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0070,2942.9578,2510000,2848,288
47,0.391200,2.100881,0.281188,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0071,3594.5019,2510000,2848,288
48,0.139600,4.121199,0.312089,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0081,3581.9947,2510000,2848,288
49,0.445800,1.837608,0.287468,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0068,2993.0871,2510000,2848,288
50,0.485900,1.843300,0.265862,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0302,3688.1239,2510000,2848,288
51,0.329600,2.314091,0.248708,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0078,3079.9313,2510000,2848,288
52,0.409100,2.027583,0.263655,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0133,3573.1077,2510000,2848,288
53,0.129600,4.466677,0.278955,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0093,3489.8054,2510000,2848,288
54,0.465700,1.788244,0.288027,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0072,2781.3603,2510000,2848,288
55,0.494600,1.823657,0.257985,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0081,3680.4101,2510000,2848,288
56,0.340000,2.253298,0.252404,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0078,2890.7307,2510000,2848,288
57,0.398200,2.089493,0.254571,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0101,3360.2776,2510000,2848,288
58,0.164800,3.727532,0.354174,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0097,3442.9312,2510000,2848,288
59,0.414000,2.014549,0.268657,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0096,2742.5929,2510000,2848,288
60,0.507000,1.818713,0.259761,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0151,3564.6553,2510000,2848,288
