round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.196900,2.199756,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0638,2272.8378,2510000,2848,1872
2,0.350600,1.756224,1.288757,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0228,2861.7290,2510000,2848,288
3,0.478000,1.422643,1.004537,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0228,2976.1518,2510000,2848,288
4,0.466300,1.460328,0.716681,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0092,2055.9427,2510000,2848,288
5,0.482200,1.414667,0.728091,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0065,3101.8850,2510000,2848,288
6,0.504400,1.430466,0.554198,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0185,2892.7848,2510000,2848,288
7,0.524300,1.439436,0.603746,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0150,3312.6034,2510000,2848,288
8,0.557300,1.455766,0.511066,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0070,3337.0962,2510000,2848,288
9,0.552300,1.514951,0.432511,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0068,2403.9775,2510000,2848,288
10,0.531300,1.542315,0.473092,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0086,3460.6150,2510000,2848,288
11,0.547000,1.584749,0.376494,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0194,3043.8770,2510000,2848,288
12,0.568200,1.565966,0.425017,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0136,3488.8140,2510000,2848,288
13,0.583000,1.503829,0.395863,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0066,3350.5606,2510000,2848,288
14,0.569400,1.619588,0.371039,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0098,2538.9663,2510000,2848,288
15,0.545100,1.605540,0.411070,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0069,3576.7443,2510000,2848,288
16,0.537800,1.922245,0.377641,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0091,3147.1160,2510000,2848,288
17,0.563400,1.648165,0.398960,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0088,3397.4332,2510000,2848,288
18,0.586000,1.626868,0.335204,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0107,3429.4301,2510000,2848,288
19,0.565700,1.831044,0.372314,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0085,2538.1555,2510000,2848,288
20,0.554100,1.710939,0.376587,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0072,2512.7352,2510000,2848,288
21,0.557800,1.726137,0.352959,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0098,2053.0580,2510000,2848,288
