round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.141800,2.275502,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.1938,2389.5486,2510000,2848,1872
2,0.265600,2.174404,1.388892,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0426,2173.4380,2510000,2848,288
3,0.382500,2.009628,1.278487,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0133,2385.7565,2510000,2848,288
4,0.391300,1.819742,1.080397,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0255,1708.5762,2510000,2848,288
5,0.442700,1.693143,1.021075,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0208,2782.2057,2510000,2848,288
6,0.458100,1.562952,0.881726,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0080,2459.7133,2510000,2848,288
7,0.474300,1.484479,0.882872,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0078,2889.0749,2510000,2848,288
8,0.500500,1.407900,0.830236,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0523,2661.4511,2510000,2848,288
9,0.501800,1.371522,0.728197,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0276,2213.9448,2510000,2848,288
10,0.524900,1.325107,0.725725,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0131,2930.4593,2510000,2848,288
11,0.530000,1.309587,0.611580,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0167,2586.8021,2510000,2848,288
12,0.549600,1.289176,0.649064,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0114,2657.2829,2510000,2848,288
13,0.538500,1.322268,0.606962,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0178,2573.7044,2510000,2848,288
14,0.549400,1.316541,0.510409,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0075,1851.9568,2510000,2848,288
15,0.572000,1.251277,0.538340,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0144,2498.8713,2510000,2848,288
16,0.545200,1.389458,0.460598,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0073,2041.3693,2510000,2848,288
17,0.569200,1.312815,0.515262,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0079,2476.5012,2510000,2848,288
