round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.162600,2.277328,1.410911,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0826,6961.6975,2510000,2848,1872
2,0.275200,2.177404,1.386948,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0323,5242.9954,2510000,2848,288
3,0.276800,2.053815,1.325350,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.1031,6154.1033,2510000,2848,288
4,0.341400,1.877437,1.152876,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0362,3889.6573,2510000,2848,288
5,0.403100,1.750709,1.071332,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.4705,6884.2146,2510000,2848,288
6,0.435100,1.627595,0.961097,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0749,5331.8611,2510000,2848,288
7,0.430000,1.557180,0.965629,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0444,6849.4005,2510000,2848,288
8,0.460300,1.480744,1.004459,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0425,6323.9298,2510000,2848,288
9,0.501300,1.405056,0.875735,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0856,4440.1760,2510000,2848,288
10,0.515200,1.359577,0.809517,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0348,6225.6427,2510000,2848,288
11,0.515200,1.353607,0.762972,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0326,5242.9258,2510000,2848,288
12,0.525700,1.335700,0.771618,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0347,5124.8346,2510000,2848,288
13,0.503100,1.380700,0.863704,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0576,6144.9509,2510000,2848,288
14,0.537500,1.330568,0.682146,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.1639,4139.4114,2510000,2848,288
15,0.552700,1.279428,0.649963,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.1100,6166.8333,2510000,2848,288
16,0.512600,1.378856,0.646673,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0299,4289.3347,2510000,2848,288
17,0.546200,1.329025,0.647017,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0381,5894.6057,2510000,2848,288
18,0.402400,1.594528,0.776986,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0336,6163.5570,2510000,2848,288
19,0.554000,1.299117,0.560701,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0281,3959.0540,2510000,2848,288
20,0.568200,1.294209,0.524873,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0515,6487.4815,2510000,2848,288
21,0.399100,1.695522,0.546158,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0289,4918.4665,2510000,2848,288
22,0.494000,1.474003,0.574007,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0587,6166.4498,2510000,2848,288
23,0.529000,1.398086,0.704645,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0187,5719.4386,2510000,2848,288
24,0.498800,1.503353,0.534318,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0340,4616.3759,2510000,2848,288
25,0.546800,1.324128,0.505298,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0432,5803.7699,2510000,2848,288
26,0.551400,1.447774,0.487958,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0340,4521.7331,2510000,2848,288
27,0.445900,1.593226,0.539121,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0299,5311.9439,2510000,2848,288
28,0.557200,1.412187,0.627409,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0298,4973.8492,2510000,2848,288
29,0.432300,1.602604,0.510727,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0270,3157.3372,2510000,2848,288
30,0.547600,1.363209,0.442162,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.1217,5812.8989,2510000,2848,288
31,0.562600,1.367383,0.467771,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0327,4128.6392,2510000,2848,288
32,0.517000,1.506542,0.484901,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0315,4667.1349,2510000,2848,288
33,0.555800,1.435090,0.614063,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0348,5184.9768,2510000,2848,288
34,0.486100,1.525629,0.477995,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0328,3582.4462,2510000,2848,288
35,0.566200,1.390627,0.409743,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0382,5413.0976,2510000,2848,288
