round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.178000,2.270402,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.2075,6681.7711,2510000,2848,1872
2,0.281200,2.163079,1.385485,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0286,5502.8269,2510000,2848,288
3,0.367200,1.998453,1.278033,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0263,6184.8787,2510000,2848,288
4,0.413200,1.798994,1.089608,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0841,4213.7319,2510000,2848,288
5,0.436000,1.675345,1.029957,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0880,6925.7555,2510000,2848,288
6,0.464300,1.561117,0.887569,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0397,5421.7209,2510000,2848,288
7,0.474100,1.480012,0.889767,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0588,6786.0609,2510000,2848,288
8,0.499800,1.412651,0.839125,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0492,6235.2647,2510000,2848,288
9,0.503500,1.366847,0.741950,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0599,4676.3646,2510000,2848,288
10,0.527500,1.331153,0.732679,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0493,6287.9956,2510000,2848,288
11,0.529100,1.325625,0.630138,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0733,5373.0299,2510000,2848,288
12,0.545700,1.288467,0.660326,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0571,5304.3768,2510000,2848,288
13,0.543000,1.301997,0.613597,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0294,6186.1765,2510000,2848,288
14,0.548500,1.315836,0.510715,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0467,4132.8657,2510000,2848,288
15,0.569600,1.272285,0.548467,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.1571,6430.9061,2510000,2848,288
16,0.547400,1.340651,0.465994,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0342,4538.1072,2510000,2848,288
