round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.199800,2.752230,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.1183,2280.5127,2510000,2848,1872
2,0.178400,2.816091,1.373696,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0091,2238.3861,2510000,2848,288
3,0.244000,2.823764,1.404036,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0055,2750.5722,2510000,2848,288
4,0.235000,2.998438,1.256333,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0095,2119.8891,2510000,2848,288
5,0.235800,3.060240,1.217336,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0103,2422.8963,2510000,2848,288
6,0.264800,3.135287,1.133846,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0060,2337.2684,2510000,2848,288
7,0.210300,3.273707,1.179422,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0070,3274.5511,2510000,2848,288
8,0.288900,3.020110,1.183150,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0144,2635.3771,2510000,2848,288
9,0.252400,3.465530,1.107257,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0240,1898.1238,2510000,2848,288
10,0.327600,2.674539,1.108454,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0435,2473.4961,2510000,2848,288
11,0.286400,2.581268,0.972144,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0087,2216.2800,2510000,2848,288
12,0.258000,2.907633,1.079959,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0145,2360.1231,2510000,2848,288
13,0.303600,3.866243,1.047877,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0203,2517.9568,2510000,2848,288
14,0.325900,2.793304,1.070516,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0079,1780.2392,2510000,2848,288
15,0.266200,2.589309,1.030311,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0109,3030.0713,2510000,2848,288
16,0.305400,2.621573,1.038415,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0070,2481.8908,2510000,2848,288
17,0.265400,3.353820,1.045024,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0367,2810.4160,2510000,2848,288
18,0.318300,3.576460,1.065038,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0314,2645.9083,2510000,2848,288
19,0.325200,2.638761,1.035507,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0129,1900.0962,2510000,2848,288
20,0.297200,2.646635,0.972605,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0071,2983.8887,2510000,2848,288
21,0.316000,3.083687,0.864576,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0059,2514.7609,2510000,2848,288
22,0.268000,3.280175,0.988186,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0152,2961.1089,2510000,2848,288
23,0.280900,2.659994,0.988780,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0075,2820.4656,2510000,2848,288
24,0.377900,2.739217,0.921643,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0127,2087.5413,2510000,2848,288
