round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.214800,2.934283,1.404851,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0668,2309.6059,2510000,2848,1872
2,0.152300,3.257582,1.373065,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0149,2176.2457,2510000,2848,288
3,0.311200,2.239930,1.394422,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0081,2393.8964,2510000,2848,288
4,0.126200,3.622645,1.198228,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0112,2360.0319,2510000,2848,288
5,0.231900,2.852604,1.246046,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0095,3207.6901,2510000,2848,288
6,0.261500,3.036330,1.163116,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0138,2465.5306,2510000,2848,288
7,0.259600,2.226746,1.196811,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0208,2381.6770,2510000,2848,288
8,0.297800,2.842063,1.134818,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0078,2911.9921,2510000,2848,288
9,0.208100,2.968641,1.101651,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0150,2184.1334,2510000,2848,288
10,0.232500,2.664022,1.135370,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0062,2833.4923,2510000,2848,288
11,0.264600,3.130057,1.082728,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0060,2222.6137,2510000,2848,288
12,0.248200,2.652585,1.213523,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0104,2276.8924,2510000,2848,288
13,0.280400,3.642922,1.078756,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0122,2600.2864,2510000,2848,288
14,0.220400,3.980479,1.173598,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0058,2265.8619,2510000,2848,288
15,0.241700,2.484650,1.173427,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0291,2600.5179,2510000,2848,288
16,0.295700,2.912137,1.082236,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0088,2060.7898,2510000,2848,288
17,0.324200,2.486439,1.133270,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0173,2392.7311,2510000,2848,288
18,0.314800,2.961696,1.067173,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0091,2510.5781,2510000,2848,288
19,0.237000,4.501940,1.130774,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0078,1880.3395,2510000,2848,288
20,0.253500,3.031559,1.172988,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0127,2453.9314,2510000,2848,288
21,0.282200,3.185066,1.036428,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0083,1982.9347,2510000,2848,288
22,0.300800,2.941020,1.135328,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0301,2662.0954,2510000,2848,288
23,0.314200,3.232822,1.083169,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0085,2687.2393,2510000,2848,288
24,0.230900,4.593866,1.141187,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0102,2108.2755,2510000,2848,288
25,0.275800,2.897665,1.133530,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0134,2435.4225,2510000,2848,288
26,0.310600,4.124452,0.994090,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0105,1814.3291,2510000,2848,288
27,0.258600,4.337542,1.130290,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0242,2372.9035,2510000,2848,288
28,0.372300,2.271919,1.253050,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0090,2389.4899,2510000,2848,288
29,0.225900,4.306301,1.062364,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0081,1843.0731,2510000,2848,288
30,0.265900,2.797545,1.154068,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.1420,2520.0393,2510000,2848,288
31,0.311600,3.675924,0.967945,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0154,1724.5785,2510000,2848,288
32,0.250200,4.331149,1.127157,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0067,2087.3085,2510000,2848,288
33,0.381200,2.470728,1.223568,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0271,2084.5633,2510000,2848,288
34,0.241100,3.967460,1.127958,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0082,1349.7021,2510000,2848,288
35,0.286400,2.778854,1.125832,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0085,2315.9617,2510000,2848,288
36,0.308100,4.003323,1.005074,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0075,1699.6834,2510000,2848,288
37,0.259800,5.009508,1.148419,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0096,2136.0045,2510000,2848,288
38,0.370600,2.894351,1.161162,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0105,2257.3020,2510000,2848,288
39,0.244300,5.076719,1.085870,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0069,1735.8611,2510000,2848,288
40,0.293100,3.311495,1.129070,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0188,2016.3578,2510000,2848,288
41,0.309000,3.874977,1.031868,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0084,1502.5353,2510000,2848,288
42,0.254400,5.430287,1.165434,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0069,1819.8341,2510000,2848,288
43,0.387700,3.273682,1.208882,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0075,1932.5646,2510000,2848,288
44,0.231600,5.014610,1.114841,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0307,1610.9162,2510000,2848,288
45,0.269400,4.039971,1.134282,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0184,2075.7061,2510000,2848,288
46,0.295600,4.400722,1.051447,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0136,1545.7560,2510000,2848,288
47,0.259900,6.075919,1.168557,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0078,1877.0096,2510000,2848,288
48,0.366700,3.707158,1.226344,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0122,2104.1782,2510000,2848,288
49,0.242200,5.842998,1.174471,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0069,1289.6431,2510000,2848,288
50,0.284100,3.898474,1.165278,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0102,1838.3031,2510000,2848,288
51,0.308700,5.417685,1.070998,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0246,1551.1306,2510000,2848,288
52,0.269200,6.810131,1.223714,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0070,1834.2790,2510000,2848,288
53,0.366400,4.020696,1.303684,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0082,1999.8798,2510000,2848,288
54,0.237000,5.766160,1.228113,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0118,1298.2534,2510000,2848,288
55,0.271000,4.027208,1.145857,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0075,1774.5887,2510000,2848,288
56,0.308900,4.698368,1.025860,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[38, 46]",0.0073,1806.5460,2510000,2848,288
57,0.256900,6.774027,1.215952,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[8, 35]",0.0085,1780.5873,2510000,2848,288
58,0.361100,3.997620,1.271693,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",1,[32],0.0134,1969.7289,2510000,2848,288
59,0.252800,5.762481,1.223456,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",3,"[4, 22, 31]",0.0065,1579.6594,2510000,2848,288
60,0.282700,4.072766,1.157939,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[21, 26]",0.0100,1719.5882,2510000,2848,288
