round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.214800,2.934283,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0592,1428.5800,2510000,2848,1872
2,0.187400,3.442861,1.359241,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0063,1850.2637,2510000,2848,288
3,0.100000,44.212695,1.432528,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0057,2124.7591,2510000,2848,288
4,0.169300,3.383953,2.030956,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0077,1795.8744,2510000,2848,288
5,0.152500,2.769804,1.463692,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0059,2176.4920,2510000,2848,288
6,0.198900,3.262087,1.367424,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0061,1569.4208,2510000,2848,288
7,0.173100,3.344565,1.486286,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0058,2090.1698,2510000,2848,288
8,0.119700,48.950982,1.536527,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0060,2135.4007,2510000,2848,288
9,0.152400,2.991644,2.181628,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0070,1791.0427,2510000,2848,288
10,0.120100,2.769328,1.638090,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0064,2134.7604,2510000,2848,288
11,0.152500,3.460613,1.561344,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0056,1630.7649,2510000,2848,288
12,0.124800,2.881200,1.680481,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0057,2140.0086,2510000,2848,288
13,0.107700,17.378889,1.733499,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0059,2175.2171,2510000,2848,288
14,0.100000,4067.747449,1.999069,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0078,1870.6045,2510000,2848,288
15,0.100000,3.117680,30.953736,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0062,2165.9453,2510000,2848,288
16,0.100000,2.722248,1.905278,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0063,1712.9864,2510000,2848,288
17,0.100000,2.572620,1.881334,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0058,2274.1595,2510000,2848,288
18,0.095400,35.806599,1.908318,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0058,2278.1857,2510000,2848,288
19,0.100000,2.847729,2.602001,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0075,1763.5788,2510000,2848,288
20,0.100000,3.131720,1.837788,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0057,2290.1927,2510000,2848,288
21,0.100000,2.724906,1.910295,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0075,1782.8457,2510000,2848,288
22,0.100000,2.637828,1.980403,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0058,2271.6269,2510000,2848,288
23,0.100000,3.273691,2.045230,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0056,2327.0153,2510000,2848,288
24,0.100000,2.664313,2.284553,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0108,1867.2254,2510000,2848,288
25,0.100000,2.618964,1.981209,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0112,2799.6246,2510000,2848,288
26,0.100000,2.636637,2.000447,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0170,1910.6508,2510000,2848,288
27,0.100000,2.560245,2.000579,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0077,2990.0349,2510000,2848,288
