round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.180900,2.223545,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0634,2628.8192,2510000,2848,1872
2,0.251400,2.313312,1.185468,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0295,2359.3737,2510000,2848,288
3,0.353200,1.732784,1.058753,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0168,2449.1247,2510000,2848,288
4,0.432500,1.620495,0.837538,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0075,1652.7854,2510000,2848,288
5,0.462500,1.535918,0.814189,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0092,2808.8953,2510000,2848,288
6,0.385800,2.090541,0.674891,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0080,2664.4072,2510000,2848,288
7,0.345700,2.172803,0.829631,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0087,2787.4008,2510000,2848,288
8,0.447800,1.608393,0.912233,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0130,2160.0652,2510000,2848,288
9,0.473200,1.630740,0.719805,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0081,1536.5678,2510000,2848,288
10,0.487900,1.554463,0.734219,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0133,2700.4584,2510000,2848,288
11,0.430000,1.913000,0.593600,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0097,2352.8612,2510000,2848,288
12,0.393500,2.089783,0.778677,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0171,2582.0210,2510000,2848,288
13,0.476800,1.549531,0.859598,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0830,2306.3481,2510000,2848,288
14,0.489600,1.643557,0.662941,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0066,1485.2088,2510000,2848,288
15,0.510800,1.485095,0.698031,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0148,2650.3636,2510000,2848,288
16,0.441400,2.108810,0.574103,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0069,2477.0363,2510000,2848,288
17,0.422000,2.042705,0.781773,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0221,2382.0549,2510000,2848,288
18,0.478900,1.589529,0.827293,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0083,2101.4035,2510000,2848,288
19,0.486500,1.660718,0.675017,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0059,1399.8412,2510000,2848,288
20,0.511600,1.506099,0.701400,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0082,2196.1887,2510000,2848,288
21,0.459100,1.941981,0.573997,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0153,2152.4572,2510000,2848,288
22,0.443600,1.873247,0.764647,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0083,2018.1498,2510000,2848,288
23,0.488300,1.581271,0.830682,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0104,2229.6435,2510000,2848,288
24,0.506300,1.578510,0.671383,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0110,1553.7599,2510000,2848,288
25,0.510400,1.481778,0.692410,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0068,2081.5959,2510000,2848,288
26,0.470100,1.872870,0.607910,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0061,1907.7984,2510000,2848,288
27,0.439000,2.060890,0.762024,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0084,2196.0454,2510000,2848,288
28,0.504000,1.542670,0.810495,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0068,3019.6013,2510000,2848,288
29,0.503700,1.622797,0.650367,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0059,2348.9975,2510000,2848,288
30,0.514600,1.482940,0.699006,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0060,2345.6835,2510000,2848,288
31,0.455800,2.133094,0.573751,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0158,2685.4206,2510000,2848,288
32,0.434100,1.979451,0.779516,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0060,1684.3602,2510000,2848,288
33,0.499100,1.571961,0.781367,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0062,1744.6295,2510000,2848,288
34,0.507300,1.572552,0.664053,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0053,1187.9994,2510000,2848,288
35,0.518300,1.495653,0.692667,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0115,1616.1467,2510000,2848,288
36,0.457700,1.809352,0.593121,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0063,1378.5961,2510000,2848,288
37,0.468600,1.694042,0.781833,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0060,1704.9111,2510000,2848,288
38,0.504200,1.564163,0.750864,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0062,1671.6911,2510000,2848,288
39,0.519700,1.556801,0.652715,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0055,1340.4758,2510000,2848,288
40,0.520300,1.484872,0.698862,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0054,1640.0907,2510000,2848,288
41,0.477300,1.863823,0.592417,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0056,1984.6469,2510000,2848,288
42,0.441100,1.978278,0.755925,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0059,1518.7696,2510000,2848,288
43,0.514900,1.492806,0.811680,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0059,1601.3106,2510000,2848,288
44,0.514600,1.558969,0.656133,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0059,1218.2010,2510000,2848,288
45,0.519600,1.446266,0.738391,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0061,1689.4669,2510000,2848,288
46,0.474300,1.779818,0.605869,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0059,2553.9678,2510000,2848,288
47,0.434400,1.979966,0.765470,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0053,1536.2788,2510000,2848,288
48,0.508300,1.485645,0.825852,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0056,1592.4993,2510000,2848,288
49,0.522200,1.550132,0.656274,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0067,1944.7372,2510000,2848,288
50,0.533700,1.447148,0.685918,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0147,2009.3191,2510000,2848,288
51,0.471900,2.051157,0.599289,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0137,1782.3145,2510000,2848,288
52,0.444800,1.973829,0.793682,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0102,1926.8378,2510000,2848,288
53,0.509800,1.467664,0.917909,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0114,2265.1567,2510000,2848,288
