round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.225600,2.107601,1.407497,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.1211,2334.8007,2510000,2848,1872
2,0.304300,1.819467,1.237456,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0276,2100.1315,2510000,2848,288
3,0.424600,1.558343,1.035714,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0144,2337.6312,2510000,2848,288
4,0.428300,1.628021,0.791214,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0072,1665.3642,2510000,2848,288
5,0.489900,1.456374,0.713787,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0080,2048.1248,2510000,2848,288
6,0.443800,1.642498,0.591059,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0061,2161.4654,2510000,2848,288
7,0.437700,1.628095,0.674620,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0082,2495.3587,2510000,2848,288
8,0.540600,1.421666,0.563307,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0121,2947.0951,2510000,2848,288
9,0.480300,1.608378,0.494038,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0076,2113.9773,2510000,2848,288
10,0.546100,1.426027,0.477571,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0062,2271.7617,2510000,2848,288
11,0.467400,1.673141,0.429042,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0104,2425.1724,2510000,2848,288
12,0.488700,1.521847,0.530900,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0068,2477.9402,2510000,2848,288
13,0.573200,1.386285,0.423246,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0064,2960.7767,2510000,2848,288
14,0.540700,1.524246,0.382188,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0077,2324.5562,2510000,2848,288
15,0.559100,1.505489,0.376144,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0138,2519.5858,2510000,2848,288
16,0.508100,1.516621,0.392317,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0061,2903.5334,2510000,2848,288
17,0.513600,1.458623,0.446172,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0065,2845.8801,2510000,2848,288
18,0.589200,1.407132,0.333069,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0058,3102.2669,2510000,2848,288
19,0.552500,1.483525,0.348412,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0140,2264.0220,2510000,2848,288
20,0.579000,1.449259,0.322435,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0071,2421.5077,2510000,2848,288
21,0.509600,1.502706,0.354970,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0097,2871.8048,2510000,2848,288
22,0.533700,1.430290,0.395713,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0060,3050.6842,2510000,2848,288
23,0.595100,1.451327,0.292260,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0191,3215.8071,2510000,2848,288
24,0.573000,1.427252,0.331851,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0127,2461.3601,2510000,2848,288
25,0.582100,1.475159,0.290562,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0060,2555.5156,2510000,2848,288
26,0.529200,1.501143,0.319154,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0079,2791.5370,2510000,2848,288
27,0.539900,1.450858,0.371161,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0069,2993.2057,2510000,2848,288
28,0.598200,1.418472,0.275130,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0129,3128.4277,2510000,2848,288
29,0.585700,1.406759,0.299184,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0095,2394.3655,2510000,2848,288
30,0.590900,1.484050,0.265894,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0065,2545.5812,2510000,2848,288
31,0.536600,1.477328,0.302843,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0078,2725.3677,2510000,2848,288
32,0.539000,1.461410,0.357686,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0062,2852.4395,2510000,2848,288
33,0.595600,1.473526,0.252189,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0112,3178.6562,2510000,2848,288
34,0.580900,1.442477,0.282928,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0150,2426.9695,2510000,2848,288
35,0.595100,1.518041,0.241233,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0062,2767.0356,2510000,2848,288
36,0.526800,1.566147,0.264833,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",2,"[39, 42]",0.0333,3171.1434,2510000,2848,288
37,0.540300,1.501135,0.334431,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",2,"[23, 35]",0.0063,3040.6611,2510000,2848,288
38,0.605900,1.454116,0.240161,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",0,[],0.0119,3133.8847,2510000,2848,288
39,0.589400,1.473714,0.254426,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",1,[25],0.0091,2282.8865,2510000,2848,288
40,0.588200,1.523384,0.246911,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",0,[],0.0093,2561.9591,2510000,2848,288
