round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.161200,2.261816,1.414114,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0658,3026.6455,2510000,2848,1872
2,0.181900,2.154816,1.379810,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0129,2949.5011,2510000,2848,288
3,0.126800,2.247159,1.275219,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0088,2921.8024,2510000,2848,288
4,0.161600,2.251841,1.312762,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0093,2115.5853,2510000,2848,288
5,0.233500,2.095594,1.324956,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0339,3100.6922,2510000,2848,288
6,0.306400,1.995973,1.138765,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0081,2036.5629,2510000,2848,288
7,0.234700,2.057357,1.148429,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0055,2317.7297,2510000,2848,288
8,0.183800,2.316849,1.144951,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0077,2461.1480,2510000,2848,288
9,0.219400,2.525667,1.147833,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0078,1848.7162,2510000,2848,288
10,0.273900,1.938354,1.166892,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0087,2792.6617,2510000,2848,288
11,0.312800,1.882739,0.971270,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0245,1973.9153,2510000,2848,288
12,0.298400,1.944620,1.002012,"[0, 2, 8, 9, 13, 16, 23, 28, 35, 48]",3,"[0, 16, 28]",0.0079,2931.2701,2510000,2848,288
13,0.252700,2.092634,1.000856,"[6, 12, 14, 17, 27, 32, 36, 37, 45, 49]",6,"[6, 17, 27, 36, 45, 49]",0.0072,3552.8035,2510000,2848,288
14,0.306600,2.046769,0.992906,"[4, 5, 10, 22, 24, 25, 31, 40, 41, 44]",5,"[24, 25, 31, 41, 44]",0.0088,2556.1284,2510000,2848,288
15,0.322100,1.830596,0.998649,"[7, 11, 15, 18, 21, 26, 29, 30, 33, 34]",2,"[15, 29]",0.0217,2774.9285,2510000,2848,288
16,0.339500,1.916957,0.836572,"[1, 3, 19, 20, 38, 39, 42, 43, 46, 47]",4,"[3, 20, 42, 43]",0.0079,2612.1955,2510000,2848,288
