strategy,aggregation,attack,byzantine_pct,final_accuracy,rounds_completed,simulation_completed,mean_selection_time_ms,mean_selector_state_bytes,mean_peak_mem_bytes
adaptive_mab,bulyan,gaussian_noise,0.1,0.5321,60,True,1.5220216666666666,8136.533333333334,6987.883333333333
adaptive_mab,fedavg,gaussian_noise,0.1,0.49,60,True,2.2281516666666668,8136.0,6938.083333333333
adaptive_mab,fltrust,gaussian_noise,0.1,0.5299,60,True,1.6877250000000001,8137.6,6959.75
adaptive_mab,krum,gaussian_noise,0.1,0.3742,60,True,1.5915916666666667,8136.0,6935.133333333333
adaptive_mab,trimmed_mean,gaussian_noise,0.1,0.5498,60,True,1.2358216666666666,8136.0,6936.95
cyclic,bulyan,gaussian_noise,0.1,0.0969,60,True,0.008721666666666666,2848.0,314.4
cyclic,fedavg,gaussian_noise,0.1,0.2422,60,True,0.014515,2848.0,314.4
cyclic,fltrust,gaussian_noise,0.1,0.6046,60,True,0.016701666666666667,2848.0,314.4
cyclic,krum,gaussian_noise,0.1,0.3588,60,True,0.02060333333333333,2848.0,314.4
cyclic,trimmed_mean,gaussian_noise,0.1,0.5197,60,True,0.011541666666666667,2848.0,314.4
random,bulyan,gaussian_noise,0.1,0.5917,60,True,0.10005833333333333,344.0,1456.0
random,fedavg,gaussian_noise,0.1,0.2043,60,True,0.10316833333333333,344.0,1456.0
random,fltrust,gaussian_noise,0.1,0.6084,60,True,0.07554833333333333,344.0,1456.0
random,krum,gaussian_noise,0.1,0.4011,60,True,0.11874833333333333,344.0,1456.0
random,trimmed_mean,gaussian_noise,0.1,0.4489,60,True,0.12836333333333333,344.0,1456.0
reputation,bulyan,gaussian_noise,0.1,0.5726,60,True,2.5686433333333336,5949.6,9292.483333333334
reputation,fedavg,gaussian_noise,0.1,0.3443,60,True,2.00026,5949.6,9326.3
reputation,fltrust,gaussian_noise,0.1,0.5692,60,True,4.787375,5960.4,9305.266666666666
reputation,krum,gaussian_noise,0.1,0.3839,60,True,2.5097466666666666,5955.2,9281.216666666667
reputation,trimmed_mean,gaussian_noise,0.1,0.5623,60,True,2.0946466666666668,5960.8,9320.9
adaptive_mab,bulyan,gaussian_noise,0.2,0.4989,60,True,1.3505016666666667,8137.066666666667,6966.55
adaptive_mab,fedavg,gaussian_noise,0.2,0.4649,60,True,1.4386216666666667,8138.133333333333,6962.216666666666
adaptive_mab,fltrust,gaussian_noise,0.2,0.5331,60,True,1.426505,8136.0,6957.75
adaptive_mab,krum,gaussian_noise,0.2,0.3636,60,True,1.7722483333333334,8136.0,6953.75
adaptive_mab,trimmed_mean,gaussian_noise,0.2,0.5043,60,True,1.5128633333333332,8140.8,6950.55
cyclic,bulyan,gaussian_noise,0.2,0.5799,60,True,0.014935,2848.0,314.4
cyclic,fedavg,gaussian_noise,0.2,0.1,60,True,0.01469,2848.0,314.4
cyclic,fltrust,gaussian_noise,0.2,0.5717,60,True,0.019143333333333335,2848.0,314.4
cyclic,krum,gaussian_noise,0.2,0.2798,60,True,0.01795,2848.0,314.4
cyclic,trimmed_mean,gaussian_noise,0.2,0.3055,60,True,0.012426666666666667,2848.0,314.4
random,bulyan,gaussian_noise,0.2,0.3723,60,True,0.085675,344.0,1456.0
random,fedavg,gaussian_noise,0.2,0.1,60,True,0.158135,344.0,1456.0
random,fltrust,gaussian_noise,0.2,0.5489,60,True,0.110915,344.0,1456.0
random,krum,gaussian_noise,0.2,0.3116,60,True,0.10193999999999999,344.0,1456.0
random,trimmed_mean,gaussian_noise,0.2,0.162,60,True,0.113515,344.0,1456.0
reputation,bulyan,gaussian_noise,0.2,0.5538,60,True,1.9790383333333332,5941.2,9276.05
reputation,fedavg,gaussian_noise,0.2,0.369,60,True,2.018405,5960.4,9287.283333333333
reputation,fltrust,gaussian_noise,0.2,0.5646,60,True,2.7469416666666664,5954.4,9286.9
reputation,krum,gaussian_noise,0.2,0.3543,60,True,3.1707716666666665,5960.0,9261.65
reputation,trimmed_mean,gaussian_noise,0.2,0.5124,60,True,2.3602083333333335,5961.2,9321.75
adaptive_mab,bulyan,gaussian_noise,0.4,0.5289,60,True,1.3429283333333333,8136.0,6936.883333333333
adaptive_mab,fedavg,gaussian_noise,0.4,0.1,60,True,6.358028333333333,8136.533333333334,6973.683333333333
adaptive_mab,fltrust,gaussian_noise,0.4,0.5382,60,True,1.1689800000000001,8136.0,6952.083333333333
adaptive_mab,krum,gaussian_noise,0.4,0.3556,60,True,1.2571083333333335,8136.0,6950.15
adaptive_mab,trimmed_mean,gaussian_noise,0.4,0.4417,60,True,2.6887616666666667,8137.066666666667,6946.95
cyclic,bulyan,gaussian_noise,0.4,0.1,60,True,0.022001666666666666,2848.0,314.4
cyclic,fedavg,gaussian_noise,0.4,0.1,60,True,0.01556,2848.0,314.4
cyclic,fltrust,gaussian_noise,0.4,0.5882,60,True,0.07654333333333334,2848.0,314.4
cyclic,krum,gaussian_noise,0.4,0.3812,60,True,0.01375,2848.0,314.4
cyclic,trimmed_mean,gaussian_noise,0.4,0.1,60,True,0.013515,2848.0,314.4
random,bulyan,gaussian_noise,0.4,0.1,60,True,0.08710333333333334,344.0,1456.0
random,fedavg,gaussian_noise,0.4,0.1,60,True,0.13892833333333332,344.0,1456.0
random,fltrust,gaussian_noise,0.4,0.5131,60,True,0.10578166666666666,344.0,1456.0
random,krum,gaussian_noise,0.4,0.388,60,True,0.18711666666666668,344.0,1456.0
random,trimmed_mean,gaussian_noise,0.4,0.1,60,True,0.10128333333333334,344.0,1456.0
reputation,bulyan,gaussian_noise,0.4,0.5002,60,True,1.6236716666666666,5936.0,9310.666666666666
reputation,fedavg,gaussian_noise,0.4,0.1,60,True,2.043055,5953.6,9274.966666666667
reputation,fltrust,gaussian_noise,0.4,0.5258,60,True,4.097166666666666,5945.2,9306.6
reputation,krum,gaussian_noise,0.4,0.4254,60,True,2.1999383333333333,5950.4,9269.4
reputation,trimmed_mean,gaussian_noise,0.4,0.2178,60,True,2.344821666666667,5933.2,9324.166666666666
adaptive_mab,bulyan,label_flip,0.1,0.539,60,True,1.147595,8136.0,6936.616666666667
adaptive_mab,fedavg,label_flip,0.1,0.5317,60,True,1.3396700000000001,8136.0,6992.95
adaptive_mab,fltrust,label_flip,0.1,0.4986,60,True,1.8003466666666668,8136.0,6931.8
adaptive_mab,krum,label_flip,0.1,0.3875,60,True,1.4581566666666668,8136.0,6999.75
adaptive_mab,trimmed_mean,label_flip,0.1,0.5769,60,True,1.29336,8137.066666666667,6937.483333333334
cyclic,bulyan,label_flip,0.1,0.5892,60,True,0.016585,2848.0,314.4
cyclic,fedavg,label_flip,0.1,0.5996,60,True,0.17427333333333334,2848.0,314.4
cyclic,fltrust,label_flip,0.1,0.5836,60,True,0.040535,2848.0,314.4
cyclic,krum,label_flip,0.1,0.3588,60,True,0.02208833333333333,2848.0,314.4
cyclic,trimmed_mean,label_flip,0.1,0.5938,60,True,0.013033333333333334,2848.0,314.4
random,bulyan,label_flip,0.1,0.5494,60,True,0.09878999999999999,344.0,1456.0
random,fedavg,label_flip,0.1,0.5587,60,True,0.32542000000000004,344.0,1456.0
random,fltrust,label_flip,0.1,0.5644,60,True,0.13864666666666667,344.0,1456.0
random,krum,label_flip,0.1,0.3282,60,True,0.17144833333333334,344.0,1456.0
random,trimmed_mean,label_flip,0.1,0.5272,60,True,0.10238333333333333,344.0,1456.0
reputation,bulyan,label_flip,0.1,0.5741,60,True,1.996375,5958.4,9320.016666666666
reputation,fedavg,label_flip,0.1,0.5986,60,True,2.1581683333333337,5956.4,9273.516666666666
reputation,fltrust,label_flip,0.1,0.5199,60,True,1.9750683333333334,5945.2,9354.55
reputation,krum,label_flip,0.1,0.3603,60,True,2.406335,5958.0,9276.016666666666
reputation,trimmed_mean,label_flip,0.1,0.583,60,True,1.9653316666666667,5948.4,9257.566666666668
adaptive_mab,bulyan,label_flip,0.2,0.516,60,True,3.543846666666667,8136.0,6949.816666666667
adaptive_mab,fedavg,label_flip,0.2,0.5725,60,True,1.3902700000000001,8136.533333333334,6942.216666666666
adaptive_mab,fltrust,label_flip,0.2,0.4653,60,True,1.2196133333333334,8136.0,6965.683333333333
adaptive_mab,krum,label_flip,0.2,0.3026,60,True,5.765003333333334,8136.0,6950.55
adaptive_mab,trimmed_mean,label_flip,0.2,0.5628,60,True,1.4963583333333332,8136.533333333334,6936.283333333334
cyclic,bulyan,label_flip,0.2,0.5308,60,True,0.02032,2848.0,314.4
cyclic,fedavg,label_flip,0.2,0.5441,60,True,0.038615,2848.0,314.4
cyclic,fltrust,label_flip,0.2,0.5806,60,True,0.07127333333333333,2848.0,314.4
cyclic,krum,label_flip,0.2,0.2827,60,True,0.01507,2848.0,314.4
cyclic,trimmed_mean,label_flip,0.2,0.5151,60,True,0.017671666666666665,2848.0,314.4
random,bulyan,label_flip,0.2,0.413,60,True,0.3519633333333333,344.0,1456.0
random,fedavg,label_flip,0.2,0.4662,60,True,0.13223,344.0,1456.0
random,fltrust,label_flip,0.2,0.5476,60,True,0.11599333333333334,344.0,1456.0
random,krum,label_flip,0.2,0.1561,60,True,0.11819,344.0,1456.0
random,trimmed_mean,label_flip,0.2,0.3891,60,True,0.107785,344.0,1456.0
reputation,bulyan,label_flip,0.2,0.4757,60,True,1.95432,5962.0,9270.316666666668
reputation,fedavg,label_flip,0.2,0.6008,60,True,5.562786666666667,5933.6,9276.383333333333
reputation,fltrust,label_flip,0.2,0.5876,60,True,2.863268333333333,5958.8,9270.033333333333
reputation,krum,label_flip,0.2,0.3232,60,True,6.429921666666667,5958.4,9266.133333333333
reputation,trimmed_mean,label_flip,0.2,0.5513,60,True,2.4183850000000002,5947.6,9249.916666666666
adaptive_mab,bulyan,label_flip,0.4,0.5033,60,True,1.3541966666666667,8136.0,6993.816666666667
adaptive_mab,fedavg,label_flip,0.4,0.219,60,True,3.6366366666666665,8136.0,6977.75
adaptive_mab,fltrust,label_flip,0.4,0.5347,60,True,1.2568783333333333,8136.0,6971.016666666666
adaptive_mab,krum,label_flip,0.4,0.3703,60,True,1.295015,8137.6,6949.816666666667
adaptive_mab,trimmed_mean,label_flip,0.4,0.4541,60,True,1.4885433333333333,8136.0,6965.016666666666
cyclic,bulyan,label_flip,0.4,0.479,60,True,0.020031666666666666,2848.0,314.4
cyclic,fedavg,label_flip,0.4,0.507,60,True,0.013766666666666667,2848.0,314.4
cyclic,fltrust,label_flip,0.4,0.5259,60,True,0.06127666666666667,2848.0,314.4
cyclic,krum,label_flip,0.4,0.2745,60,True,0.01666166666666667,2848.0,314.4
cyclic,trimmed_mean,label_flip,0.4,0.4904,60,True,0.021108333333333333,2848.0,314.4
random,bulyan,label_flip,0.4,0.4161,60,True,0.083905,344.0,1456.0
random,fedavg,label_flip,0.4,0.4123,60,True,0.107845,344.0,1456.0
random,fltrust,label_flip,0.4,0.5211,60,True,0.08959333333333334,344.0,1456.0
random,krum,label_flip,0.4,0.292,60,True,0.09660333333333333,344.0,1456.0
random,trimmed_mean,label_flip,0.4,0.4066,60,True,0.10661000000000001,344.0,1456.0
reputation,bulyan,label_flip,0.4,0.1998,60,True,3.6412866666666663,5957.2,9285.866666666667
reputation,fedavg,label_flip,0.4,0.479,60,True,1.8611283333333333,5956.0,9294.766666666666
reputation,fltrust,label_flip,0.4,0.5369,60,True,5.918945,5954.4,9350.95
reputation,krum,label_flip,0.4,0.3149,60,True,1.596765,5942.4,9310.55
reputation,trimmed_mean,label_flip,0.4,0.4186,60,True,2.3483650000000003,5954.0,9308.766666666666
adaptive_mab,bulyan,sign_flip,0.1,0.5265,60,True,1.3958766666666667,8136.0,6945.283333333334
adaptive_mab,fedavg,sign_flip,0.1,0.5547,60,True,2.1346483333333333,8136.0,6976.483333333334
adaptive_mab,fltrust,sign_flip,0.1,0.4418,60,True,0.9751766666666666,8136.0,6989.016666666666
adaptive_mab,krum,sign_flip,0.1,0.3621,60,True,1.5179216666666666,8136.0,6952.15
adaptive_mab,trimmed_mean,sign_flip,0.1,0.569,60,True,1.3171916666666665,8136.533333333334,6953.016666666666
cyclic,bulyan,sign_flip,0.1,0.5792,60,True,0.021468333333333332,2848.0,314.4
cyclic,fedavg,sign_flip,0.1,0.597,60,True,0.010838333333333333,2848.0,314.4
cyclic,fltrust,sign_flip,0.1,0.6001,60,True,0.055975,2848.0,314.4
cyclic,krum,sign_flip,0.1,0.3674,60,True,0.016186666666666665,2848.0,314.4
cyclic,trimmed_mean,sign_flip,0.1,0.5838,60,True,0.02158,2848.0,314.4
random,bulyan,sign_flip,0.1,0.5279,60,True,0.09053833333333333,344.0,1456.0
random,fedavg,sign_flip,0.1,0.5695,60,True,0.09175333333333334,344.0,1456.0
random,fltrust,sign_flip,0.1,0.5824,60,True,0.161015,344.0,1456.0
random,krum,sign_flip,0.1,0.3501,60,True,0.18457166666666666,344.0,1456.0
random,trimmed_mean,sign_flip,0.1,0.5644,60,True,0.14064,344.0,1456.0
reputation,bulyan,sign_flip,0.1,0.5634,60,True,2.6872249999999998,5957.6,9391.333333333334
reputation,fedavg,sign_flip,0.1,0.5703,60,True,1.8635833333333334,5944.0,9253.933333333332
reputation,fltrust,sign_flip,0.1,0.5707,60,True,1.5332416666666666,5933.2,9249.683333333332
reputation,krum,sign_flip,0.1,0.3273,60,True,2.0561933333333333,5951.2,9282.8
reputation,trimmed_mean,sign_flip,0.1,0.589,60,True,2.2779133333333332,5952.0,9254.866666666667
adaptive_mab,bulyan,sign_flip,0.2,0.5213,60,True,1.2447783333333333,8136.0,6988.883333333333
adaptive_mab,fedavg,sign_flip,0.2,0.5603,60,True,1.3315083333333333,8136.0,6966.55
