round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.154900,2.983220,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[8, 21, 26, 46]",0.1775,2958.6162,2510000,344,1456
2,0.281400,1.922278,1.244167,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[26, 35]",0.1070,2419.5781,2510000,344,1456
3,0.325500,1.817377,1.064717,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",3,"[8, 31, 38]",0.0785,2142.5556,2510000,344,1456
4,0.382900,1.792309,0.866637,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",0,[],0.1255,3199.6247,2510000,344,1456
5,0.404800,1.770218,0.849731,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",3,"[4, 26, 46]",0.0692,2554.9096,2510000,344,1456
6,0.412000,1.704729,0.767555,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",3,"[22, 32, 38]",0.0653,2273.5476,2510000,344,1456
7,0.443300,1.737326,0.726049,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[46],0.0752,2764.6134,2510000,344,1456
8,0.392400,2.185162,0.626271,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[4, 8, 35]",0.1597,1841.3955,2510000,344,1456
9,0.473700,1.690657,0.645132,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[4, 26]",0.0741,3352.0045,2510000,344,1456
10,0.491300,1.634550,0.652495,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[38],0.0675,3204.5650,2510000,344,1456
11,0.477600,1.793285,0.539070,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",1,[31],0.0735,3038.0400,2510000,344,1456
12,0.491900,1.719954,0.595111,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",2,"[38, 46]",0.1467,2851.6616,2510000,344,1456
13,0.328800,3.172602,0.572912,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",4,"[4, 8, 31, 46]",0.1157,3130.5903,2510000,344,1456
14,0.382400,2.073055,0.953986,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",3,"[4, 8, 38]",0.0607,2311.0158,2510000,344,1456
15,0.483100,1.584460,0.759669,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",3,"[8, 21, 38]",0.0883,2415.4088,2510000,344,1456
16,0.473000,1.769286,0.535496,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",0,[],0.0663,3325.3655,2510000,344,1456
17,0.486100,1.697173,0.587804,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",3,"[26, 32, 35]",0.0628,2905.8443,2510000,344,1456
18,0.526100,1.671487,0.528071,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",1,[22],0.0994,2552.1919,2510000,344,1456
19,0.500300,1.854386,0.468362,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",2,"[26, 32]",0.0950,2382.7173,2510000,344,1456
20,0.535100,1.587802,0.628349,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",1,[46],0.0669,2620.9968,2510000,344,1456
21,0.504400,1.845379,0.542946,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[32],0.0655,3114.7732,2510000,344,1456
22,0.494000,1.946085,0.479616,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",2,"[21, 32]",0.0914,2826.7230,2510000,344,1456
23,0.412000,2.853710,0.460086,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",4,"[8, 21, 22, 35]",0.0989,1623.6020,2510000,344,1456
24,0.245600,9.115620,0.735403,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",5,"[8, 22, 31, 35, 38]",0.0648,1641.1118,2510000,344,1456
25,0.276800,2.017799,1.574249,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[32],0.0649,2404.9922,2510000,344,1456
26,0.321700,2.429035,1.070221,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",4,"[21, 22, 32, 46]",0.0617,3384.5106,2510000,344,1456
27,0.370100,1.950604,1.020781,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",2,"[26, 38]",0.0639,3519.2438,2510000,344,1456
28,0.402200,1.830733,0.983754,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",1,[22],0.0831,3070.2199,2510000,344,1456
29,0.385000,1.751962,0.902546,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[32, 35]",0.0855,3713.1848,2510000,344,1456
30,0.411300,1.848300,0.839751,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[4],0.0744,2864.4072,2510000,344,1456
31,0.386800,1.974030,0.871144,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",1,[35],0.0658,2877.7957,2510000,344,1456
32,0.439800,1.765759,0.770582,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[22],0.1619,3395.5582,2510000,344,1456
