round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.257400,2.149980,1.586607,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[6, 28, 29, 42]",0.0762,3246.4859,2510000,344,1456
2,0.207700,1.996600,1.249295,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",4,"[0, 25, 29, 36]",0.1042,2569.6644,2510000,344,1456
3,0.331800,1.757961,1.103646,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",2,"[31, 41]",0.0677,2394.4448,2510000,344,1456
4,0.261800,1.884301,0.959322,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",6,"[15, 17, 41, 42, 44, 49]",0.0675,3680.4889,2510000,344,1456
5,0.221500,2.207570,0.913206,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",5,"[27, 28, 29, 43, 45]",0.0647,2572.9413,2510000,344,1456
6,0.328300,1.893092,0.850367,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",5,"[6, 20, 28, 44, 45]",0.1152,2613.6785,2510000,344,1456
7,0.297100,2.013231,0.814001,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",3,"[15, 28, 36]",0.0621,3443.2367,2510000,344,1456
8,0.282000,2.436913,0.671841,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[15, 36, 45]",0.0648,2495.9414,2510000,344,1456
9,0.372000,1.816956,0.684587,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[6, 42]",0.0567,3110.6051,2510000,344,1456
10,0.210600,2.052813,0.820889,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",7,"[3, 6, 17, 25, 27, 36, 44]",0.0931,3184.4553,2510000,344,1456
