round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.215900,2.252495,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[8, 21, 26, 46]",0.0847,3308.1807,2510000,344,1456
2,0.207100,2.150740,1.324623,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[26, 35]",0.1506,2379.0605,2510000,344,1456
3,0.360400,1.804097,1.150423,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",3,"[8, 31, 38]",0.0747,2697.9154,2510000,344,1456
4,0.371000,1.789906,0.920166,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",0,[],0.0689,3771.5254,2510000,344,1456
5,0.367200,1.896501,0.846205,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",3,"[4, 26, 46]",0.0709,3254.2828,2510000,344,1456
6,0.346600,2.014824,0.806681,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",3,"[22, 32, 38]",0.0632,2950.4250,2510000,344,1456
7,0.413100,1.813572,0.791026,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[46],0.0536,3607.3852,2510000,344,1456
8,0.423000,1.743731,0.645527,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[4, 8, 35]",0.0514,2336.0222,2510000,344,1456
9,0.439700,1.803680,0.637491,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[4, 26]",0.0551,2880.0335,2510000,344,1456
10,0.486900,1.548428,0.642939,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[38],0.1117,2449.8377,2510000,344,1456
11,0.449000,1.772315,0.514447,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",1,[31],0.0800,2720.7368,2510000,344,1456
12,0.431400,2.213014,0.598724,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",2,"[38, 46]",0.0762,2447.5158,2510000,344,1456
13,0.448200,1.908421,0.557476,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",4,"[4, 8, 31, 46]",0.2274,2405.3518,2510000,344,1456
14,0.454200,2.122395,0.652862,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",3,"[4, 8, 38]",0.0697,2188.6936,2510000,344,1456
