round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.135100,3.002462,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",1,[42],0.0800,3422.0998,2510000,344,1456
2,0.124300,4.493991,1.210511,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[25, 35]",0.1828,2662.8710,2510000,344,1456
3,0.290800,1.966617,1.277881,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",0,[],0.1044,2542.8078,2510000,344,1456
4,0.335700,1.932164,1.034759,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",1,[42],0.0639,3471.2430,2510000,344,1456
5,0.387900,1.688945,1.006067,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",0,[],0.0643,3254.8960,2510000,344,1456
6,0.408800,1.684382,0.920041,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",0,[],0.1155,3427.3911,2510000,344,1456
7,0.250800,3.501871,0.898774,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[39],0.1044,3459.4549,2510000,344,1456
8,0.224300,3.120227,1.260474,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",1,[35],0.1253,1951.8623,2510000,344,1456
9,0.294000,2.040522,1.286478,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",1,[42],0.0592,3052.3884,2510000,344,1456
10,0.311900,1.960536,1.250856,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[25],0.0825,2926.2414,2510000,344,1456
11,0.251500,2.788221,1.076148,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",2,"[25, 42]",0.0562,3260.3633,2510000,344,1456
12,0.324800,1.834207,1.248694,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",0,[],0.0627,3160.6632,2510000,344,1456
13,0.346300,1.826099,1.022024,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",0,[],0.0571,3032.0990,2510000,344,1456
14,0.189900,5.566581,1.083571,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",2,"[23, 25]",0.0936,2456.5756,2510000,344,1456
15,0.301900,1.928893,1.553870,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",0,[],0.0626,3108.6047,2510000,344,1456
16,0.256400,2.594111,1.057547,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",2,"[23, 25]",0.0633,3824.7871,2510000,344,1456
17,0.222100,2.772214,1.183926,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",2,"[35, 39]",0.0568,3471.5674,2510000,344,1456
18,0.300200,1.908945,1.362698,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",0,[],0.0725,3463.6449,2510000,344,1456
19,0.311300,1.900236,1.130415,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",1,[25],0.0851,3054.3305,2510000,344,1456
20,0.217900,4.152446,1.256404,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",2,"[23, 42]",0.0535,3051.5416,2510000,344,1456
