round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.306900,1.961497,1.578849,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",1,[42],0.0685,3033.7020,2510000,344,1456
2,0.367600,1.683796,1.126101,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[25, 35]",0.1433,2802.4532,2510000,344,1456
3,0.415600,1.579482,0.871639,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",0,[],0.0933,2740.4227,2510000,344,1456
4,0.468500,1.580362,0.730819,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",1,[42],0.1954,3754.4680,2510000,344,1456
5,0.519900,1.426320,0.626164,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",0,[],0.0535,3183.3216,2510000,344,1456
6,0.520200,1.552291,0.522603,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",0,[],0.0545,3207.7114,2510000,344,1456
7,0.515500,1.462733,0.521227,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[39],0.0571,3453.5549,2510000,344,1456
8,0.423900,1.844670,0.505120,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",1,[35],0.0546,2206.2356,2510000,344,1456
9,0.523100,1.573679,0.459796,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",1,[42],0.0555,3387.8369,2510000,344,1456
10,0.558900,1.435038,0.496733,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[25],0.0551,3324.9318,2510000,344,1456
11,0.521400,1.595352,0.417740,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",2,"[25, 42]",0.0700,3365.4006,2510000,344,1456
12,0.519700,1.542755,0.405274,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",0,[],0.0569,3232.5746,2510000,344,1456
13,0.542200,1.598122,0.354061,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",0,[],0.0991,3168.3984,2510000,344,1456
14,0.529200,1.427155,0.517024,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",2,"[23, 25]",0.0548,2752.3616,2510000,344,1456
15,0.588300,1.490347,0.354044,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",0,[],0.0740,3342.7929,2510000,344,1456
16,0.552300,1.497891,0.364037,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",2,"[23, 25]",0.0566,4062.2082,2510000,344,1456
17,0.528000,1.606506,0.319831,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",2,"[35, 39]",0.0542,3740.3097,2510000,344,1456
18,0.566800,1.625915,0.315970,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",0,[],0.1053,3579.9830,2510000,344,1456
19,0.588600,1.430928,0.309083,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",1,[25],0.0558,3159.4481,2510000,344,1456
20,0.528200,1.519247,0.412035,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",2,"[23, 42]",0.0533,3336.8312,2510000,344,1456
21,0.572400,1.531048,0.323183,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[23],0.0806,3867.9477,2510000,344,1456
22,0.567200,1.795919,0.273705,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",0,[],0.0558,3718.0367,2510000,344,1456
23,0.536800,1.579754,0.336946,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",1,[35],0.1201,2321.9496,2510000,344,1456
24,0.567000,1.476916,0.316535,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",1,[35],0.2358,2140.9607,2510000,344,1456
25,0.584300,1.464388,0.350155,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[42],0.1105,2956.5702,2510000,344,1456
26,0.610200,1.535956,0.218226,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",0,[],0.0763,3463.4980,2510000,344,1456
