round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.288200,1.988582,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",1,[42],0.0751,3344.4643,2510000,344,1456
2,0.378400,1.686187,1.116650,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[25, 35]",0.0957,2563.5758,2510000,344,1456
3,0.404700,1.599462,0.895764,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",0,[],0.1229,2471.3679,2510000,344,1456
4,0.467600,1.554422,0.721905,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",1,[42],0.0661,3719.3244,2510000,344,1456
5,0.506700,1.451930,0.655507,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",0,[],0.0540,3077.8565,2510000,344,1456
6,0.519800,1.552172,0.531914,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",0,[],0.1108,3125.7443,2510000,344,1456
7,0.497200,1.689514,0.508167,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[39],0.0586,3279.9846,2510000,344,1456
8,0.442400,1.947258,0.485188,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",1,[35],0.0757,1986.9915,2510000,344,1456
9,0.537500,1.554187,0.436862,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",1,[42],0.0720,3123.9088,2510000,344,1456
10,0.556500,1.524088,0.468398,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[25],0.0629,2945.8186,2510000,344,1456
11,0.550600,1.656099,0.373454,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",2,"[25, 42]",0.0532,3103.8984,2510000,344,1456
12,0.545700,1.537439,0.391103,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",0,[],0.0538,2930.9679,2510000,344,1456
13,0.527000,1.602440,0.356870,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",0,[],0.0594,2890.3382,2510000,344,1456
14,0.564500,1.453268,0.436360,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",2,"[23, 25]",0.0529,2447.8912,2510000,344,1456
