round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.138900,2.268796,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",1,[42],0.0808,2129.6324,2510000,344,1456
2,0.229600,2.173491,1.379802,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[25, 35]",0.1584,2744.3411,2510000,344,1456
3,0.327200,1.998027,1.272708,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",0,[],0.0920,3144.3315,2510000,344,1456
4,0.398100,1.821389,1.061131,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",1,[42],0.0629,1729.0216,2510000,344,1456
5,0.416800,1.692394,1.010029,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",0,[],0.0505,1612.9537,2510000,344,1456
6,0.438600,1.573481,0.941182,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",0,[],0.0490,1440.7609,2510000,344,1456
7,0.461600,1.500308,0.899774,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[39],0.0898,1946.9858,2510000,344,1456
8,0.444800,1.500190,0.774229,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",1,[35],0.0482,1064.5031,2510000,344,1456
9,0.483100,1.419348,0.741887,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",1,[42],0.0514,1771.2289,2510000,344,1456
10,0.521100,1.342564,0.778299,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[25],0.0596,2187.6655,2510000,344,1456
11,0.519200,1.339752,0.656641,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",2,"[25, 42]",0.0522,1661.4396,2510000,344,1456
12,0.506500,1.389420,0.697682,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",0,[],0.0530,1444.7549,2510000,344,1456
13,0.527000,1.351383,0.571917,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",0,[],0.0719,2104.8910,2510000,344,1456
14,0.535700,1.342889,0.623788,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",2,"[23, 25]",0.0965,1211.1701,2510000,344,1456
15,0.553900,1.304225,0.554711,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",0,[],0.0525,4344.5439,2510000,344,1456
16,0.542700,1.373268,0.468763,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",2,"[23, 25]",0.0587,2926.9456,2510000,344,1456
17,0.545500,1.329440,0.462638,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",2,"[35, 39]",0.1246,2679.5091,2510000,344,1456
18,0.556400,1.347419,0.465633,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",0,[],0.0579,3328.8685,2510000,344,1456
19,0.552900,1.357208,0.407942,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",1,[25],0.0540,1966.3464,2510000,344,1456
20,0.565700,1.342919,0.483943,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",2,"[23, 42]",0.0596,2565.5125,2510000,344,1456
21,0.531500,1.420202,0.472568,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[23],0.0788,3903.3953,2510000,344,1456
22,0.564500,1.397663,0.394973,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",0,[],0.0782,2810.6034,2510000,344,1456
23,0.529700,1.792736,0.366835,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",1,[35],0.0830,1483.1958,2510000,344,1456
24,0.532100,1.506894,0.422978,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",1,[35],0.0742,2070.9189,2510000,344,1456
25,0.579600,1.358936,0.413981,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[42],0.0834,2274.2815,2510000,344,1456
26,0.573700,1.458941,0.340438,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",0,[],0.0606,2027.3975,2510000,344,1456
27,0.571900,1.532006,0.312547,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",1,[39],0.0675,2297.3259,2510000,344,1456
28,0.559200,1.560711,0.368562,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",0,[],0.0590,2802.2015,2510000,344,1456
29,0.582700,1.374488,0.352892,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[23, 35]",0.0512,3523.3628,2510000,344,1456
30,0.541100,1.630198,0.348862,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[39],0.0581,2269.3892,2510000,344,1456
31,0.544600,1.638974,0.379700,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",3,"[25, 35, 42]",0.1174,1821.2190,2510000,344,1456
32,0.551100,1.500241,0.371806,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[23],0.0549,2068.2191,2510000,344,1456
33,0.576900,1.457039,0.331664,"[2, 3, 5, 9, 12, 14, 26, 31, 33, 42]",1,[42],0.0564,1739.0761,2510000,344,1456
34,0.547100,1.701561,0.256019,"[10, 13, 16, 17, 19, 21, 25, 32, 39, 48]",2,"[25, 39]",0.1336,1827.6626,2510000,344,1456
35,0.552500,1.646922,0.351673,"[4, 10, 15, 16, 17, 26, 35, 36, 38, 44]",1,[35],0.0661,1862.9739,2510000,344,1456
36,0.511000,1.739834,0.336930,"[0, 8, 14, 15, 16, 32, 36, 37, 43, 45]",0,[],0.1827,1547.8950,2510000,344,1456
37,0.591600,1.454987,0.301524,"[1, 5, 22, 24, 26, 33, 35, 37, 39, 41]",2,"[35, 39]",0.0658,1928.6936,2510000,344,1456
38,0.528800,1.731302,0.293367,"[1, 2, 4, 6, 16, 19, 23, 24, 35, 47]",2,"[23, 35]",0.0664,1636.5191,2510000,344,1456
39,0.572400,1.541327,0.284979,"[4, 8, 12, 14, 15, 23, 28, 33, 43, 45]",1,[23],0.0700,1930.7792,2510000,344,1456
40,0.584500,1.526063,0.260105,"[6, 8, 15, 20, 33, 35, 37, 39, 40, 47]",2,"[35, 39]",0.0643,3251.2118,2510000,344,1456
41,0.595900,1.480732,0.305340,"[6, 9, 18, 26, 30, 36, 37, 40, 48, 49]",0,[],0.0507,3637.1893,2510000,344,1456
42,0.558500,1.730616,0.289485,"[1, 5, 6, 7, 23, 27, 29, 36, 44, 49]",1,[23],0.0552,3162.6997,2510000,344,1456
43,0.571300,1.540930,0.369489,"[0, 5, 6, 19, 23, 26, 34, 45, 46, 49]",1,[23],0.0764,3211.5308,2510000,344,1456
