round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.136200,2.269858,1.578849,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",1,[42],0.0918,2775.8179,2510000,344,1456
2,0.241200,2.177016,1.383003,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[25, 35]",0.1135,1923.5250,2510000,344,1456
3,0.332300,2.006907,1.277871,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",0,[],0.1327,1387.8875,2510000,344,1456
4,0.389600,1.839093,1.076367,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",1,[42],0.4632,2819.8564,2510000,344,1456
5,0.411100,1.709877,1.021086,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",0,[],0.1014,2048.6936,2510000,344,1456
6,0.435200,1.587170,0.956458,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",0,[],0.0558,1954.3843,2510000,344,1456
7,0.463600,1.510864,0.916297,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[39],0.0575,1843.8294,2510000,344,1456
8,0.443900,1.502434,0.807741,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",1,[35],0.0905,1014.2924,2510000,344,1456
9,0.490800,1.412094,0.771540,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",1,[42],0.0575,1517.2491,2510000,344,1456
10,0.525300,1.344891,0.814743,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[25],0.0413,1461.9197,2510000,344,1456
11,0.520000,1.331210,0.714887,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",2,"[25, 42]",0.0637,1594.0379,2510000,344,1456
12,0.521600,1.362229,0.713194,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",0,[],0.0612,1597.5641,2510000,344,1456
13,0.527900,1.337970,0.585079,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",0,[],0.0563,2236.6025,2510000,344,1456
14,0.521100,1.380702,0.699777,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",2,"[23, 25]",0.0510,1248.4536,2510000,344,1456
15,0.559900,1.275113,0.571556,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",0,[],0.0519,1564.4892,2510000,344,1456
16,0.551400,1.299046,0.542916,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",2,"[23, 25]",0.0562,1907.5090,2510000,344,1456
17,0.532100,1.315462,0.525748,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",2,"[35, 39]",0.0543,2948.8036,2510000,344,1456
18,0.560100,1.300026,0.468168,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",0,[],0.0585,1643.3736,2510000,344,1456
19,0.303300,2.577315,0.428463,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",1,[25],0.2897,2475.2343,2510000,344,1456
20,0.505800,1.406742,0.634424,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",2,"[23, 42]",0.0648,3094.6350,2510000,344,1456
21,0.534100,1.370845,0.496009,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[23],0.0685,2953.5963,2510000,344,1456
22,0.549500,1.397869,0.386013,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",0,[],0.0679,2106.3498,2510000,344,1456
23,0.510600,1.602105,0.405955,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",1,[35],0.1534,1817.2219,2510000,344,1456
24,0.526600,1.546746,0.429022,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",1,[35],0.0659,2342.1649,2510000,344,1456
25,0.473700,1.633497,0.447509,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[42],0.1053,1838.4751,2510000,344,1456
26,0.565700,1.369818,0.355689,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",0,[],0.0579,2658.9671,2510000,344,1456
27,0.402200,1.869978,0.338452,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",1,[39],0.0573,2774.1429,2510000,344,1456
28,0.563200,1.382309,0.413824,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",0,[],0.0614,2557.9996,2510000,344,1456
29,0.554300,1.319350,0.455279,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[23, 35]",0.0593,3165.4239,2510000,344,1456
30,0.584200,1.350315,0.349122,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[39],0.0583,2021.2062,2510000,344,1456
31,0.431000,1.646782,0.432409,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",3,"[25, 35, 42]",0.0759,2462.8507,2510000,344,1456
32,0.526100,1.461747,0.395158,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[23],0.0715,2934.9445,2510000,344,1456
33,0.543600,1.549097,0.350143,"[2, 3, 5, 9, 12, 14, 26, 31, 33, 42]",1,[42],0.0563,2434.5832,2510000,344,1456
34,0.395400,1.784338,0.296691,"[10, 13, 16, 17, 19, 21, 25, 32, 39, 48]",2,"[25, 39]",0.0550,2289.8276,2510000,344,1456
35,0.553500,1.390112,0.421831,"[4, 10, 15, 16, 17, 26, 35, 36, 38, 44]",1,[35],0.0549,2187.7581,2510000,344,1456
36,0.526100,1.551584,0.338437,"[0, 8, 14, 15, 16, 32, 36, 37, 43, 45]",0,[],0.1079,2039.1877,2510000,344,1456
37,0.526000,1.505250,0.334391,"[1, 5, 22, 24, 26, 33, 35, 37, 39, 41]",2,"[35, 39]",0.1480,2419.8687,2510000,344,1456
38,0.517500,1.663181,0.371709,"[1, 2, 4, 6, 16, 19, 23, 24, 35, 47]",2,"[23, 35]",0.0931,1659.0929,2510000,344,1456
39,0.548000,1.360667,0.343309,"[4, 8, 12, 14, 15, 23, 28, 33, 43, 45]",1,[23],0.0664,1545.0321,2510000,344,1456
40,0.587700,1.402294,0.277638,"[6, 8, 15, 20, 33, 35, 37, 39, 40, 47]",2,"[35, 39]",0.0713,2029.7634,2510000,344,1456
41,0.565800,1.573106,0.322478,"[6, 9, 18, 26, 30, 36, 37, 40, 48, 49]",0,[],0.0771,2333.4318,2510000,344,1456
42,0.550400,1.460605,0.339693,"[1, 5, 6, 7, 23, 27, 29, 36, 44, 49]",1,[23],0.1603,1969.2845,2510000,344,1456
43,0.583000,1.347459,0.353616,"[0, 5, 6, 19, 23, 26, 34, 45, 46, 49]",1,[23],0.0906,2133.4603,2510000,344,1456
44,0.507700,1.669200,0.255285,"[2, 6, 16, 22, 27, 29, 30, 33, 39, 48]",1,[39],0.1220,2729.0146,2510000,344,1456
45,0.546600,1.509829,0.261875,"[6, 13, 17, 19, 29, 31, 32, 37, 42, 47]",1,[42],0.0564,2613.5882,2510000,344,1456
46,0.463600,1.638740,0.306667,"[3, 4, 7, 10, 11, 18, 22, 23, 39, 45]",2,"[23, 39]",0.0943,3301.0639,2510000,344,1456
47,0.586400,1.457521,0.216486,"[4, 5, 7, 8, 29, 30, 32, 39, 45, 46]",1,[39],0.0557,2603.2898,2510000,344,1456
48,0.331000,2.301466,0.282021,"[16, 22, 24, 25, 29, 38, 42, 44, 45, 47]",2,"[25, 42]",0.0877,3086.7020,2510000,344,1456
49,0.540900,1.437825,0.339959,"[4, 5, 6, 8, 20, 31, 35, 38, 43, 47]",1,[35],0.0713,2769.6721,2510000,344,1456
50,0.582600,1.441779,0.247337,"[8, 9, 10, 22, 32, 33, 35, 37, 39, 45]",2,"[35, 39]",0.0708,2305.3899,2510000,344,1456
51,0.377600,2.282506,0.260146,"[5, 9, 22, 25, 28, 29, 32, 36, 39, 46]",2,"[25, 39]",0.0688,2888.6118,2510000,344,1456
52,0.503200,1.520229,0.384106,"[1, 2, 5, 20, 23, 24, 30, 34, 35, 39]",3,"[23, 35, 39]",0.1259,3317.1459,2510000,344,1456
53,0.588500,1.364436,0.265019,"[4, 13, 18, 28, 32, 33, 41, 44, 46, 48]",0,[],0.0578,3497.4305,2510000,344,1456
54,0.537100,1.933956,0.272182,"[3, 11, 21, 28, 31, 32, 38, 40, 41, 49]",0,[],0.0825,2823.8242,2510000,344,1456
55,0.493800,1.759815,0.223323,"[6, 21, 26, 27, 29, 32, 33, 38, 39, 45]",1,[39],2.8803,2234.3440,2510000,344,1456
56,0.571500,1.608425,0.253993,"[3, 14, 15, 21, 27, 29, 32, 33, 44, 49]",0,[],0.0927,2349.2403,2510000,344,1456
57,0.410000,2.029816,0.232723,"[5, 6, 9, 20, 24, 27, 33, 34, 39, 40]",1,[39],0.1190,2053.1429,2510000,344,1456
58,0.583200,1.464778,0.237474,"[2, 4, 5, 10, 16, 21, 22, 29, 30, 32]",0,[],0.0881,1355.8629,2510000,344,1456
59,0.544500,1.535397,0.246840,"[7, 21, 23, 24, 27, 31, 33, 40, 43, 46]",1,[23],0.1953,2417.2618,2510000,344,1456
60,0.564400,1.811062,0.214550,"[7, 8, 16, 18, 21, 22, 25, 29, 42, 46]",2,"[25, 42]",0.1539,2888.3712,2510000,344,1456
