round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.138700,2.272459,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[8, 21, 26, 46]",0.0900,2445.8256,2510000,344,1456
2,0.199000,2.183864,1.373798,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[26, 35]",0.1030,2529.6949,2510000,344,1456
3,0.326400,2.013227,1.272573,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",3,"[8, 31, 38]",0.0813,2501.4835,2510000,344,1456
4,0.393900,1.830259,1.055197,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",0,[],0.0590,3055.2811,2510000,344,1456
5,0.413700,1.690830,1.008126,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",3,"[4, 26, 46]",0.0745,2772.6851,2510000,344,1456
6,0.432300,1.584650,0.941929,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",3,"[22, 32, 38]",0.0545,2612.9581,2510000,344,1456
7,0.458200,1.494789,0.896803,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[46],0.0772,2662.9222,2510000,344,1456
8,0.447500,1.500186,0.769166,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[4, 8, 35]",0.0693,1633.0289,2510000,344,1456
9,0.475500,1.428111,0.734080,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[4, 26]",0.0792,2637.1577,2510000,344,1456
10,0.514700,1.352039,0.770355,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[38],0.1042,2520.7197,2510000,344,1456
11,0.515500,1.360542,0.648686,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",1,[31],0.0621,2615.3747,2510000,344,1456
12,0.498500,1.394177,0.695837,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",2,"[38, 46]",0.0623,2705.3427,2510000,344,1456
