round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.294300,2.178399,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[8, 21, 26, 46]",0.0731,2888.8583,2510000,344,1456
2,0.199400,3.355157,1.152199,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[26, 35]",0.1112,2416.7137,2510000,344,1456
3,0.224100,2.413560,1.266628,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",3,"[8, 31, 38]",0.1067,2083.6786,2510000,344,1456
4,0.305400,2.979720,1.068880,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",0,[],0.0839,2972.4820,2510000,344,1456
5,0.274400,3.731233,1.059905,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",3,"[4, 26, 46]",0.4004,2510.2061,2510000,344,1456
6,0.299000,3.453081,1.092305,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",3,"[22, 32, 38]",0.0782,2591.3128,2510000,344,1456
7,0.334300,3.532060,1.103666,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[46],0.0660,3321.2368,2510000,344,1456
8,0.347800,4.619460,0.896551,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[4, 8, 35]",0.0692,1941.5120,2510000,344,1456
9,0.295800,3.422574,1.021040,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[4, 26]",0.0574,2978.8478,2510000,344,1456
10,0.224600,3.384287,1.078973,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[38],0.0630,3042.3155,2510000,344,1456
11,0.233200,5.113394,0.884960,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",1,[31],0.2152,3214.5609,2510000,344,1456
12,0.320100,3.619823,1.022831,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",2,"[38, 46]",0.0547,3147.3475,2510000,344,1456
13,0.385800,2.688018,0.968984,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",4,"[4, 8, 31, 46]",0.0559,3124.1081,2510000,344,1456
14,0.261800,4.680700,1.018091,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",3,"[4, 8, 38]",0.0527,2524.5452,2510000,344,1456
15,0.323300,2.584930,1.185202,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",3,"[8, 21, 38]",0.0850,2875.2092,2510000,344,1456
16,0.249600,3.959987,0.824774,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",0,[],0.0510,3480.3573,2510000,344,1456
17,0.248100,3.767058,0.922555,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",3,"[26, 32, 35]",0.0528,3002.1599,2510000,344,1456
18,0.294800,3.107066,0.947322,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",1,[22],0.0649,2690.9679,2510000,344,1456
19,0.236100,4.010710,0.810225,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",2,"[26, 32]",0.3051,2405.3959,2510000,344,1456
20,0.269300,2.857729,1.008286,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",1,[46],0.0968,2485.1924,2510000,344,1456
21,0.335300,3.686125,0.826556,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[32],0.0527,3187.5669,2510000,344,1456
22,0.299900,2.925463,0.932579,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",2,"[21, 32]",0.0554,3074.5057,2510000,344,1456
23,0.333700,4.362540,0.836024,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",4,"[8, 21, 22, 35]",0.1065,1938.3765,2510000,344,1456
24,0.332600,4.287284,0.878674,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",5,"[8, 22, 31, 35, 38]",0.0980,1865.8632,2510000,344,1456
25,0.304000,3.265114,0.931346,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[32],0.0557,3021.7275,2510000,344,1456
26,0.323200,3.489312,0.864722,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",4,"[21, 22, 32, 46]",0.0653,3528.9368,2510000,344,1456
27,0.270100,4.218831,0.822891,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",2,"[26, 38]",0.4820,3432.3790,2510000,344,1456
28,0.329800,4.025390,0.933869,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",1,[22],0.1210,2174.8361,2510000,344,1456
29,0.327000,3.679436,0.875626,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[32, 35]",0.0670,2789.4778,2510000,344,1456
30,0.329200,4.079709,0.768178,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[4],0.0602,2679.9892,2510000,344,1456
31,0.235800,4.350584,0.912200,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",1,[35],0.1210,2410.2977,2510000,344,1456
32,0.317700,3.605527,0.925443,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[22],0.0938,3238.9769,2510000,344,1456
33,0.272900,3.926514,0.919541,"[2, 3, 5, 9, 12, 14, 26, 31, 33, 42]",2,"[26, 31]",0.1257,2940.7236,2510000,344,1456
34,0.345700,3.574779,0.708513,"[10, 13, 16, 17, 19, 21, 25, 32, 39, 48]",2,"[21, 32]",0.0565,3134.1622,2510000,344,1456
35,0.384200,2.822790,1.028628,"[4, 10, 15, 16, 17, 26, 35, 36, 38, 44]",4,"[4, 26, 35, 38]",0.1065,3311.2330,2510000,344,1456
36,0.321600,3.302099,0.903683,"[0, 8, 14, 15, 16, 32, 36, 37, 43, 45]",2,"[8, 32]",0.1379,2721.5854,2510000,344,1456
37,0.287300,4.348293,0.874886,"[1, 5, 22, 24, 26, 33, 35, 37, 39, 41]",3,"[22, 26, 35]",0.0587,3329.4076,2510000,344,1456
38,0.356900,3.331462,0.900924,"[1, 2, 4, 6, 16, 19, 23, 24, 35, 47]",2,"[4, 35]",0.1285,2457.7846,2510000,344,1456
39,0.336400,4.101389,0.845954,"[4, 8, 12, 14, 15, 23, 28, 33, 43, 45]",2,"[4, 8]",0.0929,2460.9127,2510000,344,1456
40,0.302300,4.783122,0.817559,"[6, 8, 15, 20, 33, 35, 37, 39, 40, 47]",2,"[8, 35]",0.1884,3141.3771,2510000,344,1456
41,0.306900,3.068793,0.936897,"[6, 9, 18, 26, 30, 36, 37, 40, 48, 49]",1,[26],0.0601,3712.9436,2510000,344,1456
42,0.321200,3.319056,0.910524,"[1, 5, 6, 7, 23, 27, 29, 36, 44, 49]",0,[],0.0635,3410.3124,2510000,344,1456
43,0.342400,4.065349,0.937330,"[0, 5, 6, 19, 23, 26, 34, 45, 46, 49]",2,"[26, 46]",0.0830,2792.6393,2510000,344,1456
44,0.295300,4.816212,0.821531,"[2, 6, 16, 22, 27, 29, 30, 33, 39, 48]",1,[22],0.0960,2662.1078,2510000,344,1456
45,0.345300,4.115167,0.684088,"[6, 13, 17, 19, 29, 31, 32, 37, 42, 47]",2,"[31, 32]",0.1601,2768.6437,2510000,344,1456
46,0.290700,5.517349,0.750394,"[3, 4, 7, 10, 11, 18, 22, 23, 39, 45]",2,"[4, 22]",0.0891,3323.3611,2510000,344,1456
47,0.292900,6.114221,0.781362,"[4, 5, 7, 8, 29, 30, 32, 39, 45, 46]",4,"[4, 8, 32, 46]",0.1273,2365.3671,2510000,344,1456
48,0.257100,4.725680,0.897689,"[16, 22, 24, 25, 29, 38, 42, 44, 45, 47]",2,"[22, 38]",0.1168,2202.7404,2510000,344,1456
49,0.306000,3.537657,1.057509,"[4, 5, 6, 8, 20, 31, 35, 38, 43, 47]",5,"[4, 8, 31, 35, 38]",0.0684,2036.5897,2510000,344,1456
50,0.277900,4.886135,0.931495,"[8, 9, 10, 22, 32, 33, 35, 37, 39, 45]",4,"[8, 22, 32, 35]",0.0700,1795.4504,2510000,344,1456
