round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.258100,2.597568,1.578849,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",1,[42],0.0747,1442.9169,2510000,344,1456
2,0.211400,2.390497,1.312412,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[25, 35]",0.0616,1352.4547,2510000,344,1456
3,0.224400,2.355610,1.265569,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",0,[],0.0508,1255.9835,2510000,344,1456
4,0.287300,2.534729,1.167968,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",1,[42],0.0499,2410.2653,2510000,344,1456
5,0.258000,3.693880,1.066098,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",0,[],0.0867,1466.7065,2510000,344,1456
6,0.315400,2.914033,1.109183,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",0,[],0.1651,3020.6540,2510000,344,1456
7,0.288300,3.222347,1.072146,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[39],0.0671,2382.9159,2510000,344,1456
8,0.260800,3.292615,0.983943,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",1,[35],0.0712,1753.6368,2510000,344,1456
9,0.271300,3.382412,1.035914,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",1,[42],0.0561,2567.2203,2510000,344,1456
10,0.287300,2.562950,1.229254,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[25],0.0598,2140.9406,2510000,344,1456
11,0.323100,3.176851,0.968388,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",2,"[25, 42]",0.0780,2779.1755,2510000,344,1456
12,0.316300,3.095827,1.044338,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",0,[],0.0763,3348.5167,2510000,344,1456
13,0.251300,3.142499,0.970236,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",0,[],0.0782,2871.8316,2510000,344,1456
14,0.262200,3.925099,1.133569,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",2,"[23, 25]",0.0812,2601.7230,2510000,344,1456
15,0.272100,5.144937,0.981942,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",0,[],0.0593,3060.4099,2510000,344,1456
16,0.292100,3.575761,1.038064,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",2,"[23, 25]",0.0582,3755.4034,2510000,344,1456
17,0.281200,3.224507,1.070388,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",2,"[35, 39]",0.0577,3476.0241,2510000,344,1456
18,0.305100,3.070432,1.080093,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",0,[],0.0575,3483.8098,2510000,344,1456
19,0.291700,3.238946,1.040706,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",1,[25],0.0722,3101.0723,2510000,344,1456
20,0.275500,2.624265,1.240450,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",2,"[23, 42]",0.1010,2439.8503,2510000,344,1456
21,0.309400,3.292133,0.918504,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[23],0.0800,2839.7556,2510000,344,1456
22,0.313000,4.445850,0.923436,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",0,[],0.0627,2247.5204,2510000,344,1456
23,0.295800,2.917114,0.982806,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",1,[35],0.1866,1698.9776,2510000,344,1456
24,0.289800,4.289776,0.847623,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",1,[35],0.1323,1519.6786,2510000,344,1456
25,0.318800,4.267847,1.009855,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[42],0.0989,1994.7620,2510000,344,1456
26,0.317700,5.580507,0.912513,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",0,[],0.0547,2415.0052,2510000,344,1456
27,0.328600,3.362136,1.005345,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",1,[39],0.1455,2525.0239,2510000,344,1456
28,0.349800,3.298500,1.054673,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",0,[],0.0731,2515.9688,2510000,344,1456
29,0.328700,3.332123,0.964278,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[23, 35]",0.0538,3026.8248,2510000,344,1456
30,0.303400,2.903553,0.923740,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[39],0.1166,2022.9828,2510000,344,1456
31,0.186500,4.575130,1.030001,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",3,"[25, 35, 42]",0.0748,1756.0824,2510000,344,1456
32,0.323100,3.469243,1.127072,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[23],0.0659,1977.5107,2510000,344,1456
33,0.274900,3.876707,1.090074,"[2, 3, 5, 9, 12, 14, 26, 31, 33, 42]",1,[42],0.1331,2360.8850,2510000,344,1456
34,0.319800,3.163226,0.978318,"[10, 13, 16, 17, 19, 21, 25, 32, 39, 48]",2,"[25, 39]",0.2037,3147.9495,2510000,344,1456
35,0.289700,3.120531,1.098915,"[4, 10, 15, 16, 17, 26, 35, 36, 38, 44]",1,[35],0.0997,2715.3357,2510000,344,1456
36,0.265900,2.636472,1.032266,"[0, 8, 14, 15, 16, 32, 36, 37, 43, 45]",0,[],0.1700,1674.8127,2510000,344,1456
37,0.346600,3.472210,0.966027,"[1, 5, 22, 24, 26, 33, 35, 37, 39, 41]",2,"[35, 39]",0.2073,2084.9355,2510000,344,1456
38,0.279400,4.692134,0.995604,"[1, 2, 4, 6, 16, 19, 23, 24, 35, 47]",2,"[23, 35]",0.1242,1978.8547,2510000,344,1456
39,0.299100,2.944773,1.115705,"[4, 8, 12, 14, 15, 23, 28, 33, 43, 45]",1,[23],0.2963,1712.0476,2510000,344,1456
40,0.294400,3.812744,0.870889,"[6, 8, 15, 20, 33, 35, 37, 39, 40, 47]",2,"[35, 39]",0.2143,1841.0201,2510000,344,1456
