round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.098200,2.374380,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[8, 21, 26, 46]",0.0706,3143.4500,2510000,344,1456
2,0.148400,2.560905,1.555409,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[26, 35]",0.0922,2621.5838,2510000,344,1456
3,0.158600,2.706927,1.481879,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",3,"[8, 31, 38]",0.1047,2375.1867,2510000,344,1456
4,0.307000,2.470122,1.394549,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",0,[],0.1631,3776.7613,2510000,344,1456
5,0.360600,1.998027,1.215040,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",3,"[4, 26, 46]",0.1207,3068.3884,2510000,344,1456
6,0.264900,2.611931,1.069176,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",3,"[22, 32, 38]",0.0663,3393.0901,2510000,344,1456
7,0.264700,3.101916,1.127576,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[46],0.0952,3417.0176,2510000,344,1456
8,0.314700,4.418858,1.036490,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[4, 8, 35]",0.1114,2092.2064,2510000,344,1456
9,0.278900,3.012479,1.130693,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[4, 26]",0.0754,3188.2555,2510000,344,1456
10,0.243800,3.534622,1.201307,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[38],0.1306,2995.9555,2510000,344,1456
11,0.238600,5.327378,1.008139,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",1,[31],0.1375,3093.7109,2510000,344,1456
12,0.298100,3.373293,1.166321,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",2,"[38, 46]",0.0829,2781.4916,2510000,344,1456
13,0.102600,55.949787,1.075735,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",4,"[4, 8, 31, 46]",0.0912,2427.4746,2510000,344,1456
14,0.227600,2.340539,2.303991,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",3,"[4, 8, 38]",0.0803,2214.2553,2510000,344,1456
15,0.262400,2.836713,1.417841,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",3,"[8, 21, 38]",0.0649,2856.1666,2510000,344,1456
16,0.188100,3.774954,1.125081,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",0,[],0.1075,3309.3073,2510000,344,1456
17,0.301800,2.102082,1.305237,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",3,"[26, 32, 35]",0.0941,3009.4075,2510000,344,1456
18,0.278700,2.740821,1.085459,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",1,[22],0.0684,3240.6316,2510000,344,1456
19,0.208300,3.992557,1.057794,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",2,"[26, 32]",0.1675,2468.6173,2510000,344,1456
20,0.329700,2.305551,1.240133,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",1,[46],0.0976,2632.7989,2510000,344,1456
21,0.291300,3.203192,1.076411,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[32],0.1445,3099.6253,2510000,344,1456
22,0.232100,2.738884,1.129100,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",2,"[21, 32]",0.0762,2867.6438,2510000,344,1456
23,0.108700,15.950065,1.132619,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",4,"[8, 21, 22, 35]",0.3521,1804.5018,2510000,344,1456
24,0.202000,2.897616,1.720874,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",5,"[8, 22, 31, 35, 38]",0.0813,2240.1668,2510000,344,1456
25,0.228500,3.453603,1.209861,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[32],0.1499,2439.3988,2510000,344,1456
26,0.241400,3.537535,1.164920,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",4,"[21, 22, 32, 46]",0.1125,2684.2579,2510000,344,1456
27,0.296100,2.680077,1.101384,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",2,"[26, 38]",0.0659,2975.5897,2510000,344,1456
28,0.296000,3.272598,1.162077,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",1,[22],0.0649,2931.4853,2510000,344,1456
29,0.247700,2.807682,1.071279,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[32, 35]",0.1208,3679.6391,2510000,344,1456
30,0.299300,3.609189,1.076076,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[4],0.0632,2780.2516,2510000,344,1456
31,0.210300,3.612395,1.175638,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",1,[35],0.1089,2847.9396,2510000,344,1456
32,0.328500,2.113955,1.173187,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[22],0.0746,3186.2195,2510000,344,1456
33,0.244400,3.058080,1.042706,"[2, 3, 5, 9, 12, 14, 26, 31, 33, 42]",2,"[26, 31]",0.0703,2670.8884,2510000,344,1456
34,0.244400,4.019313,0.983421,"[10, 13, 16, 17, 19, 21, 25, 32, 39, 48]",2,"[21, 32]",0.0717,2955.0179,2510000,344,1456
35,0.107700,55.256283,1.249668,"[4, 10, 15, 16, 17, 26, 35, 36, 38, 44]",4,"[4, 26, 35, 38]",0.2213,3151.5718,2510000,344,1456
36,0.163400,3.959064,2.377931,"[0, 8, 14, 15, 16, 32, 36, 37, 43, 45]",2,"[8, 32]",0.0690,2182.8070,2510000,344,1456
37,0.135400,3.951015,1.644214,"[1, 5, 22, 24, 26, 33, 35, 37, 39, 41]",3,"[22, 26, 35]",0.0786,2754.9383,2510000,344,1456
38,0.201700,2.860262,1.589007,"[1, 2, 4, 6, 16, 19, 23, 24, 35, 47]",2,"[4, 35]",0.0776,2893.6263,2510000,344,1456
39,0.174000,3.500976,1.531401,"[4, 8, 12, 14, 15, 23, 28, 33, 43, 45]",2,"[4, 8]",0.0680,3004.3001,2510000,344,1456
40,0.249800,2.207422,1.416604,"[6, 8, 15, 20, 33, 35, 37, 39, 40, 47]",2,"[8, 35]",0.0641,2782.0191,2510000,344,1456
