round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.297100,2.002814,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",1,[42],0.0849,3012.3279,2510000,344,1456
2,0.269100,2.177420,1.140433,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[25, 35]",0.0983,2663.8850,2510000,344,1456
3,0.382600,1.677208,0.979638,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",0,[],0.2476,2602.5409,2510000,344,1456
4,0.445900,1.603370,0.803190,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",1,[42],0.0644,3551.9790,2510000,344,1456
5,0.453100,1.580834,0.749253,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",0,[],0.0707,3472.5458,2510000,344,1456
6,0.481300,1.563690,0.657277,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",0,[],0.0684,3072.5240,2510000,344,1456
7,0.489900,1.524596,0.654822,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[39],0.1861,3286.6976,2510000,344,1456
8,0.431900,2.011092,0.497430,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",1,[35],0.1288,2092.3276,2510000,344,1456
9,0.526500,1.527531,0.529680,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",1,[42],0.0611,3219.9948,2510000,344,1456
10,0.534500,1.573875,0.526849,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[25],0.0699,2999.8313,2510000,344,1456
11,0.411800,2.525896,0.454402,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",2,"[25, 42]",0.0650,3275.4305,2510000,344,1456
12,0.481900,1.604379,0.725878,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",0,[],0.0646,3243.6729,2510000,344,1456
13,0.487700,1.684947,0.516920,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",0,[],0.0792,3085.5419,2510000,344,1456
14,0.422300,2.438530,0.552386,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",2,"[23, 25]",0.0734,2566.2101,2510000,344,1456
15,0.494800,1.631429,0.713617,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",0,[],0.0582,3250.1001,2510000,344,1456
16,0.396100,2.526985,0.514543,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",2,"[23, 25]",0.0652,4077.4278,2510000,344,1456
17,0.423000,2.354663,0.646467,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",2,"[35, 39]",0.0613,3734.3655,2510000,344,1456
18,0.456400,1.741911,0.744138,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",0,[],0.0666,3684.5401,2510000,344,1456
19,0.479300,1.861294,0.582888,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",1,[25],0.0772,3059.5437,2510000,344,1456
20,0.453500,2.068387,0.694364,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",2,"[23, 42]",0.0701,3013.4719,2510000,344,1456
21,0.477600,1.806607,0.721929,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[23],0.1552,3599.3691,2510000,344,1456
22,0.497200,1.760925,0.572212,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",0,[],0.0806,3462.8243,2510000,344,1456
23,0.502800,1.806444,0.524542,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",1,[35],0.0985,1931.7060,2510000,344,1456
24,0.516800,1.729216,0.525605,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",1,[35],0.0889,1819.1157,2510000,344,1456
25,0.537200,1.609244,0.595604,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[42],0.0685,2584.2000,2510000,344,1456
26,0.544100,1.636026,0.498635,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",0,[],0.0735,3008.2440,2510000,344,1456
27,0.546600,1.659551,0.481154,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",1,[39],0.2141,3174.5204,2510000,344,1456
28,0.543900,1.684896,0.541817,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",0,[],0.0743,2324.8275,2510000,344,1456
29,0.438300,2.295377,0.530104,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[23, 35]",0.0805,3232.7715,2510000,344,1456
30,0.494700,1.776394,0.635381,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[39],0.8070,2305.6823,2510000,344,1456
31,0.299000,4.099254,0.750973,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",3,"[25, 35, 42]",0.1006,1929.8554,2510000,344,1456
32,0.406300,1.916029,0.984270,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[23],0.1862,2409.1041,2510000,344,1456
33,0.465300,1.740686,0.804209,"[2, 3, 5, 9, 12, 14, 26, 31, 33, 42]",1,[42],0.0727,1999.9420,2510000,344,1456
34,0.446300,1.908804,0.625072,"[10, 13, 16, 17, 19, 21, 25, 32, 39, 48]",2,"[25, 39]",0.0745,2459.8172,2510000,344,1456
35,0.460200,1.828518,0.826948,"[4, 10, 15, 16, 17, 26, 35, 36, 38, 44]",1,[35],0.1797,2307.9841,2510000,344,1456
36,0.493600,1.694822,0.717807,"[0, 8, 14, 15, 16, 32, 36, 37, 43, 45]",0,[],0.1278,1896.8810,2510000,344,1456
37,0.465100,2.060287,0.658081,"[1, 5, 22, 24, 26, 33, 35, 37, 39, 41]",2,"[35, 39]",0.2085,1981.6524,2510000,344,1456
38,0.447800,2.077662,0.727020,"[1, 2, 4, 6, 16, 19, 23, 24, 35, 47]",2,"[23, 35]",0.1488,1825.5387,2510000,344,1456
39,0.420600,1.908667,0.890043,"[4, 8, 12, 14, 15, 23, 28, 33, 43, 45]",1,[23],0.1007,1710.2311,2510000,344,1456
40,0.448000,1.869165,0.656492,"[6, 8, 15, 20, 33, 35, 37, 39, 40, 47]",2,"[35, 39]",0.3770,1913.8762,2510000,344,1456
41,0.505700,1.597490,0.824722,"[6, 9, 18, 26, 30, 36, 37, 40, 48, 49]",0,[],0.0634,2299.4658,2510000,344,1456
42,0.488600,1.746845,0.759566,"[1, 5, 6, 7, 23, 27, 29, 36, 44, 49]",1,[23],0.4190,2032.0746,2510000,344,1456
43,0.513100,1.578749,0.803902,"[0, 5, 6, 19, 23, 26, 34, 45, 46, 49]",1,[23],0.1647,2247.3210,2510000,344,1456
44,0.509200,1.703433,0.636995,"[2, 6, 16, 22, 27, 29, 30, 33, 39, 48]",1,[39],0.1154,2128.6121,2510000,344,1456
45,0.531800,1.603014,0.530356,"[6, 13, 17, 19, 29, 31, 32, 37, 42, 47]",1,[42],0.1413,2474.8634,2510000,344,1456
46,0.446700,1.909698,0.603508,"[3, 4, 7, 10, 11, 18, 22, 23, 39, 45]",2,"[23, 39]",0.1037,3433.4136,2510000,344,1456
47,0.487300,1.662343,0.644599,"[4, 5, 7, 8, 29, 30, 32, 39, 45, 46]",1,[39],0.0947,2462.4344,2510000,344,1456
48,0.445900,2.071506,0.622356,"[16, 22, 24, 25, 29, 38, 42, 44, 45, 47]",2,"[25, 42]",0.1025,2584.0483,2510000,344,1456
49,0.479200,1.738851,0.708807,"[4, 5, 6, 8, 20, 31, 35, 38, 43, 47]",1,[35],0.1115,2074.9685,2510000,344,1456
50,0.441000,2.210008,0.550662,"[8, 9, 10, 22, 32, 33, 35, 37, 39, 45]",2,"[35, 39]",0.0566,2024.0323,2510000,344,1456
51,0.456200,2.068998,0.735949,"[5, 9, 22, 25, 28, 29, 32, 36, 39, 46]",2,"[25, 39]",0.2629,2497.0548,2510000,344,1456
52,0.342000,2.622842,0.755359,"[1, 2, 5, 20, 23, 24, 30, 34, 35, 39]",3,"[23, 35, 39]",0.0856,3143.5189,2510000,344,1456
53,0.452200,1.726934,0.981463,"[4, 13, 18, 28, 32, 33, 41, 44, 46, 48]",0,[],0.2336,3389.4120,2510000,344,1456
54,0.505500,1.562161,0.851252,"[3, 11, 21, 28, 31, 32, 38, 40, 41, 49]",0,[],0.1178,2383.4087,2510000,344,1456
55,0.505400,1.679151,0.666080,"[6, 21, 26, 27, 29, 32, 33, 38, 39, 45]",1,[39],0.1681,2562.5458,2510000,344,1456
56,0.520000,1.576492,0.728785,"[3, 14, 15, 21, 27, 29, 32, 33, 44, 49]",0,[],0.0552,2106.0281,2510000,344,1456
57,0.518400,1.550785,0.698676,"[5, 6, 9, 20, 24, 27, 33, 34, 39, 40]",1,[39],0.0762,2954.1432,2510000,344,1456
58,0.529600,1.544446,0.650737,"[2, 4, 5, 10, 16, 21, 22, 29, 30, 32]",0,[],0.0807,2852.7689,2510000,344,1456
59,0.526100,1.543358,0.693478,"[7, 21, 23, 24, 27, 31, 33, 40, 43, 46]",1,[23],0.1095,2836.5305,2510000,344,1456
60,0.448900,2.051936,0.644632,"[7, 8, 16, 18, 21, 22, 25, 29, 42, 46]",2,"[25, 42]",0.0608,1488.4445,2510000,344,1456
