round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.225500,2.114300,1.580690,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[8, 21, 26, 46]",0.0710,3039.3758,2510000,344,1456
2,0.228000,1.986534,1.191822,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[26, 35]",0.1230,2892.1958,2510000,344,1456
3,0.312900,1.754061,1.044181,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",3,"[8, 31, 38]",0.0796,2576.8040,2510000,344,1456
4,0.414100,1.671934,0.819973,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",0,[],0.1213,3509.9464,2510000,344,1456
5,0.369200,1.856962,0.825027,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",3,"[4, 26, 46]",0.1371,3096.3279,2510000,344,1456
6,0.349900,1.866820,0.788451,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",3,"[22, 32, 38]",0.0632,3113.2210,2510000,344,1456
7,0.428100,1.727379,0.670347,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[46],0.1244,3404.4104,2510000,344,1456
8,0.318300,2.025693,0.643460,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[4, 8, 35]",0.1233,1930.5246,2510000,344,1456
9,0.468700,1.591176,0.593340,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[4, 26]",0.0653,3086.4296,2510000,344,1456
10,0.528200,1.396035,0.556628,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[38],0.0740,2838.8118,2510000,344,1456
11,0.516800,1.474377,0.444205,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",1,[31],0.0562,3099.3547,2510000,344,1456
12,0.457300,1.547828,0.569497,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",2,"[38, 46]",0.0907,2853.3187,2510000,344,1456
13,0.385600,1.738892,0.548521,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",4,"[4, 8, 31, 46]",0.0838,2947.4007,2510000,344,1456
14,0.434400,1.722743,0.546027,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",3,"[4, 8, 38]",0.0573,2256.0410,2510000,344,1456
15,0.466200,1.592727,0.507376,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",3,"[8, 21, 38]",0.0704,2711.8895,2510000,344,1456
16,0.517900,1.679709,0.351904,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",0,[],0.1531,3369.7792,2510000,344,1456
17,0.440200,1.632944,0.458426,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",3,"[26, 32, 35]",0.0723,3013.8037,2510000,344,1456
18,0.554400,1.418379,0.395247,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",1,[22],0.0565,3146.2699,2510000,344,1456
19,0.483800,1.599587,0.380156,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",2,"[26, 32]",0.0870,2555.8405,2510000,344,1456
20,0.547000,1.490444,0.440062,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",1,[46],0.1581,2621.5012,2510000,344,1456
