round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.223400,2.251447,1.588150,"[6, 8, 9, 14, 21, 26, 28, 29, 42, 46]",4,"[8, 21, 26, 46]",0.0709,2696.0037,2510000,344,1456
2,0.193900,2.137402,1.330700,"[0, 2, 14, 25, 26, 29, 33, 35, 36, 48]",2,"[26, 35]",0.0742,2484.3412,2510000,344,1456
3,0.363500,1.844421,1.168949,"[2, 7, 8, 9, 10, 30, 31, 37, 38, 41]",3,"[8, 31, 38]",0.1085,2295.9628,2510000,344,1456
4,0.410700,1.642956,0.943116,"[13, 14, 15, 17, 19, 37, 41, 42, 44, 49]",0,[],0.1125,3504.1499,2510000,344,1456
5,0.413800,1.673939,0.819056,"[2, 4, 7, 26, 27, 28, 29, 43, 45, 46]",3,"[4, 26, 46]",0.0788,3134.1519,2510000,344,1456
6,0.410900,1.715328,0.752036,"[6, 13, 20, 22, 28, 32, 33, 38, 44, 45]",3,"[22, 32, 38]",0.1447,3075.2533,2510000,344,1456
7,0.421400,1.899203,0.733203,"[5, 9, 10, 13, 15, 19, 28, 36, 39, 46]",1,[46],0.0533,3225.2227,2510000,344,1456
8,0.442700,1.773149,0.623152,"[1, 2, 4, 8, 15, 19, 33, 35, 36, 45]",3,"[4, 8, 35]",0.0571,2313.0096,2510000,344,1456
9,0.410500,2.083325,0.607306,"[1, 4, 6, 7, 10, 14, 26, 37, 42, 48]",2,"[4, 26]",0.0651,2781.5352,2510000,344,1456
10,0.508600,1.502546,0.631242,"[3, 6, 10, 17, 25, 27, 34, 36, 38, 44]",1,[38],0.1170,3240.8331,2510000,344,1456
11,0.483400,1.705887,0.471361,"[11, 14, 17, 24, 25, 27, 31, 36, 42, 44]",1,[31],0.0575,3466.4076,2510000,344,1456
12,0.470900,1.895505,0.559113,"[2, 6, 11, 19, 27, 33, 34, 37, 38, 46]",2,"[38, 46]",0.0681,3290.7873,2510000,344,1456
13,0.488900,1.770936,0.519954,"[4, 7, 8, 10, 14, 31, 34, 44, 46, 47]",4,"[4, 8, 31, 46]",0.2175,3359.5097,2510000,344,1456
14,0.507900,1.754382,0.621640,"[0, 4, 8, 12, 14, 23, 25, 33, 38, 41]",3,"[4, 8, 38]",0.0949,2516.6692,2510000,344,1456
15,0.510200,1.856635,0.545857,"[5, 8, 14, 16, 20, 21, 38, 40, 44, 48]",3,"[8, 21, 38]",0.0658,2896.2659,2510000,344,1456
16,0.476700,1.822348,0.401871,"[7, 11, 14, 17, 19, 20, 23, 24, 25, 47]",0,[],0.0552,3498.9602,2510000,344,1456
17,0.475000,1.927857,0.402165,"[6, 17, 24, 26, 32, 34, 35, 37, 39, 44]",3,"[26, 32, 35]",0.0586,2824.5402,2510000,344,1456
18,0.539500,1.633717,0.378168,"[0, 1, 5, 6, 13, 18, 22, 29, 40, 44]",1,[22],0.2395,2635.3499,2510000,344,1456
19,0.538800,1.728977,0.357928,"[1, 6, 13, 20, 24, 25, 26, 32, 33, 47]",2,"[26, 32]",0.0536,2374.2752,2510000,344,1456
20,0.542500,1.719695,0.441110,"[9, 12, 23, 27, 30, 37, 40, 42, 46, 48]",1,[46],0.0646,2441.3637,2510000,344,1456
21,0.552600,1.674649,0.375014,"[14, 17, 18, 19, 23, 28, 30, 32, 34, 48]",1,[32],0.0733,2960.0799,2510000,344,1456
22,0.543300,1.800512,0.345049,"[17, 20, 21, 24, 29, 30, 32, 36, 37, 44]",2,"[21, 32]",0.0665,2667.4109,2510000,344,1456
23,0.522300,2.124708,0.379025,"[1, 8, 19, 21, 22, 33, 35, 37, 40, 44]",4,"[8, 21, 22, 35]",0.0904,2019.1511,2510000,344,1456
24,0.323200,6.845131,0.532450,"[8, 22, 30, 31, 33, 35, 38, 40, 45, 49]",5,"[8, 22, 31, 35, 38]",0.0916,2347.3119,2510000,344,1456
25,0.492000,1.661769,0.682688,"[0, 13, 15, 16, 29, 30, 32, 36, 42, 49]",1,[32],0.0655,3203.0299,2510000,344,1456
26,0.436100,2.531420,0.466639,"[12, 13, 21, 22, 28, 32, 40, 44, 46, 48]",4,"[21, 22, 32, 46]",0.0774,3517.1430,2510000,344,1456
27,0.515900,2.000500,0.410217,"[1, 6, 7, 20, 26, 29, 38, 39, 40, 49]",2,"[26, 38]",0.0972,3116.9098,2510000,344,1456
28,0.543400,1.706820,0.427392,"[3, 6, 9, 10, 12, 15, 19, 22, 40, 41]",1,[22],0.0830,2234.1429,2510000,344,1456
29,0.549000,1.654383,0.418571,"[3, 7, 13, 16, 20, 23, 32, 34, 35, 45]",2,"[32, 35]",0.0549,3273.8838,2510000,344,1456
30,0.560600,1.722025,0.321251,"[4, 5, 10, 14, 15, 19, 30, 36, 37, 39]",1,[4],0.0707,2065.2518,2510000,344,1456
31,0.509900,2.025463,0.336993,"[1, 5, 10, 12, 25, 28, 33, 35, 42, 45]",1,[35],0.0562,2057.6691,2510000,344,1456
32,0.532400,1.822896,0.315597,"[2, 6, 13, 22, 23, 29, 34, 40, 44, 45]",1,[22],0.0697,2479.1758,2510000,344,1456
33,0.545400,1.856157,0.351985,"[2, 3, 5, 9, 12, 14, 26, 31, 33, 42]",2,"[26, 31]",0.1526,2531.5109,2510000,344,1456
34,0.536000,2.054720,0.319185,"[10, 13, 16, 17, 19, 21, 25, 32, 39, 48]",2,"[21, 32]",0.0697,3375.4342,2510000,344,1456
35,0.541800,2.244151,0.469865,"[4, 10, 15, 16, 17, 26, 35, 36, 38, 44]",4,"[4, 26, 35, 38]",0.2178,3055.5439,2510000,344,1456
36,0.532100,2.176883,0.450333,"[0, 8, 14, 15, 16, 32, 36, 37, 43, 45]",2,"[8, 32]",0.0664,2199.8066,2510000,344,1456
37,0.524300,2.536043,0.459863,"[1, 5, 22, 24, 26, 33, 35, 37, 39, 41]",3,"[22, 26, 35]",0.0625,2935.6484,2510000,344,1456
38,0.544500,2.125786,0.410243,"[1, 2, 4, 6, 16, 19, 23, 24, 35, 47]",2,"[4, 35]",0.0945,2880.1960,2510000,344,1456
39,0.546800,2.251722,0.385935,"[4, 8, 12, 14, 15, 23, 28, 33, 43, 45]",2,"[4, 8]",0.1266,2230.6375,2510000,344,1456
40,0.553900,2.264647,0.368460,"[6, 8, 15, 20, 33, 35, 37, 39, 40, 47]",2,"[8, 35]",0.0943,2281.7143,2510000,344,1456
41,0.548500,1.983545,0.382012,"[6, 9, 18, 26, 30, 36, 37, 40, 48, 49]",1,[26],0.1081,2873.4282,2510000,344,1456
42,0.558600,1.848740,0.258011,"[1, 5, 6, 7, 23, 27, 29, 36, 44, 49]",0,[],0.0663,2947.6765,2510000,344,1456
43,0.553500,2.092746,0.426830,"[0, 5, 6, 19, 23, 26, 34, 45, 46, 49]",2,"[26, 46]",0.0829,2674.7079,2510000,344,1456
44,0.547900,2.010899,0.292745,"[2, 6, 16, 22, 27, 29, 30, 33, 39, 48]",1,[22],0.0562,2638.1073,2510000,344,1456
45,0.569200,1.916068,0.278662,"[6, 13, 17, 19, 29, 31, 32, 37, 42, 47]",2,"[31, 32]",0.0546,2985.7222,2510000,344,1456
46,0.542600,2.226989,0.361360,"[3, 4, 7, 10, 11, 18, 22, 23, 39, 45]",2,"[4, 22]",0.0593,3742.6031,2510000,344,1456
47,0.534500,3.108207,0.449089,"[4, 5, 7, 8, 29, 30, 32, 39, 45, 46]",4,"[4, 8, 32, 46]",0.1011,2991.7744,2510000,344,1456
48,0.533200,2.290767,0.427727,"[16, 22, 24, 25, 29, 38, 42, 44, 45, 47]",2,"[22, 38]",0.0750,2945.5821,2510000,344,1456
