round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.112800,3.483269,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",4,"[8, 21, 31, 32]",0.3564,3161.3958,2510000,4856,12339
2,0.298500,1.905409,1.318453,"[3, 6, 8, 14, 26, 32, 34, 37, 43, 49]",3,"[8, 26, 32]",2.7784,2082.3579,2510000,5096,10184
3,0.349700,1.707331,1.018899,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",2,"[8, 22]",0.8060,4133.1265,2510000,5216,9443
4,0.421000,1.663842,0.832958,"[0, 10, 14, 16, 17, 18, 24, 36, 44, 47]",0,[],0.9345,5641.3030,2510000,5408,9659
5,0.400900,1.776193,0.800059,"[1, 2, 7, 11, 16, 28, 33, 34, 45, 49]",0,[],1.1465,4940.6466,2510000,5552,9515
6,0.470200,1.563292,0.775241,"[6, 7, 14, 15, 17, 22, 23, 33, 34, 37]",1,[22],0.9108,4280.4003,2510000,5648,9371
7,0.475400,1.667935,0.636373,"[7, 14, 18, 20, 37, 38, 40, 41, 45, 46]",2,"[38, 46]",2.8353,3801.9256,2510000,5672,9155
8,0.460200,1.770000,0.613252,"[2, 4, 7, 18, 20, 28, 34, 36, 37, 49]",1,[4],1.5855,3612.5500,2510000,5792,9443
9,0.477100,1.792728,0.593192,"[1, 6, 11, 13, 15, 28, 30, 39, 41, 43]",0,[],1.8729,4062.4456,2510000,5816,9155
10,0.468300,1.767790,0.586414,"[9, 11, 12, 15, 24, 30, 36, 42, 44, 47]",0,[],2.7252,3894.3024,2510000,5864,9422
11,0.502900,1.734341,0.545095,"[10, 16, 24, 28, 30, 35, 36, 37, 38, 42]",2,"[35, 38]",1.1098,4183.3713,2510000,5888,9155
12,0.511000,1.689671,0.585340,"[3, 6, 12, 14, 23, 36, 40, 46, 47, 49]",1,[46],1.0702,4888.6674,2510000,5912,9155
13,0.497400,1.752065,0.460787,"[4, 7, 9, 10, 13, 20, 37, 41, 44, 49]",1,[4],6.2107,4528.4789,2510000,5912,9243
14,0.516800,1.666469,0.543536,"[0, 3, 5, 7, 9, 11, 23, 26, 33, 37]",1,[26],2.6350,4977.5559,2510000,5912,9083
15,0.502600,1.846868,0.393742,"[7, 15, 20, 24, 30, 32, 36, 41, 45, 47]",1,[32],2.2278,3676.6163,2510000,5936,9350
16,0.545100,1.651235,0.397904,"[1, 6, 7, 12, 16, 19, 24, 30, 41, 47]",0,[],4.2297,2077.7258,2510000,5936,9083
17,0.535800,1.795781,0.402813,"[0, 1, 8, 9, 24, 27, 37, 40, 41, 45]",1,[8],0.7829,2975.4659,2510000,5960,9350
18,0.505700,1.776654,0.392632,"[4, 6, 13, 19, 24, 31, 36, 39, 44, 45]",2,"[4, 31]",1.1263,3842.3022,2510000,5984,9299
19,0.538700,1.701034,0.341716,"[0, 7, 14, 18, 19, 23, 24, 37, 38, 39]",1,[38],0.8368,5750.9340,2510000,5984,9083
20,0.517100,1.848659,0.373527,"[4, 5, 7, 10, 13, 22, 30, 41, 43, 47]",2,"[4, 22]",2.8391,4219.1210,2510000,5984,9083
21,0.511600,1.886020,0.405758,"[3, 5, 14, 19, 24, 25, 33, 36, 47, 48]",0,[],1.1415,4632.3840,2510000,5984,9083
22,0.528300,1.779772,0.359374,"[9, 14, 23, 29, 30, 33, 37, 44, 47, 48]",0,[],2.0522,4485.7301,2510000,6032,9422
23,0.508300,1.765961,0.438743,"[6, 8, 15, 18, 19, 23, 34, 38, 45, 47]",2,"[8, 38]",1.8071,3901.0685,2510000,6056,9155
24,0.549700,1.720099,0.344103,"[3, 15, 19, 24, 31, 32, 35, 41, 42, 44]",3,"[31, 32, 35]",1.5612,4373.1086,2510000,6056,9083
25,0.545300,1.822552,0.277953,"[0, 13, 14, 24, 25, 27, 35, 37, 39, 47]",1,[35],1.2799,5158.0437,2510000,6056,9227
26,0.531700,1.960694,0.339874,"[12, 15, 20, 23, 24, 25, 33, 41, 47, 49]",0,[],0.8657,3611.2716,2510000,6056,9083
27,0.509000,1.974583,0.357957,"[5, 6, 16, 17, 19, 32, 33, 44, 45, 47]",1,[32],1.8000,3224.1185,2510000,6056,9083
28,0.542300,1.796815,0.312170,"[0, 3, 9, 10, 23, 25, 41, 44, 45, 47]",0,[],1.5328,3706.2766,2510000,6056,9278
29,0.552300,1.827938,0.256614,"[6, 10, 13, 14, 19, 21, 25, 30, 37, 41]",1,[21],0.9492,4066.2200,2510000,6056,9083
30,0.509200,2.108125,0.265420,"[2, 3, 13, 15, 30, 36, 39, 40, 44, 47]",0,[],1.9979,4482.5044,2510000,6056,9278
31,0.533900,1.920046,0.306293,"[0, 3, 11, 14, 39, 41, 44, 45, 47, 48]",0,[],1.0106,4390.5910,2510000,6056,9227
32,0.564000,1.681578,0.409541,"[1, 6, 9, 13, 23, 26, 27, 28, 35, 37]",2,"[26, 35]",2.0266,3552.5593,2510000,6056,9083
33,0.516900,2.037576,0.305788,"[2, 9, 11, 13, 14, 16, 18, 30, 33, 47]",0,[],1.3851,2950.3050,2510000,6056,9083
34,0.543000,1.913421,0.327580,"[10, 12, 14, 15, 23, 24, 33, 37, 39, 46]",1,[46],1.2243,2616.5938,2510000,6056,9083
35,0.553700,1.766187,0.327678,"[5, 6, 9, 10, 12, 14, 29, 31, 40, 44]",1,[31],1.0055,2636.4229,2510000,6056,9278
36,0.562200,1.794050,0.279839,"[0, 1, 5, 6, 7, 10, 13, 15, 27, 39]",0,[],0.9340,2821.5143,2510000,6056,9083
37,0.552200,1.949979,0.196666,"[0, 5, 6, 14, 24, 37, 39, 40, 44, 45]",0,[],2.7027,2294.7531,2510000,6056,9227
38,0.554600,1.788305,0.280704,"[0, 1, 3, 6, 7, 18, 19, 23, 24, 42]",0,[],1.6430,2324.4836,2510000,6056,9083
39,0.551000,1.866206,0.260527,"[0, 3, 6, 7, 10, 18, 19, 33, 42, 48]",0,[],1.3002,2697.3296,2510000,6056,9083
40,0.525200,1.994826,0.331017,"[5, 7, 8, 20, 23, 30, 37, 40, 41, 44]",1,[8],0.8096,3106.9039,2510000,6056,9227
41,0.556700,1.995222,0.240947,"[6, 8, 13, 24, 29, 33, 37, 40, 41, 44]",1,[8],4.2447,3536.4965,2510000,6056,9227
42,0.515600,2.104197,0.306232,"[0, 4, 24, 32, 33, 36, 44, 45, 47, 49]",2,"[4, 32]",2.0118,2913.6230,2510000,6056,9083
43,0.548700,2.006294,0.271583,"[0, 3, 6, 14, 27, 30, 36, 40, 41, 42]",0,[],5.3072,2666.4872,2510000,6056,9083
44,0.553300,1.887354,0.234535,"[1, 7, 14, 20, 23, 24, 30, 33, 36, 40]",0,[],1.8715,3082.9781,2510000,6056,9083
45,0.560300,1.935471,0.261417,"[5, 14, 15, 20, 21, 33, 36, 37, 40, 45]",1,[21],2.7269,2281.3838,2510000,6056,9227
46,0.540000,1.976517,0.242468,"[7, 10, 11, 13, 21, 24, 25, 37, 42, 45]",1,[21],0.9369,3744.2338,2510000,6056,9083
47,0.549800,1.935088,0.235973,"[1, 3, 7, 9, 10, 24, 27, 33, 36, 45]",0,[],2.3533,3079.0392,2510000,6056,9227
48,0.550800,1.911037,0.323886,"[16, 18, 25, 29, 30, 36, 39, 40, 42, 46]",1,[46],5.1085,3473.3265,2510000,6056,9083
49,0.524700,2.249545,0.226982,"[7, 9, 14, 19, 27, 33, 40, 45, 46, 47]",1,[46],1.3813,2809.5999,2510000,6056,9083
50,0.551900,2.118643,0.178213,"[6, 7, 10, 19, 23, 24, 33, 36, 40, 42]",0,[],1.1675,3042.0455,2510000,6056,9227
51,0.548900,2.053075,0.191116,"[3, 7, 10, 14, 24, 25, 30, 36, 41, 44]",0,[],4.1127,3215.9024,2510000,6056,9083
52,0.552600,1.979726,0.268074,"[0, 1, 2, 4, 12, 15, 19, 24, 36, 37]",1,[4],0.9249,3044.0569,2510000,6056,9083
53,0.559200,1.977290,0.241322,"[1, 5, 13, 19, 20, 30, 40, 41, 42, 48]",0,[],2.7077,3253.0341,2510000,6056,9278
54,0.557600,1.992719,0.266710,"[4, 7, 10, 15, 24, 29, 39, 40, 46, 47]",2,"[4, 46]",0.7188,2818.5048,2510000,6056,10067
55,0.551300,2.055581,0.171306,"[1, 6, 7, 14, 31, 33, 40, 41, 42, 47]",1,[31],1.2080,3204.6275,2510000,6056,9083
56,0.545100,2.132067,0.262734,"[10, 14, 16, 17, 19, 26, 30, 33, 39, 41]",1,[26],2.2374,4493.7604,2510000,6056,9234
57,0.540700,2.036127,0.279230,"[5, 9, 16, 23, 24, 29, 36, 37, 42, 44]",0,[],2.9686,4925.8690,2510000,6056,9083
58,0.539300,2.125202,0.141189,"[1, 7, 9, 14, 24, 25, 36, 37, 44, 47]",0,[],2.4857,5063.2552,2510000,6056,9278
59,0.545800,2.043384,0.248364,"[0, 7, 9, 15, 20, 23, 24, 27, 39, 45]",0,[],3.7760,4446.1659,2510000,6056,9083
60,0.553800,1.929433,0.294174,"[6, 15, 20, 23, 25, 26, 29, 33, 36, 45]",1,[26],2.4440,3603.7022,2510000,6056,9083
