round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.160900,2.256285,1.409625,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",4,"[8, 21, 31, 32]",0.4051,8384.1396,2510000,4856,12339
2,0.229800,2.007158,1.266081,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",3,"[8, 26, 31]",1.5375,5466.8311,2510000,5096,10206
3,0.285900,1.883257,1.014130,"[7, 8, 10, 11, 12, 15, 22, 28, 35, 47]",3,"[8, 22, 35]",0.7323,5392.0998,2510000,5192,9371
4,0.397000,1.650147,0.912647,"[0, 10, 14, 16, 18, 24, 30, 35, 44, 47]",1,[35],1.4622,4710.5988,2510000,5360,9782
5,0.300500,2.034715,0.781278,"[1, 2, 7, 11, 17, 27, 31, 33, 45, 49]",1,[31],1.0754,4938.7239,2510000,5528,9587
6,0.258500,2.165736,0.787671,"[6, 7, 14, 15, 22, 23, 31, 32, 33, 36]",3,"[22, 31, 32]",1.3879,2371.2721,2510000,5696,9587
7,0.440800,1.618880,0.679936,"[8, 14, 19, 20, 35, 37, 39, 40, 44, 46]",3,"[8, 35, 46]",1.1423,4105.4867,2510000,5744,9227
8,0.306100,2.027844,0.709141,"[3, 4, 7, 20, 21, 28, 33, 35, 36, 48]",3,"[4, 21, 35]",6.8316,3919.5891,2510000,5864,9443
9,0.472600,1.597874,0.623046,"[1, 6, 11, 13, 16, 27, 30, 37, 39, 41]",0,[],2.2042,2616.6096,2510000,5912,9227
10,0.419100,1.905043,0.586153,"[11, 12, 15, 24, 29, 30, 35, 40, 42, 46]",2,"[35, 46]",1.3120,2535.4110,2510000,5936,9155
11,0.402200,1.843719,0.577687,"[4, 11, 17, 24, 27, 29, 32, 33, 36, 40]",2,"[4, 32]",2.6810,2570.8229,2510000,5984,9227
12,0.378300,1.841289,0.589238,"[3, 6, 12, 15, 23, 35, 38, 44, 45, 47]",2,"[35, 38]",2.2462,3206.2541,2510000,5984,9083
