round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.136800,2.264082,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",4,"[8, 21, 31, 32]",0.3327,4259.1811,2510000,4856,12339
2,0.288800,1.943770,1.373167,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",3,"[8, 26, 31]",2.0676,3752.6750,2510000,5096,10184
3,0.362400,1.700793,1.057098,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",2,"[8, 22]",1.5553,5563.6624,2510000,5192,9371
4,0.330100,1.968372,0.840874,"[0, 10, 15, 16, 18, 24, 25, 35, 44, 47]",1,[35],2.8756,2318.9609,2510000,5360,9587
5,0.358300,1.834227,0.784511,"[1, 2, 7, 11, 17, 28, 31, 34, 45, 49]",1,[31],1.6589,3720.5562,2510000,5528,9543
6,0.426000,1.673486,0.705871,"[3, 6, 7, 15, 17, 23, 32, 33, 36, 45]",1,[32],1.2627,4495.2027,2510000,5648,9654
7,0.455100,1.698228,0.586186,"[7, 15, 19, 21, 36, 37, 39, 40, 44, 46]",2,"[21, 46]",1.5165,4219.6450,2510000,5696,9227
8,0.427200,1.982476,0.534317,"[2, 4, 7, 19, 21, 29, 34, 36, 37, 48]",2,"[4, 21]",7.0302,3774.2010,2510000,5792,9371
9,0.471200,1.887798,0.599236,"[1, 6, 10, 13, 16, 28, 30, 37, 40, 42]",0,[],2.4210,3317.7669,2510000,5864,9683
10,0.480700,1.597711,0.531386,"[11, 12, 15, 24, 30, 31, 36, 41, 42, 47]",1,[31],4.4849,3191.0670,2510000,5912,9611
11,0.437900,2.077939,0.480940,"[3, 10, 18, 25, 29, 31, 34, 35, 37, 41]",2,"[31, 35]",28.0165,2580.1488,2510000,5936,9155
12,0.447400,2.105603,0.544944,"[2, 6, 12, 14, 23, 36, 40, 45, 46, 48]",1,[46],1.2609,3234.6540,2510000,5936,9083
13,0.487500,1.724212,0.455779,"[4, 7, 9, 10, 21, 36, 40, 41, 44, 49]",2,"[4, 21]",4.4858,2944.0824,2510000,5960,9350
14,0.464100,2.086342,0.514104,"[0, 3, 4, 6, 8, 11, 24, 27, 35, 37]",3,"[4, 8, 35]",5.0145,2648.8831,2510000,5960,9083
15,0.454500,1.992248,0.411442,"[7, 15, 18, 22, 26, 33, 36, 40, 44, 47]",2,"[22, 26]",3.8516,3745.0003,2510000,5984,9155
16,0.466100,2.267934,0.470621,"[1, 6, 12, 15, 20, 21, 26, 32, 41, 47]",3,"[21, 26, 32]",1.1275,3152.8266,2510000,5984,9083
17,0.499400,1.770442,0.378745,"[0, 1, 7, 16, 25, 29, 37, 40, 41, 45]",0,[],3.3105,3084.9954,2510000,6008,9366
18,0.521900,2.010327,0.445476,"[4, 6, 12, 21, 27, 33, 36, 40, 44, 45]",2,"[4, 21]",3.3197,2198.7587,2510000,6008,9227
19,0.512600,2.111991,0.520909,"[0, 6, 14, 15, 20, 21, 23, 26, 37, 38]",3,"[21, 26, 38]",3.0681,2714.0529,2510000,6008,9083
20,0.491400,2.221002,0.381219,"[4, 6, 10, 13, 23, 32, 40, 41, 42, 47]",2,"[4, 32]",2.5672,2027.6904,2510000,6032,9155
21,0.508700,1.896802,0.454262,"[3, 5, 15, 21, 27, 29, 34, 36, 47, 48]",1,[21],3.3690,3089.3374,2510000,6032,9083
22,0.518600,1.865158,0.385659,"[7, 15, 24, 31, 33, 37, 38, 43, 47, 48]",2,"[31, 38]",1.4733,3963.2478,2510000,6056,9350
23,0.409600,3.938442,0.417045,"[6, 7, 17, 19, 21, 24, 34, 38, 44, 47]",2,"[21, 38]",2.8957,3641.0845,2510000,6056,9083
24,0.511000,1.665495,0.467990,"[3, 11, 18, 20, 26, 33, 36, 40, 41, 44]",1,[26],2.3878,3678.2151,2510000,6056,9278
