round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.123800,11.839329,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",2,"[3, 31]",0.3198,7592.3824,2510000,4856,12339
2,0.106800,4.583231,1.682685,"[3, 6, 7, 9, 15, 26, 32, 34, 37, 43]",4,"[3, 6, 15, 43]",1.9050,5826.4347,2510000,5096,10230
3,0.107200,14.507132,1.605017,"[8, 9, 11, 13, 17, 23, 25, 29, 36, 47]",4,"[17, 25, 29, 36]",0.7982,5277.9653,2510000,5192,9371
4,0.100000,2.367307,2.139942,"[0, 11, 15, 18, 19, 25, 30, 35, 44, 47]",4,"[0, 15, 25, 44]",1.8012,4998.6918,2510000,5360,9782
5,0.100300,2.503212,1.938389,"[2, 3, 9, 12, 18, 28, 32, 34, 45, 49]",4,"[3, 28, 45, 49]",0.7845,6597.5986,2510000,5504,9515
6,0.094600,5.326531,1.924359,"[7, 9, 16, 17, 18, 22, 23, 32, 33, 35]",2,"[16, 17]",1.1346,6499.2477,2510000,5624,9443
7,0.099900,2.373686,2.016669,"[9, 16, 20, 21, 35, 37, 38, 39, 43, 46]",3,"[16, 20, 43]",0.9740,5072.5713,2510000,5696,9299
8,0.100000,2.358496,1.981449,"[3, 5, 9, 22, 30, 34, 35, 36, 37, 48]",2,"[3, 36]",0.9123,5062.0124,2510000,5792,9371
9,0.100100,2.443777,1.912313,"[2, 8, 11, 14, 18, 28, 30, 37, 39, 41]",2,"[28, 41]",1.6651,5392.3800,2510000,5840,9227
10,0.100000,2.403003,1.848765,"[12, 13, 18, 24, 30, 31, 35, 40, 42, 47]",3,"[24, 31, 42]",0.9448,5422.8153,2510000,5888,9227
11,0.100000,2.367693,1.929820,"[4, 11, 18, 24, 28, 30, 34, 35, 37, 40]",2,"[24, 28]",2.3829,5280.4313,2510000,5960,9299
