round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.309700,2.001200,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",0,[],0.8639,7374.6535,2510000,4856,12339
2,0.398600,1.640956,1.163864,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",0,[],2.1100,5833.0911,2510000,5096,10230
3,0.442600,1.510909,0.908283,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",0,[],0.8271,5690.6005,2510000,5192,9371
4,0.496100,1.403822,0.783443,"[0, 10, 15, 16, 18, 24, 25, 35, 44, 47]",2,"[25, 35]",0.7857,5324.6902,2510000,5360,9587
5,0.494100,1.485016,0.623796,"[1, 2, 7, 11, 17, 27, 31, 34, 45, 49]",0,[],0.7200,6978.6119,2510000,5528,9587
6,0.501500,1.580352,0.581146,"[6, 7, 15, 17, 23, 31, 32, 33, 36, 44]",1,[23],1.1376,5929.6614,2510000,5672,9710
7,0.505800,1.494772,0.516550,"[9, 15, 20, 21, 36, 37, 39, 40, 44, 46]",1,[39],1.0127,5563.1788,2510000,5720,9227
8,0.518100,1.599720,0.449449,"[3, 4, 7, 20, 22, 29, 34, 36, 37, 48]",0,[],2.2908,5795.1746,2510000,5816,9371
9,0.535600,1.491492,0.440542,"[1, 7, 11, 13, 16, 28, 30, 37, 40, 42]",1,[42],0.8305,5775.4362,2510000,5888,9299
10,0.514000,1.676599,0.465327,"[9, 12, 13, 16, 25, 31, 36, 41, 42, 46]",2,"[25, 42]",1.4994,5218.5175,2510000,5936,9422
11,0.549300,1.370183,0.460736,"[11, 19, 25, 29, 31, 35, 36, 37, 38, 41]",2,"[25, 35]",3.7938,4302.2634,2510000,5960,9155
12,0.553600,1.589341,0.305481,"[3, 7, 12, 15, 19, 24, 36, 40, 45, 47]",0,[],2.0396,5731.5683,2510000,6008,9227
13,0.558000,1.505574,0.379357,"[4, 8, 9, 11, 22, 37, 41, 42, 44, 49]",1,[42],1.4691,4878.5593,2510000,6008,9278
14,0.559700,1.549439,0.377686,"[0, 3, 4, 7, 9, 12, 25, 29, 36, 38]",1,[25],0.8416,4395.5103,2510000,6008,9083
15,0.562300,1.469300,0.376187,"[8, 18, 20, 24, 27, 35, 37, 41, 45, 47]",1,[35],1.3569,5288.5302,2510000,6008,9083
16,0.584600,1.505627,0.304528,"[1, 6, 7, 13, 21, 22, 27, 33, 41, 47]",0,[],0.9575,4512.7768,2510000,6008,9083
17,0.564700,1.512457,0.338323,"[0, 1, 9, 27, 29, 38, 40, 41, 42, 45]",1,[42],1.1455,3280.5766,2510000,6008,9278
18,0.571900,1.551135,0.266484,"[4, 7, 14, 22, 27, 33, 37, 40, 44, 45]",0,[],2.5760,3590.3373,2510000,6008,9278
19,0.542100,1.674639,0.292972,"[1, 7, 16, 17, 19, 22, 26, 27, 38, 39]",1,[39],0.9942,3754.2532,2510000,6032,9306
20,0.534200,1.675938,0.323496,"[4, 5, 7, 11, 14, 25, 33, 41, 43, 47]",1,[25],1.4883,3915.0674,2510000,6032,9083
21,0.587000,1.565316,0.302670,"[3, 5, 17, 22, 27, 29, 35, 37, 47, 48]",1,[35],3.2157,3896.4012,2510000,6056,9155
22,0.548700,1.553187,0.301390,"[9, 16, 27, 31, 33, 34, 38, 39, 44, 48]",1,[39],3.8393,3081.6781,2510000,6056,9083
23,0.594100,1.585949,0.235198,"[6, 9, 20, 22, 27, 31, 36, 40, 45, 47]",0,[],2.5023,2362.7924,2510000,6056,9083
24,0.599000,1.439818,0.285661,"[4, 20, 22, 28, 33, 34, 37, 41, 44, 45]",0,[],1.5410,2389.0035,2510000,6056,9083
25,0.572400,1.495862,0.235235,"[1, 15, 18, 27, 29, 36, 38, 39, 40, 47]",1,[39],1.3294,3165.3653,2510000,6056,9083
26,0.580600,1.503479,0.277467,"[14, 20, 24, 27, 29, 35, 36, 41, 47, 49]",1,[35],3.0624,3393.5993,2510000,6056,9278
27,0.572100,1.732474,0.240519,"[4, 6, 21, 22, 34, 36, 44, 45, 46, 47]",0,[],2.5420,3045.8490,2510000,6056,9083
28,0.579800,1.623452,0.258707,"[1, 3, 10, 11, 24, 28, 41, 44, 47, 48]",0,[],1.5553,3913.6527,2510000,6056,9083
29,0.597800,1.619959,0.217200,"[6, 11, 13, 17, 22, 24, 29, 33, 38, 41]",0,[],1.9435,3525.5297,2510000,6056,9083
30,0.606400,1.469173,0.270914,"[3, 15, 19, 30, 36, 37, 38, 40, 44, 48]",0,[],8.9893,2911.1859,2510000,6056,9278
31,0.579800,1.695634,0.191174,"[4, 11, 12, 19, 38, 41, 44, 45, 47, 48]",0,[],3.8899,2675.9354,2510000,6056,9083
32,0.586800,1.719724,0.255984,"[3, 5, 9, 14, 20, 24, 28, 29, 33, 36]",0,[],3.3191,2808.3950,2510000,6056,9083
33,0.613500,1.489434,0.285179,"[3, 13, 15, 16, 20, 21, 30, 31, 32, 46]",0,[],1.0779,3047.3102,2510000,6056,9083
34,0.589000,1.394951,0.308213,"[12, 14, 16, 20, 23, 24, 32, 33, 36, 45]",1,[23],1.7648,3052.0988,2510000,6056,9083
35,0.587900,1.675762,0.208063,"[4, 5, 9, 11, 14, 15, 29, 31, 38, 44]",0,[],1.3361,3515.5757,2510000,6056,9662
36,0.602300,1.521189,0.236954,"[0, 2, 4, 5, 7, 13, 15, 18, 27, 38]",0,[],1.4932,3920.2809,2510000,6056,9467
37,0.495100,1.766421,0.284298,"[1, 4, 7, 15, 24, 37, 38, 39, 43, 45]",1,[39],1.6282,3213.5291,2510000,6056,9227
38,0.574600,1.498027,0.271419,"[1, 2, 4, 6, 7, 19, 20, 23, 24, 41]",1,[23],1.2352,2819.6906,2510000,6056,9083
39,0.612200,1.575326,0.161061,"[1, 3, 7, 9, 12, 14, 20, 31, 41, 48]",0,[],5.4326,3709.9956,2510000,6056,9278
40,0.573800,1.523281,0.287563,"[5, 9, 10, 20, 23, 36, 37, 40, 41, 43]",1,[23],2.3858,2448.0130,2510000,6056,9083
41,0.602200,1.621856,0.267412,"[8, 10, 15, 26, 30, 33, 37, 40, 41, 43]",0,[],1.5449,2103.6051,2510000,6056,9278
