round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.309700,2.001200,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",0,[],0.5470,2317.3111,2510000,4856,12339
2,0.398600,1.640956,1.163864,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",0,[],1.1367,4158.7634,2510000,5096,10230
3,0.442600,1.510909,0.908283,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",0,[],1.7847,3976.9624,2510000,5192,9371
4,0.504200,1.390236,0.715659,"[0, 10, 15, 16, 18, 24, 25, 35, 44, 47]",2,"[25, 35]",5.2439,2414.7206,2510000,5360,9587
5,0.525300,1.361327,0.630352,"[1, 2, 7, 11, 17, 28, 31, 34, 45, 49]",0,[],2.2290,3158.8562,2510000,5528,9587
6,0.536600,1.454236,0.527320,"[3, 6, 7, 15, 17, 23, 32, 33, 36, 45]",1,[23],1.4489,3137.9086,2510000,5648,9654
7,0.491000,1.637486,0.476273,"[7, 15, 19, 21, 36, 37, 39, 40, 44, 46]",1,[39],0.7895,4137.4453,2510000,5696,9227
8,0.540600,1.514371,0.426909,"[2, 4, 7, 19, 21, 29, 33, 36, 37, 48]",0,[],0.7697,3495.2376,2510000,5792,9371
9,0.563100,1.533189,0.431236,"[1, 6, 10, 13, 16, 28, 30, 37, 40, 42]",1,[42],0.7487,4003.3809,2510000,5864,9299
10,0.519200,1.656757,0.426795,"[8, 11, 12, 15, 24, 30, 35, 40, 42, 47]",2,"[35, 42]",0.9465,4549.6782,2510000,5912,9422
11,0.549900,1.634790,0.409810,"[3, 10, 19, 25, 29, 31, 34, 35, 37, 41]",2,"[25, 35]",0.6599,4962.2496,2510000,5912,9083
12,0.558500,1.501238,0.380558,"[2, 6, 12, 15, 24, 36, 40, 45, 46, 48]",0,[],3.4865,5779.5543,2510000,5936,9155
13,0.559600,1.737581,0.332623,"[3, 6, 7, 10, 13, 22, 36, 41, 44, 49]",0,[],1.1485,5875.3602,2510000,5936,9310
14,0.574100,1.599000,0.341569,"[0, 3, 4, 6, 7, 11, 24, 29, 35, 37]",1,[35],0.8698,5633.6078,2510000,5936,9083
15,0.554000,1.609419,0.315739,"[7, 19, 20, 24, 28, 34, 36, 41, 45, 47]",0,[],1.2316,6591.0084,2510000,5936,9083
16,0.587800,1.566876,0.356165,"[1, 6, 13, 17, 21, 23, 27, 33, 41, 47]",1,[23],1.0695,6456.2796,2510000,5960,9155
17,0.583000,1.546140,0.353292,"[0, 1, 8, 9, 27, 30, 37, 40, 41, 45]",0,[],2.9090,5067.5345,2510000,5984,9350
