round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.180800,2.271526,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",0,[],1.3202,3693.5580,2510000,4856,12339
2,0.302500,2.162868,1.395217,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",0,[],3.9331,3019.8763,2510000,5096,10206
3,0.344900,2.006942,1.242234,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",0,[],1.3201,3551.9905,2510000,5192,9371
4,0.399100,1.836912,1.093444,"[0, 10, 15, 16, 18, 24, 25, 35, 44, 47]",2,"[25, 35]",4.2854,2859.9859,2510000,5360,9587
5,0.410800,1.703821,1.001678,"[1, 2, 7, 11, 16, 27, 31, 33, 45, 49]",0,[],2.1011,3647.0030,2510000,5528,9587
6,0.434300,1.585908,0.923642,"[6, 7, 15, 17, 22, 23, 31, 32, 36, 45]",1,[23],2.9626,3140.5004,2510000,5672,9710
7,0.445800,1.531889,0.853148,"[8, 14, 19, 20, 36, 37, 39, 40, 44, 46]",1,[39],1.2020,2469.2989,2510000,5720,9227
8,0.482800,1.442504,0.837168,"[3, 4, 7, 19, 20, 28, 33, 36, 37, 48]",0,[],1.3192,3336.1963,2510000,5864,9515
9,0.510800,1.375770,0.774639,"[1, 6, 11, 13, 16, 27, 30, 37, 40, 42]",1,[42],3.4156,3548.4621,2510000,5912,9227
10,0.503000,1.360801,0.732593,"[9, 11, 12, 15, 24, 30, 35, 41, 42, 47]",2,"[35, 42]",2.5212,2259.1701,2510000,5960,9422
11,0.525200,1.325043,0.669076,"[4, 10, 17, 24, 27, 29, 33, 34, 37, 41]",0,[],1.0993,3525.3283,2510000,5984,9155
12,0.524400,1.338529,0.688914,"[3, 6, 12, 14, 23, 36, 40, 45, 46, 48]",1,[23],1.1510,3624.5953,2510000,6008,9155
13,0.544200,1.311995,0.597937,"[4, 7, 8, 9, 11, 20, 36, 40, 44, 49]",0,[],1.2950,3607.8982,2510000,6008,9234
14,0.543300,1.288354,0.602957,"[0, 3, 5, 7, 9, 11, 24, 27, 34, 37]",0,[],1.1695,4505.1581,2510000,6008,9083
15,0.539300,1.326348,0.462794,"[7, 15, 17, 22, 25, 32, 36, 40, 45, 47]",1,[25],0.9702,3702.1397,2510000,6032,9155
16,0.561500,1.334506,0.463556,"[1, 6, 7, 12, 19, 20, 25, 31, 41, 47]",1,[25],0.9984,4093.9721,2510000,6032,9083
17,0.525700,1.453772,0.448666,"[0, 1, 7, 9, 24, 27, 37, 40, 41, 45]",0,[],3.2028,4124.1032,2510000,6032,9278
18,0.566700,1.355375,0.462679,"[5, 6, 12, 20, 26, 32, 36, 40, 44, 45]",0,[],116.1858,3840.3696,2510000,6032,9278
19,0.567600,1.367942,0.445170,"[0, 6, 14, 15, 18, 19, 22, 26, 37, 38]",0,[],1.5844,5077.1368,2510000,6032,9083
20,0.569100,1.386052,0.385922,"[5, 7, 11, 12, 21, 31, 40, 41, 43, 47]",0,[],1.0516,3586.7136,2510000,6056,9155
21,0.562100,1.411147,0.414746,"[3, 5, 14, 20, 27, 34, 36, 43, 47, 48]",0,[],2.0753,3662.3306,2510000,6056,9278
22,0.548000,1.515854,0.377152,"[7, 14, 24, 29, 31, 33, 37, 38, 44, 48]",0,[],69.3690,3172.8032,2510000,6056,9083
23,0.551400,1.472283,0.367963,"[6, 7, 15, 16, 19, 24, 33, 39, 44, 47]",1,[39],1.9425,4393.8361,2510000,6056,9083
24,0.574100,1.462933,0.389526,"[3, 10, 15, 18, 26, 31, 34, 40, 41, 44]",0,[],1.5887,5082.4285,2510000,6056,9234
25,0.578200,1.459609,0.354477,"[0, 12, 13, 14, 25, 26, 33, 37, 38, 47]",1,[25],1.9483,4031.9650,2510000,6056,9083
26,0.583700,1.456806,0.346999,"[11, 14, 20, 23, 24, 26, 31, 40, 47, 49]",1,[23],0.9200,2963.7782,2510000,6056,9083
27,0.578900,1.462109,0.339042,"[5, 6, 15, 18, 20, 31, 33, 36, 44, 47]",0,[],0.4266,2636.1386,2510000,6056,9278
28,0.572400,1.566035,0.335868,"[0, 3, 7, 10, 20, 26, 40, 44, 47, 48]",0,[],0.6930,2990.9707,2510000,6056,9467
29,0.559800,1.531396,0.364182,"[6, 10, 14, 18, 20, 26, 30, 36, 37, 41]",0,[],0.3725,3102.0644,2510000,6056,9467
30,0.564300,1.598935,0.305187,"[3, 13, 14, 29, 35, 36, 38, 40, 44, 47]",1,[35],0.5025,2241.2842,2510000,6056,9278
31,0.545900,1.511557,0.338432,"[0, 4, 10, 11, 14, 38, 41, 44, 45, 47]",0,[],0.5080,1961.6991,2510000,6056,9294
32,0.588600,1.424299,0.324417,"[1, 5, 7, 12, 15, 20, 26, 27, 31, 36]",0,[],0.3876,2466.3048,2510000,6056,9083
33,0.510100,1.972078,0.258684,"[3, 7, 11, 13, 14, 15, 29, 30, 31, 47]",0,[],0.5010,2155.5532,2510000,6056,9083
34,0.562000,1.675955,0.269138,"[10, 13, 14, 15, 20, 21, 31, 34, 36, 47]",0,[],1.1048,2428.6192,2510000,6056,9467
35,0.575300,1.449108,0.293764,"[5, 7, 9, 12, 13, 26, 29, 38, 39, 44]",1,[39],0.4800,2056.5787,2510000,6056,10278
36,0.580900,1.524793,0.293486,"[0, 1, 5, 6, 10, 13, 14, 24, 28, 37]",0,[],0.4383,2333.4797,2510000,6056,9083
37,0.567600,1.446413,0.339203,"[0, 5, 6, 12, 23, 36, 37, 40, 44, 45]",1,[23],0.4142,3559.4959,2510000,6056,9278
38,0.558900,1.755551,0.253225,"[0, 1, 4, 5, 6, 13, 15, 20, 41, 47]",0,[],0.6746,5684.1737,2510000,6056,9278
39,0.573400,1.544516,0.282966,"[0, 4, 6, 7, 9, 15, 16, 31, 41, 47]",0,[],1.9664,4197.5382,2510000,6056,9083
40,0.565400,1.669615,0.273878,"[5, 6, 8, 16, 20, 36, 37, 40, 43, 44]",0,[],0.8619,3294.4390,2510000,6056,9083
41,0.588800,1.557701,0.232897,"[6, 7, 12, 24, 27, 31, 36, 40, 41, 44]",0,[],6.2679,4224.5754,2510000,6056,9278
42,0.591200,1.517597,0.275440,"[0, 5, 9, 22, 29, 31, 34, 44, 47, 49]",0,[],1.1783,4269.5064,2510000,6056,9278
43,0.531300,1.806800,0.251814,"[0, 5, 6, 13, 26, 27, 33, 40, 41, 42]",1,[42],1.1602,3709.9725,2510000,6056,9083
44,0.580000,1.590785,0.256116,"[2, 6, 13, 16, 20, 22, 27, 29, 37, 47]",0,[],3.5030,4295.5003,2510000,6056,9278
45,0.537200,1.874087,0.258576,"[5, 11, 14, 15, 20, 27, 33, 36, 37, 44]",0,[],1.9478,4100.7386,2510000,6056,9199
