round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.153900,2.284118,1.409625,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",4,"[8, 21, 31, 32]",0.3979,3209.6021,2510000,4856,12339
2,0.198800,2.198248,1.400567,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",3,"[8, 26, 31]",1.3375,2147.7813,2510000,5096,10230
3,0.260000,2.058831,1.269988,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",2,"[8, 22]",3.9373,3181.3693,2510000,5192,9371
4,0.345200,1.876686,1.137623,"[0, 10, 14, 16, 18, 24, 30, 35, 44, 47]",1,[35],1.9243,4281.1620,2510000,5360,9782
5,0.398200,1.746961,0.986515,"[1, 2, 7, 11, 17, 27, 32, 34, 45, 49]",1,[32],1.1340,3926.0594,2510000,5552,9659
6,0.432200,1.624135,0.951239,"[6, 7, 14, 15, 18, 22, 23, 32, 33, 37]",2,"[22, 32]",1.6328,4578.7090,2510000,5696,9515
7,0.462700,1.519825,0.907421,"[7, 14, 18, 20, 36, 38, 39, 40, 44, 46]",2,"[38, 46]",0.7879,4519.1372,2510000,5744,9227
8,0.494400,1.438393,0.813129,"[2, 4, 7, 19, 20, 28, 34, 36, 37, 49]",1,[4],2.2782,4230.3535,2510000,5864,9443
9,0.502500,1.380638,0.802785,"[1, 6, 10, 13, 15, 27, 30, 38, 40, 42]",1,[38],3.2184,3022.8214,2510000,5912,9227
10,0.512300,1.348679,0.753808,"[9, 11, 12, 15, 24, 30, 36, 41, 43, 47]",0,[],1.9203,3184.3594,2510000,5936,9350
11,0.519300,1.340950,0.756891,"[10, 17, 24, 27, 29, 35, 36, 37, 38, 41]",2,"[35, 38]",4.7011,3259.8861,2510000,5960,9155
12,0.532700,1.320296,0.708544,"[2, 6, 12, 15, 23, 36, 40, 46, 47, 48]",1,[46],2.4942,2645.6280,2510000,5984,9155
13,0.459500,1.486861,0.722647,"[4, 8, 9, 11, 13, 21, 37, 41, 45, 49]",3,"[4, 8, 21]",1.2640,2896.8862,2510000,6008,9322
14,0.535900,1.314226,0.723470,"[0, 3, 4, 7, 9, 12, 24, 27, 35, 38]",3,"[4, 35, 38]",3.0265,2911.2671,2510000,6008,9083
15,0.548800,1.286136,0.588874,"[9, 18, 20, 24, 27, 35, 41, 46, 47, 48]",2,"[35, 46]",3.0365,5206.2388,2510000,6008,9083
16,0.517500,1.355218,0.511640,"[1, 7, 13, 15, 20, 22, 27, 34, 41, 47]",1,[22],1.6422,4351.4206,2510000,6008,9083
17,0.523700,1.396014,0.646107,"[0, 9, 10, 26, 28, 38, 40, 41, 42, 46]",3,"[26, 38, 46]",2.1962,2683.1303,2510000,6008,9039
18,0.540200,1.332973,0.512539,"[5, 7, 14, 22, 27, 35, 37, 40, 44, 45]",2,"[22, 35]",1.5150,2174.3089,2510000,6008,9278
19,0.552800,1.333885,0.575351,"[0, 7, 15, 16, 21, 22, 25, 27, 38, 39]",3,"[21, 22, 38]",1.5817,2636.8528,2510000,6032,9155
20,0.461100,1.571730,0.498370,"[5, 6, 8, 12, 14, 24, 35, 41, 44, 48]",2,"[8, 35]",1.4525,3616.2486,2510000,6056,9155
21,0.488400,1.449327,0.549820,"[4, 5, 15, 21, 27, 35, 37, 44, 47, 49]",3,"[4, 21, 35]",1.0060,3720.4390,2510000,6056,9278
22,0.511900,1.427016,0.515155,"[9, 15, 25, 31, 33, 35, 38, 43, 45, 48]",3,"[31, 35, 38]",1.6437,2641.6777,2510000,6056,9278
23,0.485700,1.464249,0.493375,"[7, 8, 15, 19, 20, 24, 35, 38, 44, 47]",3,"[8, 35, 38]",0.8895,2575.7955,2510000,6056,9083
24,0.576100,1.259803,0.521452,"[4, 12, 16, 20, 26, 34, 36, 40, 41, 44]",2,"[4, 26]",1.3905,3167.2103,2510000,6056,9278
25,0.508900,1.415803,0.504176,"[0, 13, 14, 25, 26, 27, 35, 37, 38, 48]",3,"[26, 35, 38]",2.0094,3022.2308,2510000,6056,9278
26,0.566100,1.347082,0.434855,"[12, 15, 22, 24, 26, 27, 35, 40, 47, 49]",3,"[22, 26, 35]",4.3783,3319.0687,2510000,6056,9083
27,0.538900,1.442888,0.364328,"[5, 7, 19, 20, 22, 35, 37, 44, 45, 47]",2,"[22, 35]",1.7386,3717.3435,2510000,6056,9278
28,0.561300,1.420218,0.413697,"[0, 3, 9, 10, 23, 26, 40, 42, 45, 48]",1,[26],1.2428,2647.6257,2510000,6056,9278
29,0.545200,1.429205,0.407212,"[6, 10, 15, 20, 22, 27, 34, 37, 38, 40]",2,"[22, 38]",0.8866,3301.3527,2510000,6056,9083
30,0.542400,1.465328,0.453317,"[3, 4, 14, 15, 31, 36, 37, 38, 39, 44]",3,"[4, 31, 38]",1.6810,2977.2780,2510000,6056,9083
31,0.404400,1.693965,0.497141,"[0, 4, 10, 11, 15, 38, 41, 44, 46, 48]",3,"[4, 38, 46]",1.2399,3715.2670,2510000,6056,9278
32,0.549200,1.342172,0.455624,"[2, 5, 8, 12, 15, 22, 25, 27, 35, 36]",3,"[8, 22, 35]",47.3748,3671.7458,2510000,6056,9083
33,0.566700,1.428065,0.366558,"[3, 12, 14, 15, 18, 20, 31, 34, 35, 48]",2,"[31, 35]",1.9438,5335.1424,2510000,6056,9083
34,0.418700,1.656480,0.399556,"[7, 11, 13, 15, 22, 23, 34, 35, 36, 47]",2,"[22, 35]",4.9733,4928.4335,2510000,6056,9278
35,0.580800,1.321935,0.399198,"[5, 6, 9, 10, 12, 14, 27, 31, 38, 43]",2,"[31, 38]",3.1159,3819.3121,2510000,6056,9278
36,0.564500,1.498161,0.303060,"[0, 1, 5, 6, 7, 11, 13, 15, 24, 37]",0,[],2.0667,4183.2876,2510000,6056,9083
37,0.461100,1.670452,0.313179,"[0, 1, 5, 6, 7, 14, 37, 38, 41, 47]",1,[38],1.9850,3637.7210,2510000,6056,9083
38,0.568500,1.388527,0.343209,"[0, 2, 5, 6, 7, 19, 20, 22, 23, 41]",1,[22],1.8518,3271.9618,2510000,6056,9083
39,0.458100,1.548925,0.375516,"[0, 4, 6, 7, 18, 20, 32, 33, 40, 48]",2,"[4, 32]",0.8008,3698.5301,2510000,6056,9083
40,0.584700,1.367693,0.302468,"[5, 6, 9, 20, 22, 29, 36, 37, 39, 41]",1,[22],1.4132,3174.9225,2510000,6056,9278
41,0.523100,1.717293,0.248912,"[6, 7, 13, 24, 27, 33, 37, 40, 41, 43]",0,[],1.1318,3406.2608,2510000,6056,9278
42,0.531300,1.482596,0.375651,"[0, 1, 5, 22, 29, 31, 34, 42, 44, 47]",2,"[22, 31]",1.6744,2766.4945,2510000,6056,9083
43,0.570300,1.542450,0.219578,"[0, 5, 6, 13, 24, 27, 33, 39, 40, 41]",0,[],1.3665,3301.7477,2510000,6056,9083
44,0.378200,1.887208,0.346590,"[3, 6, 13, 20, 22, 23, 27, 29, 32, 37]",2,"[22, 32]",1.4783,2620.1909,2510000,6056,8995
45,0.553300,1.470724,0.345899,"[5, 12, 15, 20, 22, 28, 35, 36, 37, 44]",2,"[22, 35]",1.2118,3314.6828,2510000,6056,9294
46,0.534400,1.608352,0.330453,"[6, 8, 9, 12, 20, 22, 23, 36, 41, 44]",2,"[8, 22]",5.3741,3145.1327,2510000,6056,9083
47,0.417400,1.892799,0.347573,"[3, 4, 6, 7, 9, 22, 24, 29, 32, 44]",3,"[4, 22, 32]",1.2550,4055.5914,2510000,6056,9278
48,0.571400,1.398484,0.265701,"[1, 15, 20, 23, 24, 27, 34, 37, 41, 47]",0,[],0.9893,3941.1911,2510000,6056,9294
49,0.520300,1.973394,0.187520,"[7, 9, 13, 19, 24, 29, 37, 39, 45, 47]",0,[],1.7145,3329.9307,2510000,6056,9083
50,0.460800,1.584496,0.381459,"[5, 7, 9, 20, 21, 23, 29, 34, 38, 41]",2,"[21, 38]",2.4734,2726.3023,2510000,6056,9278
51,0.575300,1.399741,0.312029,"[5, 7, 9, 13, 21, 23, 27, 32, 40, 44]",2,"[21, 32]",1.2127,4025.5314,2510000,6056,9083
52,0.526900,1.493351,0.340552,"[1, 3, 5, 11, 15, 18, 22, 31, 36, 44]",2,"[22, 31]",2.0782,4661.4741,2510000,6056,9083
53,0.598000,1.421285,0.278636,"[3, 5, 11, 16, 18, 27, 38, 40, 41, 48]",1,[38],2.1951,4093.2177,2510000,6056,9278
54,0.316900,2.041604,0.377949,"[5, 6, 9, 14, 20, 22, 26, 36, 38, 47]",3,"[22, 26, 38]",2.4742,3137.5904,2510000,6056,9039
55,0.562200,1.438120,0.277732,"[5, 6, 12, 27, 28, 38, 40, 41, 47, 48]",1,[38],1.9023,3702.7384,2510000,6056,9083
56,0.531900,1.670053,0.234395,"[9, 11, 12, 13, 15, 16, 24, 27, 36, 40]",0,[],1.3308,4006.0903,2510000,6056,9294
57,0.403100,1.856308,0.303751,"[5, 7, 15, 18, 21, 24, 31, 33, 41, 44]",2,"[21, 31]",3.1268,3621.7374,2510000,6056,9083
58,0.558500,1.501582,0.320591,"[3, 6, 7, 12, 20, 22, 31, 33, 35, 47]",3,"[22, 31, 35]",1.8825,4130.6426,2510000,6056,9083
59,0.520700,1.516700,0.243187,"[0, 6, 7, 15, 18, 20, 21, 24, 36, 44]",1,[21],2.5136,2261.7715,2510000,6056,9083
60,0.587600,1.467036,0.243936,"[4, 5, 14, 18, 20, 23, 24, 29, 34, 44]",1,[4],9.3007,2640.0104,2510000,6056,9083
