round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.185400,2.272191,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",2,"[3, 31]",0.3647,5027.3247,2510000,4856,12339
2,0.265100,2.186878,1.401748,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",5,"[3, 6, 15, 31, 43]",0.9932,3937.7351,2510000,5096,10206
3,0.292800,2.046251,1.257391,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",3,"[15, 28, 36]",1.0025,5795.7141,2510000,5192,9371
4,0.343500,1.882706,1.117800,"[0, 10, 15, 16, 18, 24, 25, 35, 44, 47]",6,"[0, 15, 16, 24, 25, 44]",1.1592,5832.6506,2510000,5360,9587
5,0.346700,1.810761,0.999459,"[1, 2, 7, 11, 17, 28, 31, 34, 45, 49]",5,"[17, 28, 31, 45, 49]",1.3776,6238.2689,2510000,5528,9587
6,0.327700,1.723354,1.003638,"[3, 6, 7, 15, 17, 23, 32, 33, 36, 45]",6,"[3, 6, 15, 17, 36, 45]",1.2416,5581.6847,2510000,5648,9654
7,0.424700,1.608858,0.880028,"[7, 14, 19, 20, 36, 37, 39, 40, 44, 46]",3,"[20, 36, 44]",2.9879,3314.1264,2510000,5696,9227
8,0.450100,1.518343,0.766597,"[2, 4, 7, 19, 21, 29, 34, 36, 37, 48]",2,"[29, 36]",6.9174,4579.2019,2510000,5840,9515
9,0.470800,1.462674,0.753678,"[1, 6, 10, 13, 16, 29, 31, 37, 40, 42]",5,"[6, 16, 29, 31, 42]",1.0949,4945.3194,2510000,5912,9299
10,0.490900,1.394129,0.756372,"[9, 11, 12, 15, 25, 31, 36, 41, 42, 47]",6,"[15, 25, 31, 36, 41, 42]",1.8614,4376.9326,2510000,5936,9350
11,0.504300,1.366888,0.696236,"[3, 10, 18, 26, 29, 31, 34, 35, 37, 41]",4,"[3, 29, 31, 41]",2.9343,4621.9210,2510000,5960,9155
12,0.501700,1.411486,0.614108,"[2, 6, 12, 14, 24, 36, 40, 45, 47, 48]",4,"[6, 24, 36, 45]",3.6191,4305.7223,2510000,5960,9083
13,0.496700,1.461334,0.639900,"[4, 8, 9, 11, 13, 21, 36, 41, 44, 49]",4,"[36, 41, 44, 49]",2.4242,3360.7737,2510000,5960,9294
14,0.487800,1.438167,0.604711,"[0, 3, 4, 7, 9, 12, 25, 29, 34, 37]",4,"[0, 3, 25, 29]",1.2314,3560.4235,2510000,5960,9083
15,0.513400,1.395442,0.581453,"[9, 16, 19, 23, 27, 34, 36, 40, 45, 47]",4,"[16, 27, 36, 45]",1.5742,3642.2612,2510000,5960,9083
16,0.512300,1.561354,0.524212,"[1, 6, 7, 12, 20, 21, 27, 31, 41, 47]",5,"[6, 20, 27, 31, 41]",0.5379,3177.9511,2510000,5984,9155
17,0.523200,1.502065,0.512010,"[0, 1, 8, 9, 26, 29, 37, 40, 41, 45]",4,"[0, 29, 41, 45]",0.7836,3117.5778,2510000,5984,9278
18,0.540400,1.432921,0.458740,"[4, 5, 7, 13, 20, 27, 32, 37, 40, 44]",3,"[20, 27, 44]",8.7103,3583.7929,2510000,5984,9278
