round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.288100,2.774633,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",4,"[8, 21, 31, 32]",0.3861,2190.9923,2510000,4856,12339
2,0.264900,3.042216,1.296421,"[3, 6, 8, 14, 26, 32, 34, 37, 43, 49]",3,"[8, 26, 32]",1.0217,2887.2887,2510000,5096,10206
3,0.337700,2.627583,1.271479,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",2,"[8, 22]",0.5768,2495.6689,2510000,5216,9443
4,0.178400,2.980045,1.123953,"[0, 10, 14, 16, 18, 25, 30, 36, 44, 47]",0,[],1.6590,1938.7784,2510000,5408,9854
5,0.230000,2.864986,1.111002,"[1, 2, 7, 11, 16, 28, 33, 34, 45, 49]",0,[],4.3515,2911.4555,2510000,5552,9515
6,0.264900,3.263102,1.110752,"[6, 7, 15, 16, 17, 23, 33, 34, 37, 45]",0,[],0.9735,3999.6546,2510000,5648,9566
7,0.266700,3.869127,1.154487,"[9, 15, 19, 20, 36, 38, 39, 40, 44, 46]",2,"[38, 46]",1.5260,3308.9038,2510000,5696,9227
8,0.277000,2.930684,1.082228,"[3, 4, 7, 18, 20, 29, 34, 36, 37, 49]",1,[4],4.0239,4325.0477,2510000,5840,9515
9,0.291400,3.005751,1.069031,"[1, 7, 11, 13, 16, 28, 31, 38, 41, 43]",2,"[31, 38]",2.8492,3652.4257,2510000,5888,9227
10,0.219900,2.990739,1.118679,"[12, 13, 16, 24, 25, 30, 35, 41, 42, 47]",1,[35],1.6951,3303.3388,2510000,5912,9155
11,0.371500,2.560477,1.146921,"[11, 16, 24, 28, 29, 34, 35, 37, 38, 41]",2,"[35, 38]",1.6419,3678.9218,2510000,5984,9299
12,0.303300,2.246469,1.040186,"[3, 7, 12, 15, 23, 36, 40, 46, 47, 48]",1,[46],1.9113,4160.1256,2510000,5984,9083
13,0.308800,2.928885,0.847434,"[4, 9, 11, 12, 19, 37, 41, 42, 44, 49]",1,[4],3.3996,2804.9918,2510000,6008,9366
14,0.396400,1.856488,0.990546,"[0, 3, 5, 7, 9, 12, 24, 28, 34, 37]",0,[],1.3721,4564.0990,2510000,6008,9083
15,0.285400,3.373829,0.837838,"[9, 16, 21, 25, 33, 36, 41, 45, 47, 48]",1,[21],2.7738,3700.2744,2510000,6032,9155
16,0.277200,4.966636,0.742935,"[1, 7, 12, 15, 18, 20, 25, 31, 42, 47]",1,[31],2.2304,4356.7658,2510000,6032,9083
17,0.339400,3.573792,0.885519,"[0, 1, 9, 24, 27, 37, 40, 41, 42, 46]",1,[46],2.4152,3618.2633,2510000,6032,9278
18,0.273000,3.952685,0.888784,"[5, 7, 12, 18, 24, 32, 36, 40, 44, 45]",1,[32],2.9104,2513.5947,2510000,6056,9350
19,0.332000,2.204864,0.951341,"[1, 7, 15, 17, 18, 23, 24, 37, 38, 39]",1,[38],3.4710,3460.4603,2510000,6056,9083
20,0.298800,4.127015,0.944455,"[5, 8, 11, 13, 22, 31, 40, 41, 43, 48]",3,"[8, 22, 31]",1.2038,3114.6709,2510000,6056,9083
21,0.265000,2.961454,1.016692,"[3, 15, 17, 18, 24, 27, 34, 36, 47, 49]",0,[],3.9378,4715.0901,2510000,6056,9083
22,0.324800,4.055647,1.011522,"[9, 10, 14, 23, 30, 31, 33, 37, 43, 49]",1,[31],6.8991,2974.3872,2510000,6056,9083
23,0.377400,2.162376,1.079782,"[6, 9, 15, 16, 17, 23, 34, 38, 44, 48]",1,[38],1.3212,4300.1973,2510000,6056,9083
24,0.372100,2.900627,0.888730,"[3, 11, 15, 16, 23, 29, 34, 40, 41, 44]",0,[],3.3964,5018.8580,2510000,6056,9278
25,0.303700,2.985138,0.824165,"[1, 12, 13, 14, 23, 24, 27, 33, 37, 48]",0,[],2.3062,3595.8981,2510000,6056,9278
26,0.367500,2.975797,0.785263,"[12, 14, 18, 20, 23, 24, 29, 39, 47, 49]",0,[],8.3686,4193.6795,2510000,6056,9083
27,0.378500,4.197999,0.807501,"[5, 6, 15, 16, 19, 29, 37, 42, 44, 47]",0,[],2.0040,3489.8310,2510000,6056,9278
28,0.378200,3.022831,1.099827,"[1, 3, 9, 10, 20, 23, 40, 41, 46, 48]",1,[46],1.9273,3883.3478,2510000,6056,9278
29,0.377300,2.571132,0.901909,"[6, 11, 12, 14, 17, 20, 24, 28, 37, 40]",0,[],2.9651,4210.2330,2510000,6056,9083
30,0.378900,3.820552,0.778877,"[3, 13, 14, 30, 35, 36, 38, 39, 43, 48]",2,"[35, 38]",1.2625,2990.8127,2510000,6056,9278
31,0.378200,4.488245,0.801385,"[1, 3, 11, 12, 14, 39, 41, 44, 47, 48]",0,[],55.0272,3812.8889,2510000,6056,9243
32,0.384100,2.393899,1.053992,"[2, 5, 8, 12, 20, 24, 26, 27, 34, 37]",2,"[8, 26]",1.8019,2796.5283,2510000,6056,9083
33,0.318000,2.498016,0.876078,"[3, 9, 11, 12, 13, 15, 29, 30, 32, 48]",1,[32],7.4064,2930.9238,2510000,6056,9083
34,0.373400,2.822740,0.883096,"[10, 12, 13, 15, 20, 21, 34, 36, 37, 47]",1,[21],1.9228,2483.3545,2510000,6056,9083
35,0.296400,3.873230,0.771278,"[5, 7, 9, 12, 13, 27, 33, 39, 40, 45]",0,[],1.1442,4194.2517,2510000,6056,9294
36,0.292800,5.105164,0.783149,"[0, 1, 5, 6, 10, 12, 13, 24, 29, 39]",0,[],1.2274,3287.0336,2510000,6056,9083
37,0.300700,3.900118,1.034030,"[0, 1, 5, 6, 12, 37, 38, 40, 44, 47]",1,[38],1.3423,3520.6384,2510000,6056,9083
38,0.348400,2.785382,1.064681,"[1, 3, 5, 6, 12, 15, 20, 37, 41, 48]",0,[],1.0538,4866.8767,2510000,6056,9294
39,0.374400,3.424140,0.857156,"[1, 3, 6, 7, 10, 12, 15, 33, 41, 48]",0,[],4.3835,3587.4322,2510000,6056,9278
