round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.258100,2.597568,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",0,[],0.4577,4750.6873,2510000,4856,12339
2,0.222100,2.866130,1.316089,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",0,[],2.5897,4159.7909,2510000,5096,10230
3,0.229800,3.029976,1.310999,"[7, 9, 10, 11, 13, 16, 23, 29, 36, 47]",1,[23],5.1889,4147.3828,2510000,5192,9371
4,0.251300,2.767407,1.230366,"[0, 11, 15, 18, 19, 25, 26, 35, 44, 47]",2,"[25, 35]",2.7003,2521.8570,2510000,5360,9587
5,0.235400,3.235360,1.117033,"[1, 2, 7, 8, 12, 28, 31, 34, 45, 49]",0,[],2.2077,2717.0042,2510000,5504,9515
6,0.279700,2.671852,1.129376,"[6, 7, 15, 17, 19, 23, 24, 32, 33, 36]",1,[23],1.0875,3002.9545,2510000,5648,9515
7,0.307700,3.049587,1.113140,"[9, 15, 20, 22, 35, 37, 39, 40, 44, 46]",2,"[35, 39]",4.3925,3028.0124,2510000,5720,9299
8,0.300300,2.892906,1.009389,"[2, 4, 7, 20, 22, 29, 33, 35, 36, 48]",1,[35],0.7739,2283.0852,2510000,5840,10187
9,0.280100,3.026004,0.985110,"[1, 6, 11, 14, 17, 28, 30, 37, 39, 41]",1,[39],1.1355,4267.5083,2510000,5888,9227
10,0.359200,2.494386,1.012830,"[9, 12, 13, 16, 25, 31, 35, 40, 41, 46]",2,"[25, 35]",1.0035,4515.5318,2510000,5960,9494
11,0.338200,3.303840,0.804254,"[1, 3, 11, 19, 25, 29, 31, 34, 37, 40]",1,[25],5.5415,3725.6376,2510000,5960,9278
12,0.313100,3.407577,0.890723,"[2, 5, 13, 15, 24, 35, 39, 44, 45, 47]",2,"[35, 39]",4.5314,4636.9031,2510000,5960,9083
13,0.260500,3.439907,0.907884,"[3, 7, 8, 11, 13, 21, 35, 40, 42, 49]",2,"[35, 42]",1.3021,4575.9037,2510000,5984,9366
14,0.329200,2.131615,1.156561,"[0, 3, 4, 6, 7, 12, 25, 27, 34, 37]",1,[25],1.7822,5067.4440,2510000,6008,9155
15,0.309100,3.794591,0.963746,"[6, 15, 18, 23, 25, 33, 35, 40, 44, 47]",3,"[23, 25, 35]",2.6360,4579.7446,2510000,6032,9155
16,0.353200,2.784483,0.947530,"[1, 5, 6, 12, 20, 21, 25, 31, 40, 47]",1,[25],1.6293,3458.3253,2510000,6032,9083
17,0.311000,2.894195,0.914701,"[0, 6, 7, 24, 26, 35, 38, 39, 40, 44]",2,"[35, 39]",3.2643,3681.0445,2510000,6032,9083
18,0.293200,4.789168,0.891900,"[3, 5, 13, 20, 25, 31, 35, 39, 42, 44]",4,"[25, 35, 39, 42]",3.0670,3777.5382,2510000,6056,9350
19,0.331600,3.231380,0.979782,"[1, 5, 13, 15, 19, 20, 24, 25, 36, 37]",1,[25],1.6551,3166.4763,2510000,6056,9083
20,0.262700,2.978292,1.007016,"[3, 4, 5, 10, 12, 23, 31, 40, 41, 47]",1,[23],1.9362,2316.7665,2510000,6056,9083
21,0.285300,4.293255,0.950711,"[3, 4, 14, 20, 26, 33, 35, 42, 47, 48]",2,"[35, 42]",3.3683,3692.8617,2510000,6056,9278
22,0.286800,3.170124,0.987018,"[6, 7, 14, 25, 31, 32, 33, 37, 42, 48]",2,"[25, 42]",1.4541,4449.4066,2510000,6056,9083
23,0.356400,2.721952,1.010130,"[5, 6, 15, 20, 21, 25, 34, 37, 44, 47]",1,[25],1.6205,3491.1350,2510000,6056,9083
24,0.320800,3.406140,0.955041,"[3, 11, 15, 19, 25, 31, 34, 40, 41, 42]",2,"[25, 42]",3.6895,2511.2132,2510000,6056,9278
25,0.384300,2.487772,1.038536,"[1, 12, 13, 14, 25, 26, 27, 35, 37, 47]",2,"[25, 35]",6.1082,3263.7114,2510000,6056,9278
