round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.098200,2.374380,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",4,"[8, 21, 31, 32]",0.3515,6301.4089,2510000,4856,12339
2,0.239800,3.356719,1.617937,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",3,"[8, 26, 31]",1.2323,4058.6872,2510000,5096,10230
3,0.256400,2.519278,1.405341,"[7, 8, 10, 11, 12, 15, 22, 28, 35, 47]",3,"[8, 22, 35]",1.1115,4265.7267,2510000,5192,9371
4,0.233100,2.343512,1.309971,"[0, 10, 15, 16, 18, 24, 30, 34, 44, 47]",0,[],3.5949,3629.8460,2510000,5360,9782
5,0.268500,2.640417,1.132149,"[1, 2, 7, 11, 16, 27, 31, 33, 45, 49]",1,[31],3.2518,4373.4451,2510000,5504,9515
6,0.233200,2.881223,1.137623,"[3, 6, 7, 14, 15, 17, 22, 31, 35, 44]",3,"[22, 31, 35]",2.3821,2668.9210,2510000,5648,9742
7,0.292600,3.521552,1.150759,"[8, 15, 19, 20, 35, 37, 39, 40, 44, 46]",3,"[8, 35, 46]",1.3979,2904.6058,2510000,5696,9227
8,0.275700,3.259171,1.085066,"[2, 4, 7, 20, 27, 31, 34, 35, 36, 48]",3,"[4, 31, 35]",1.2833,3618.4247,2510000,5816,9443
9,0.252200,3.826018,0.993214,"[1, 6, 11, 14, 16, 27, 29, 36, 39, 41]",0,[],1.1824,3657.9092,2510000,5888,9299
10,0.285200,3.220873,0.963184,"[9, 12, 13, 16, 24, 29, 32, 40, 41, 47]",1,[32],1.6684,4479.4732,2510000,5936,9422
11,0.372600,3.259029,0.963124,"[10, 18, 24, 27, 29, 31, 32, 36, 37, 41]",2,"[31, 32]",1.2950,3680.6802,2510000,5936,9083
12,0.284900,2.924725,1.006623,"[2, 6, 12, 15, 23, 33, 40, 45, 46, 47]",1,[46],2.8420,3748.4370,2510000,5936,9083
13,0.280200,3.684836,0.960332,"[3, 8, 9, 11, 13, 20, 35, 41, 44, 49]",2,"[8, 35]",2.3030,2601.2302,2510000,5960,9366
14,0.317500,2.290692,1.092877,"[0, 3, 4, 6, 9, 12, 24, 26, 31, 36]",3,"[4, 26, 31]",1.2953,1804.3750,2510000,5960,9083
15,0.254500,3.216540,0.838406,"[7, 15, 18, 22, 25, 31, 34, 41, 45, 47]",2,"[22, 31]",1.7510,2444.9304,2510000,5960,9083
16,0.266200,4.427357,0.989623,"[1, 6, 12, 15, 19, 20, 25, 30, 41, 47]",0,[],1.2080,2772.0602,2510000,5984,9155
17,0.344900,2.558330,1.023578,"[0, 1, 7, 9, 23, 26, 35, 40, 41, 45]",2,"[26, 35]",1.3123,4298.3732,2510000,5984,9278
18,0.294600,3.923270,0.903657,"[5, 6, 12, 19, 24, 30, 35, 40, 43, 44]",1,[35],2.0529,3126.8840,2510000,5984,9278
19,0.331500,3.257309,0.955945,"[1, 7, 14, 15, 19, 20, 22, 24, 35, 38]",3,"[22, 35, 38]",1.5463,4680.1270,2510000,6008,9155
20,0.311300,3.024563,0.902249,"[4, 5, 7, 10, 13, 21, 30, 41, 42, 47]",2,"[4, 21]",1.1647,4797.9353,2510000,6032,9155
21,0.328200,3.497223,0.837134,"[3, 5, 14, 19, 25, 26, 31, 34, 47, 48]",2,"[26, 31]",2.1225,4565.0027,2510000,6056,9155
22,0.338000,4.052042,0.978907,"[8, 9, 14, 23, 30, 31, 37, 38, 43, 48]",3,"[8, 31, 38]",2.2824,4385.6120,2510000,6056,9083
23,0.290800,4.100075,0.932251,"[6, 7, 15, 17, 20, 23, 32, 38, 45, 47]",2,"[32, 38]",3.8357,5229.5215,2510000,6056,9083
24,0.233300,3.752455,0.892489,"[3, 12, 15, 19, 25, 31, 33, 41, 42, 44]",1,[31],1.9377,3174.7339,2510000,6056,9278
25,0.296800,3.325758,0.850984,"[1, 13, 14, 24, 26, 27, 33, 38, 39, 47]",2,"[26, 38]",1.2439,5044.2285,2510000,6056,9234
26,0.121400,21.777937,0.824993,"[13, 15, 21, 23, 26, 31, 32, 40, 47, 49]",4,"[21, 26, 31, 32]",1.3582,5793.8888,2510000,6056,9278
27,0.186000,3.114244,1.360481,"[5, 7, 17, 19, 20, 31, 36, 44, 45, 47]",1,[31],1.6947,3485.9132,2510000,6056,9278
28,0.323500,2.732339,1.262475,"[1, 3, 10, 11, 21, 26, 41, 44, 47, 48]",2,"[21, 26]",2.7027,3530.6477,2510000,6056,9083
29,0.250100,2.755762,1.248627,"[6, 11, 14, 20, 21, 26, 30, 36, 38, 40]",3,"[21, 26, 38]",1.1560,4019.5740,2510000,6056,9083
30,0.265100,3.260825,0.972126,"[3, 13, 15, 30, 32, 35, 39, 40, 43, 47]",2,"[32, 35]",1.8073,4596.1652,2510000,6056,9234
31,0.265900,3.351133,1.134531,"[4, 10, 12, 15, 38, 41, 44, 45, 47, 48]",2,"[4, 38]",2.5055,3710.3400,2510000,6056,9083
32,0.261300,4.184207,1.109673,"[2, 5, 9, 12, 15, 20, 26, 31, 34, 38]",3,"[26, 31, 38]",3.0510,3943.4954,2510000,6056,9227
33,0.260400,3.313182,1.126346,"[3, 10, 12, 13, 14, 15, 28, 29, 30, 47]",0,[],5.1491,3345.5185,2510000,6056,9083
34,0.272600,4.573120,1.018888,"[11, 12, 14, 15, 20, 22, 30, 33, 35, 46]",3,"[22, 35, 46]",2.1974,2607.7427,2510000,6056,9083
35,0.264000,5.679628,0.945959,"[5, 6, 9, 10, 12, 13, 26, 30, 39, 43]",1,[26],1.3022,2540.3839,2510000,6056,9227
36,0.256100,5.880667,1.120385,"[0, 2, 5, 6, 7, 11, 12, 14, 24, 38]",1,[38],1.4136,3018.8564,2510000,6056,9083
37,0.276900,4.414280,1.162262,"[1, 5, 6, 7, 12, 35, 38, 40, 43, 45]",2,"[35, 38]",2.3319,2590.3020,2510000,6056,9083
38,0.277400,2.941077,1.180241,"[1, 3, 5, 6, 7, 13, 15, 21, 22, 41]",2,"[21, 22]",4.2680,2851.7267,2510000,6056,9083
39,0.245100,2.936237,1.046464,"[1, 5, 7, 9, 10, 12, 15, 30, 41, 47]",0,[],3.6122,2668.1863,2510000,6056,9278
40,0.283700,4.189382,1.043882,"[6, 7, 10, 17, 20, 35, 38, 40, 42, 43]",2,"[35, 38]",2.6257,2628.1449,2510000,6056,9083
41,0.284600,5.233074,0.954017,"[7, 9, 12, 26, 27, 31, 39, 40, 41, 43]",2,"[26, 31]",4.1983,3319.0428,2510000,6056,9278
42,0.284100,2.529129,1.113665,"[0, 3, 6, 23, 29, 31, 34, 42, 44, 47]",1,[31],1.2784,3099.6980,2510000,6056,9083
43,0.276500,3.157118,1.018759,"[1, 6, 7, 9, 13, 26, 27, 33, 40, 41]",1,[26],1.2129,3746.8908,2510000,6056,9083
44,0.338000,2.850314,0.978623,"[5, 7, 13, 18, 22, 23, 28, 29, 31, 39]",2,"[22, 31]",1.2191,4360.9122,2510000,6056,9083
45,0.267600,2.988482,1.087484,"[6, 12, 14, 15, 23, 28, 35, 37, 38, 44]",2,"[35, 38]",1.5768,3494.1561,2510000,6056,9278
46,0.331800,2.885902,1.127705,"[7, 9, 10, 12, 16, 21, 23, 35, 41, 42]",2,"[21, 35]",1.2693,2957.2474,2510000,6056,9083
47,0.339800,3.643901,0.915617,"[3, 5, 7, 9, 10, 23, 25, 29, 31, 43]",1,[31],4.9694,2692.0631,2510000,6056,9227
48,0.239300,4.944080,1.034302,"[14, 15, 21, 23, 26, 27, 34, 39, 42, 47]",2,"[21, 26]",0.7841,2778.6396,2510000,6056,13142
49,0.226700,3.445335,0.949059,"[7, 9, 12, 15, 25, 29, 37, 40, 44, 47]",0,[],4.9811,3434.0747,2510000,6056,9083
50,0.291700,3.262897,1.212608,"[6, 7, 9, 16, 19, 23, 27, 31, 40, 41]",1,[31],7.8484,2948.2047,2510000,6056,9278
51,0.265800,3.636233,1.085176,"[6, 7, 11, 13, 21, 23, 26, 31, 40, 42]",3,"[21, 26, 31]",2.5175,3521.1067,2510000,6056,9083
52,0.269300,3.583725,1.062322,"[3, 4, 5, 11, 13, 15, 22, 29, 34, 44]",2,"[4, 22]",2.2249,3249.9913,2510000,6056,9083
53,0.316000,2.537768,1.133983,"[3, 6, 12, 14, 17, 26, 37, 40, 41, 48]",1,[26],3.5194,2794.5341,2510000,6056,9278
54,0.360600,3.210727,0.964536,"[5, 7, 10, 13, 20, 21, 26, 35, 37, 47]",3,"[21, 26, 35]",0.9379,4108.6367,2510000,6056,9083
55,0.257300,5.054725,0.887982,"[3, 6, 7, 13, 26, 27, 37, 39, 41, 47]",1,[26],2.3018,4806.1519,2510000,6056,9083
56,0.371600,2.466991,1.043268,"[11, 12, 13, 14, 15, 24, 26, 27, 37, 40]",1,[26],2.8445,4599.7727,2510000,6056,9278
57,0.291900,3.963268,0.901964,"[6, 7, 9, 14, 15, 22, 24, 31, 41, 44]",2,"[22, 31]",1.2486,4567.0930,2510000,6056,9234
58,0.334000,3.050507,0.875669,"[3, 7, 9, 13, 20, 23, 29, 31, 34, 47]",1,[31],3.5788,4929.6025,2510000,6056,9423
59,0.293100,4.610576,0.901692,"[2, 7, 9, 14, 15, 16, 19, 23, 33, 44]",0,[],2.1936,2059.0062,2510000,6056,9467
60,0.287100,3.290786,1.057006,"[5, 6, 13, 15, 20, 23, 26, 30, 35, 42]",2,"[26, 35]",0.9579,2902.9995,2510000,6056,9294
