round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.114600,2.643568,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",2,"[3, 31]",1.3718,2961.5616,2510000,4856,12339
2,0.118200,6.984050,1.234749,"[3, 6, 7, 9, 15, 26, 32, 34, 37, 43]",4,"[3, 6, 15, 43]",0.8912,3164.0803,2510000,5096,10206
3,0.127100,4.613002,1.464972,"[8, 9, 11, 13, 17, 23, 25, 29, 36, 47]",4,"[17, 25, 29, 36]",0.6930,2041.6848,2510000,5192,9371
4,0.112100,4.009093,1.545407,"[0, 11, 15, 18, 19, 25, 30, 35, 44, 47]",4,"[0, 15, 25, 44]",1.1878,1854.8856,2510000,5360,9782
5,0.088300,3.672260,1.749897,"[2, 3, 9, 12, 18, 28, 32, 34, 45, 49]",4,"[3, 28, 45, 49]",0.7591,2311.0834,2510000,5504,9899
6,0.100500,2.341107,1.894589,"[7, 9, 16, 17, 18, 22, 23, 32, 33, 35]",2,"[16, 17]",0.4738,2033.8506,2510000,5624,9827
7,0.100300,2.344658,1.962733,"[9, 16, 20, 21, 35, 37, 38, 39, 43, 46]",3,"[16, 20, 43]",0.3509,1924.5748,2510000,5696,9299
8,0.100200,2.323663,1.976771,"[3, 5, 9, 19, 22, 30, 33, 35, 37, 48]",1,[3],0.7436,1725.5706,2510000,5792,9371
9,0.102900,2.357908,1.815157,"[2, 7, 11, 14, 18, 28, 31, 37, 39, 41]",3,"[28, 31, 41]",0.5198,2410.7340,2510000,5840,9227
10,0.100100,2.353596,1.831783,"[9, 12, 13, 18, 24, 30, 35, 40, 41, 47]",2,"[24, 41]",3.1630,2721.3717,2510000,5888,9422
11,0.106100,2.333515,1.839448,"[1, 5, 11, 18, 24, 29, 30, 34, 37, 40]",2,"[24, 29]",0.6767,2054.5540,2510000,5936,9422
12,0.146900,2.247801,1.746718,"[3, 7, 12, 14, 22, 35, 38, 45, 46, 47]",2,"[3, 45]",0.8753,2851.1108,2510000,5960,9155
13,0.173700,2.313815,1.605415,"[5, 9, 11, 13, 21, 35, 39, 40, 43, 49]",2,"[43, 49]",0.5583,2571.2479,2510000,5960,9678
14,0.156500,2.438497,1.610901,"[0, 4, 5, 7, 9, 11, 22, 26, 34, 36]",2,"[0, 36]",0.5117,1953.5016,2510000,5960,9467
15,0.179700,2.151405,1.414281,"[9, 17, 18, 21, 24, 33, 35, 39, 46, 47]",2,"[17, 24]",1.3095,2570.7478,2510000,5984,9155
16,0.177700,2.095796,1.322740,"[2, 7, 12, 14, 19, 21, 24, 32, 40, 47]",1,[24],8.7753,2500.6524,2510000,5984,9083
17,0.215700,2.110139,1.455326,"[0, 1, 9, 23, 26, 35, 38, 39, 40, 46]",1,[0],1.7182,2545.5528,2510000,5984,9278
18,0.211000,2.264383,1.279251,"[5, 7, 13, 19, 23, 32, 35, 38, 42, 44]",2,"[42, 44]",1.5130,3021.7119,2510000,5984,9278
19,0.260400,2.021687,1.287762,"[1, 7, 13, 14, 19, 22, 23, 35, 36, 37]",1,[36],1.5335,3111.9337,2510000,6008,9111
20,0.231900,2.006760,1.325422,"[5, 6, 8, 11, 13, 21, 30, 38, 40, 47]",1,[6],2.1154,3135.5797,2510000,6008,9083
21,0.222800,2.015166,1.282368,"[4, 5, 14, 19, 23, 32, 34, 40, 47, 48]",0,[],1.2778,3364.3083,2510000,6008,9227
22,0.262100,2.142542,1.265858,"[9, 14, 22, 29, 30, 32, 35, 41, 47, 48]",2,"[29, 41]",8.1770,3375.9684,2510000,6008,9278
23,0.291100,1.942095,1.216096,"[7, 9, 16, 18, 19, 21, 32, 37, 45, 47]",2,"[16, 45]",0.9681,4025.0887,2510000,6008,9083
24,0.197200,2.058619,1.340637,"[5, 12, 16, 18, 22, 30, 33, 38, 40, 43]",2,"[16, 43]",6.6377,3378.2524,2510000,6008,9278
25,0.300500,1.818841,1.166480,"[1, 13, 14, 22, 23, 25, 32, 35, 37, 47]",1,[25],2.2354,2542.0929,2510000,6008,9227
26,0.304800,1.851834,1.281179,"[12, 14, 19, 21, 22, 23, 30, 38, 47, 49]",1,[49],8.7487,2365.0476,2510000,6008,9083
27,0.306400,1.897615,1.207133,"[5, 7, 18, 19, 21, 30, 31, 40, 42, 46]",2,"[31, 42]",0.9862,2538.1724,2510000,6008,9083
28,0.281100,1.869651,1.209386,"[1, 4, 9, 11, 21, 22, 38, 40, 47, 48]",0,[],2.6516,2891.0380,2510000,6008,9083
29,0.269800,1.911578,1.229894,"[7, 11, 14, 19, 20, 23, 30, 34, 35, 38]",1,[20],1.4039,2987.0574,2510000,6008,9083
30,0.219100,2.406026,1.224775,"[3, 4, 13, 16, 27, 33, 34, 35, 37, 40]",3,"[3, 16, 27]",1.8137,3135.8137,2510000,6008,9083
31,0.209900,2.529157,1.194925,"[5, 11, 12, 18, 35, 39, 41, 44, 47, 48]",2,"[41, 44]",1.3907,3512.7169,2510000,6032,9155
32,0.233300,2.622993,1.284114,"[2, 6, 9, 12, 17, 21, 23, 25, 32, 33]",3,"[6, 17, 25]",3.4906,3551.0375,2510000,6032,9083
33,0.225700,2.526295,1.285642,"[3, 9, 11, 13, 14, 17, 18, 27, 30, 47]",3,"[3, 17, 27]",6.5110,3381.2577,2510000,6032,9083
34,0.263300,1.952490,1.343807,"[11, 12, 13, 14, 19, 20, 21, 30, 33, 46]",1,[20],6.8080,3242.7512,2510000,6032,9083
35,0.257400,1.951583,1.230919,"[5, 7, 9, 11, 12, 13, 23, 32, 37, 41]",1,[41],1.4724,3306.4232,2510000,6032,9278
36,0.248500,2.074080,1.228584,"[0, 2, 5, 8, 11, 12, 13, 22, 27, 35]",2,"[0, 27]",2.7335,3064.2573,2510000,6032,9083
37,0.289200,1.829514,1.287330,"[1, 5, 7, 12, 21, 34, 35, 38, 40, 46]",0,[],3.4800,3404.3740,2510000,6032,9278
38,0.302000,1.797571,1.021346,"[1, 2, 4, 7, 12, 14, 19, 35, 39, 47]",0,[],5.2548,2686.4899,2510000,6032,9294
39,0.298500,1.795206,1.126254,"[1, 4, 7, 8, 9, 11, 14, 30, 39, 48]",0,[],3.4617,2683.2841,2510000,6032,9227
40,0.297000,1.801365,1.250787,"[5, 7, 9, 15, 19, 26, 34, 37, 38, 40]",1,[15],1.7497,3168.9803,2510000,6032,9278
41,0.275400,1.973709,1.154882,"[7, 9, 12, 23, 24, 30, 37, 38, 39, 41]",2,"[24, 41]",1.4756,3202.8639,2510000,6032,9278
42,0.200600,2.735203,1.264753,"[1, 5, 19, 28, 30, 33, 40, 43, 47, 49]",3,"[28, 43, 49]",1.7607,2971.2270,2510000,6032,9083
43,0.294900,1.819452,1.296128,"[1, 5, 7, 12, 23, 26, 33, 38, 39, 40]",0,[],3.2874,3155.0020,2510000,6032,9083
44,0.296700,1.847879,1.102933,"[2, 7, 13, 18, 19, 21, 26, 30, 38, 47]",0,[],2.2248,2544.6438,2510000,6032,9278
45,0.324400,1.828182,1.222252,"[5, 12, 14, 18, 19, 26, 33, 34, 35, 37]",0,[],0.7782,2886.7452,2510000,6032,10067
46,0.325200,1.802630,1.121742,"[7, 9, 10, 12, 18, 21, 22, 35, 40, 42]",1,[42],1.0190,3305.3867,2510000,6032,9083
47,0.247200,2.195780,1.130419,"[2, 4, 7, 8, 9, 22, 23, 28, 32, 43]",2,"[28, 43]",1.1653,3204.2359,2510000,6056,9155
48,0.316800,1.826761,1.199961,"[14, 21, 22, 23, 25, 32, 35, 37, 40, 46]",1,[25],1.6735,2524.2181,2510000,6056,9083
49,0.183100,2.791616,1.197724,"[7, 12, 16, 23, 29, 36, 38, 45, 46, 47]",4,"[16, 29, 36, 45]",1.3847,3822.3962,2510000,6056,9083
50,0.299600,1.909904,1.430976,"[6, 8, 9, 14, 19, 21, 26, 32, 38, 40]",1,[6],1.7520,2098.5108,2510000,6056,9278
51,0.272800,2.178346,1.198320,"[5, 8, 10, 12, 20, 22, 26, 32, 39, 43]",2,"[20, 43]",3.1818,2850.2314,2510000,6056,9083
52,0.229300,2.334670,1.252511,"[1, 2, 3, 5, 11, 13, 15, 21, 30, 35]",2,"[3, 15]",2.4202,3379.7520,2510000,6056,9083
53,0.290200,1.855776,1.166952,"[2, 5, 11, 14, 19, 26, 37, 39, 40, 48]",0,[],1.7995,4890.3535,2510000,6056,9278
54,0.280800,1.851914,1.176434,"[5, 7, 9, 13, 19, 23, 35, 37, 46, 47]",0,[],1.6266,5064.3686,2510000,6056,9083
55,0.287300,1.808749,1.220465,"[1, 5, 7, 12, 23, 26, 36, 38, 40, 47]",1,[36],2.0678,4357.4179,2510000,6056,9039
56,0.291000,1.860519,1.215645,"[10, 11, 12, 13, 14, 22, 23, 26, 35, 38]",0,[],2.9291,2783.6263,2510000,6056,9294
57,0.307500,1.798654,1.192843,"[5, 8, 14, 19, 21, 23, 30, 32, 40, 42]",1,[42],1.5385,2307.5978,2510000,6056,9083
58,0.301200,1.869873,1.087412,"[2, 7, 9, 12, 21, 22, 30, 32, 33, 47]",0,[],2.9342,2404.8427,2510000,6056,9083
59,0.306900,1.860520,1.118078,"[1, 7, 9, 14, 19, 21, 22, 33, 40, 46]",0,[],3.8285,2192.1771,2510000,6056,9083
60,0.217800,3.579160,1.215515,"[5, 6, 14, 19, 20, 22, 23, 28, 32, 44]",4,"[6, 20, 28, 44]",0.8485,3295.5054,2510000,6056,10067
