round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.261100,2.068731,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",0,[],0.4829,2269.6321,2510000,4856,12339
2,0.381200,1.666521,1.207040,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",0,[],1.1775,1945.9252,2510000,5096,10206
3,0.439300,1.521528,0.947179,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",0,[],0.4041,2992.8347,2510000,5192,9371
4,0.412400,1.572541,0.828354,"[0, 10, 15, 16, 18, 24, 25, 35, 44, 47]",2,"[25, 35]",0.4483,1893.3411,2510000,5360,9587
5,0.436300,1.642511,0.703831,"[1, 2, 7, 11, 17, 27, 31, 34, 45, 49]",0,[],0.3843,2675.1044,2510000,5528,9587
6,0.486500,1.546534,0.643606,"[6, 7, 15, 17, 23, 31, 32, 33, 36, 44]",1,[23],1.3678,2423.9246,2510000,5672,9710
7,0.479000,1.576720,0.522584,"[8, 15, 19, 21, 36, 37, 39, 40, 44, 46]",1,[39],0.4796,1516.3343,2510000,5720,9227
8,0.545900,1.414700,0.465441,"[3, 4, 7, 19, 22, 29, 33, 36, 37, 48]",0,[],0.4100,3037.4628,2510000,5816,9371
9,0.533400,1.574296,0.475765,"[1, 6, 11, 13, 16, 28, 30, 37, 40, 41]",0,[],0.6225,6803.5127,2510000,5888,9299
10,0.387300,1.877141,0.544534,"[9, 12, 13, 16, 25, 31, 35, 40, 42, 46]",3,"[25, 35, 42]",0.9414,3054.5194,2510000,5936,9422
11,0.519000,1.448230,0.475537,"[4, 10, 18, 25, 29, 30, 34, 35, 37, 40]",2,"[25, 35]",1.2764,4069.6433,2510000,5960,9155
12,0.481600,1.676896,0.388316,"[3, 6, 12, 15, 24, 36, 39, 44, 45, 47]",1,[39],3.6430,3171.4502,2510000,5960,9083
13,0.554900,1.499398,0.334209,"[4, 7, 9, 10, 13, 22, 37, 40, 43, 49]",0,[],1.9682,3501.8865,2510000,5960,9243
14,0.525300,1.496974,0.434600,"[0, 3, 4, 6, 7, 11, 25, 27, 34, 37]",1,[25],2.4110,3983.0740,2510000,5960,9039
15,0.527700,1.636036,0.324573,"[7, 17, 19, 24, 26, 33, 36, 40, 45, 47]",0,[],2.9266,3617.9718,2510000,5960,9083
16,0.575700,1.542695,0.342069,"[1, 6, 12, 15, 20, 22, 26, 32, 41, 47]",0,[],1.1679,3406.9912,2510000,5960,9083
17,0.577300,1.515487,0.294161,"[0, 1, 7, 8, 26, 29, 37, 40, 41, 45]",0,[],1.1679,3687.5729,2510000,5984,9350
18,0.511400,1.639553,0.285830,"[4, 6, 13, 22, 27, 33, 37, 39, 44, 45]",1,[39],1.9258,3300.4605,2510000,5984,9227
19,0.569200,1.688016,0.317556,"[1, 6, 15, 16, 20, 21, 24, 26, 37, 38]",0,[],1.3408,4506.0773,2510000,5984,9083
20,0.490100,1.716615,0.331918,"[4, 5, 7, 11, 13, 24, 33, 41, 42, 47]",1,[42],3.3878,4228.5161,2510000,6008,9155
21,0.575000,1.526751,0.303882,"[3, 6, 15, 21, 22, 27, 33, 36, 47, 48]",0,[],1.1827,3497.8521,2510000,6032,9155
22,0.509800,1.532061,0.378658,"[9, 10, 15, 25, 33, 34, 37, 42, 47, 48]",2,"[25, 42]",2.6847,3153.8262,2510000,6032,9227
23,0.551900,1.379439,0.317243,"[6, 7, 19, 20, 22, 25, 35, 38, 45, 47]",2,"[25, 35]",1.3386,2984.4823,2510000,6032,9083
24,0.572200,1.472320,0.312292,"[3, 12, 19, 21, 26, 33, 35, 40, 41, 44]",1,[35],1.1668,3051.9428,2510000,6032,9278
25,0.591800,1.427125,0.293754,"[1, 14, 15, 26, 27, 29, 35, 37, 38, 47]",1,[35],3.6345,2720.9717,2510000,6032,9294
26,0.508400,1.637683,0.360433,"[13, 18, 23, 25, 27, 33, 34, 40, 47, 49]",2,"[23, 25]",2.6315,2816.7753,2510000,6056,9350
27,0.564800,1.629308,0.209421,"[6, 14, 20, 21, 22, 33, 37, 44, 45, 47]",0,[],1.2594,2968.2184,2510000,6056,9294
28,0.580200,1.616350,0.237816,"[1, 3, 10, 11, 24, 27, 40, 44, 47, 48]",0,[],1.6350,4201.1714,2510000,6056,9083
29,0.594400,1.662705,0.193029,"[6, 12, 15, 22, 24, 27, 33, 37, 38, 40]",0,[],1.7337,3411.5834,2510000,6056,9083
30,0.551500,1.632688,0.246927,"[3, 15, 18, 30, 36, 37, 39, 40, 44, 47]",1,[39],2.2345,2703.7446,2510000,6056,9227
31,0.577600,1.622553,0.229748,"[3, 11, 12, 16, 40, 41, 44, 45, 47, 48]",0,[],3.4997,3532.6311,2510000,6056,9083
32,0.559200,1.570668,0.298656,"[2, 6, 9, 13, 24, 27, 28, 29, 35, 37]",1,[35],1.3396,3041.6568,2510000,6056,9083
33,0.555000,1.672964,0.237088,"[3, 12, 13, 15, 19, 20, 30, 32, 33, 47]",0,[],4.0316,3113.9920,2510000,6056,9083
34,0.578600,1.439617,0.223810,"[11, 13, 15, 19, 24, 25, 33, 36, 37, 45]",1,[25],1.4730,2298.8374,2510000,6056,9083
35,0.588200,1.675741,0.209158,"[5, 6, 9, 10, 13, 15, 29, 31, 40, 44]",0,[],1.0398,2966.2372,2510000,6056,9278
36,0.589100,1.605568,0.277150,"[0, 1, 5, 6, 7, 12, 14, 15, 28, 38]",0,[],1.4440,3139.2758,2510000,6056,9083
37,0.603700,1.582278,0.176920,"[0, 1, 5, 6, 7, 13, 37, 38, 40, 45]",0,[],3.8527,3384.3721,2510000,6056,9083
38,0.597000,1.606593,0.168096,"[1, 3, 6, 7, 13, 19, 20, 24, 41, 47]",0,[],1.4122,4057.7323,2510000,6056,9278
39,0.565100,1.541514,0.272132,"[1, 3, 7, 8, 10, 19, 21, 34, 42, 48]",1,[42],2.2924,3289.2822,2510000,6056,9083
40,0.601400,1.565476,0.171558,"[6, 7, 10, 21, 24, 37, 38, 40, 43, 44]",0,[],3.1905,2887.6592,2510000,6056,9083
