round_num,test_accuracy,test_loss,train_loss,selected_clients,n_byzantine_in_cohort,byzantine_in_cohort_ids,selection_time_ms,avg_train_time_ms,bytes_per_round,selector_state_bytes,selection_peak_mem_bytes
1,0.195800,2.203932,1.409890,"[3, 7, 8, 9, 13, 21, 31, 32, 34, 37]",2,"[3, 31]",3.3281,2332.8242,2510000,4856,12339
2,0.145500,2.265173,1.301220,"[3, 6, 7, 8, 15, 26, 31, 34, 37, 43]",5,"[3, 6, 15, 31, 43]",1.3989,2379.2801,2510000,5096,10206
3,0.236900,2.200188,1.320853,"[7, 8, 10, 11, 12, 15, 22, 28, 36, 47]",3,"[15, 28, 36]",1.4492,3090.1777,2510000,5192,9371
4,0.198600,2.325941,1.206851,"[0, 10, 15, 16, 18, 24, 25, 35, 44, 47]",6,"[0, 15, 16, 24, 25, 44]",1.0656,3078.9800,2510000,5360,9587
5,0.220900,2.492707,1.204454,"[1, 2, 7, 11, 17, 28, 31, 34, 45, 49]",5,"[17, 28, 31, 45, 49]",1.6677,5201.5531,2510000,5528,9587
6,0.174100,3.001361,1.397039,"[6, 7, 15, 16, 22, 23, 31, 32, 33, 36]",5,"[6, 15, 16, 31, 36]",2.8468,3851.6691,2510000,5648,9443
7,0.228500,2.195278,1.277667,"[7, 14, 19, 20, 35, 37, 39, 40, 44, 46]",2,"[20, 44]",0.8265,4273.7968,2510000,5696,9227
8,0.285200,2.110077,1.179837,"[2, 4, 7, 20, 28, 33, 35, 36, 37, 48]",3,"[20, 28, 36]",1.9112,3819.4734,2510000,5840,9515
9,0.276200,2.040750,1.139926,"[1, 6, 10, 13, 16, 27, 30, 37, 40, 42]",4,"[6, 16, 27, 42]",1.2685,2280.0707,2510000,5888,9227
10,0.284600,1.967297,1.029472,"[11, 12, 15, 23, 24, 30, 35, 40, 42, 47]",3,"[15, 24, 42]",0.5274,1819.4464,2510000,5960,9683
11,0.299100,2.161833,0.970414,"[3, 10, 17, 23, 27, 29, 33, 34, 37, 40]",4,"[3, 17, 27, 29]",0.7831,2497.5649,2510000,5960,10067
12,0.330500,1.886798,0.896255,"[2, 6, 12, 14, 22, 35, 39, 45, 46, 48]",2,"[6, 45]",0.7667,2066.4304,2510000,5984,9155
13,0.283000,2.617338,0.842252,"[3, 6, 7, 10, 12, 20, 37, 40, 44, 49]",5,"[3, 6, 20, 44, 49]",2.6485,2884.7398,2510000,5984,9310
14,0.333000,2.089400,0.969075,"[0, 3, 4, 6, 7, 11, 23, 26, 33, 37]",3,"[0, 3, 6]",0.6433,1906.1722,2510000,5984,9083
15,0.311500,2.329079,0.746782,"[7, 15, 18, 22, 24, 31, 36, 40, 45, 47]",5,"[15, 24, 31, 36, 45]",0.3846,1880.3793,2510000,5984,9083
16,0.312600,2.619636,0.825361,"[1, 6, 12, 14, 19, 20, 24, 31, 40, 47]",4,"[6, 20, 24, 31]",0.7117,2494.9234,2510000,5984,9083
17,0.288400,5.459396,0.839826,"[0, 1, 7, 15, 24, 26, 36, 39, 40, 45]",5,"[0, 15, 24, 36, 45]",0.8752,2121.1394,2510000,5984,9294
18,0.100400,137.413135,1.075838,"[3, 6, 12, 19, 24, 31, 36, 39, 42, 44]",7,"[3, 6, 24, 31, 36, 42, 44]",1.1816,1484.4316,2510000,5984,9662
19,0.100000,593.199108,2.895953,"[1, 6, 14, 15, 17, 19, 22, 24, 36, 37]",5,"[6, 15, 17, 24, 36]",0.6303,2738.3174,2510000,5984,9803
20,0.144100,2.555107,6.036744,"[3, 4, 6, 10, 12, 21, 31, 40, 41, 47]",4,"[3, 6, 31, 41]",3.0340,3265.2387,2510000,5984,9083
21,0.181100,2.575584,1.340244,"[2, 4, 14, 17, 24, 26, 31, 35, 47, 49]",4,"[17, 24, 31, 49]",1.7670,4055.1937,2510000,6008,9155
22,0.196000,2.530656,1.393260,"[6, 7, 13, 23, 31, 32, 36, 41, 46, 48]",4,"[6, 31, 36, 41]",1.1007,3995.1555,2510000,6008,9278
23,0.223100,2.481975,1.223459,"[5, 6, 15, 18, 23, 29, 32, 37, 44, 47]",4,"[6, 15, 29, 44]",3.6734,4208.5781,2510000,6008,9083
24,0.134400,3.833935,1.196783,"[3, 11, 15, 17, 24, 31, 34, 40, 41, 44]",7,"[3, 15, 17, 24, 31, 41, 44]",1.3008,2930.1577,2510000,6032,10235
25,0.242400,2.470572,1.393340,"[1, 12, 13, 23, 25, 27, 33, 36, 37, 47]",3,"[25, 27, 36]",4.0995,3041.1634,2510000,6032,9294
26,0.222200,2.447804,1.119583,"[12, 14, 20, 23, 25, 26, 31, 39, 47, 49]",4,"[20, 25, 31, 49]",1.4116,3914.4735,2510000,6032,9083
